Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
اقولة تيس يقول احلبة,افولة تيس يقول احلبة : يعني ماتفهم انت مافي معلوم,General,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: في أي دولة تُستخدم عبارة ""اقولة تيس يقول احلبة"" أكثر؟  
الخيارات:  
A) عمان 
B) قطر
C) السعودية  
D) الإمارات",C
البيض الفاسد يتدردب على بعضو,يعني انو الناس الخربانه الفاسده تخرب الكويسيين ويسيرو فاسدين زيهم,Western,"المهمة: في أي منطقة سعودية يُستخدم هذا المثل بشكل شائع؟
السؤال: أين يُستخدم المثل 'البيض الفاسد يتدردب على بعضو' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) ابها",ب
الحي يحييك والميت يزيدك غبن,تقال للمقارنة بين شخصين افعال احدهم من الحركة وتنفيذ بالعمل تبعث فيك الحياة، وآخر كسول ولا ينجز شيئاً فيصيبك بالغبن.,General,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال:في أي دولة يُستخدم المثل ""الحي يحييك والميت يزيدك غبن"" بشكل شائع؟
الخيارات:
أ) السعودية
ب) الكويت
ج) عمان
د) قطر",أ
الخلق الدني واللسان البذي ما يفلح ولا يغتني,في ذم الشخص بذيء اللسان والأفعال,Western,"المهمة: حدد الموقع الذي يرتبط به هذا القول.
السؤال: في أي منطقة سعودية يستخدم القول 'الخلق الدني واللسان البذي ما يفلح ولا يغتني' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الدمام",ب
الذيب على طاريه,هو مثل شعبي يقال عندما تتحدث عن شخص وهو غائب وفي نفس الوقت يأتي ذلك الشخص الذي كنت تتحدث عنه,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي دولة خليجية يُستخدم المثل ""الذيب على طاريه"" بشكل شائع؟
الخيارات:
A) الكويت
B) الإمارات
C) السعودية
D) البحرين) السعودية",C
الطول طول النخله والعقل عقل سخله,هو ان يكون الشحص ذو هيبه و وقار وطويل القامه ولكن عقله يشبه بعقل السخله السخله:هي صغير الضأن والماعز بالتالي ليس الشكل يحكم دوما على جوهر المرء، إنما منطوقه وأفعاله وما يحمله في داخله، فكل إناء بما فيه ينضح. ياتي ضرب المثل أحيانا من باب المزاح، والفكاهة؛ لكي لا نجرح غيرنا,General,"المهمة: حدد الدولة التي يُستخدم فيها هذا المثل بشكل أساسي.
السؤال: أي دولة تستخدم هذا المثل بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
الغربة كربة وهم للركبة,عن قسوة الاغتراب ومصاعبها,Western,"المهمة: حدد الموقع الذي يُستخدم فيه هذا التعبير.
السؤال: في أي منطقة سعودية يتم استخدام تعبير 'الغربة كربة وهم للركبة' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) حائل",ب
اللي ما يعرف الصقر يشويه,اللذي لا يعرف قيمة الشي يفسده او تذهب فرصته,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.  
السؤال: في أي منطقة سعودية يُستخدم مثل ""اللي ما يعرف الصقر يشويه"" بشكل شائع؟  
الخيارات:  
A) نجد 
B) الحجاز  
C) الجنوب  
D) الشرقية",A
اللي نحبه نبلع له الزلط واللي نكرهه نحاسبه على الغلط,"صيغة أخرى ""إللي تحبه تبلع له الزلط وإللي تكرهه تقعد له على الغلط"" الزلط هي الحجارة ويقصد بالمثل أن الناس يتسامحون مع أخطاء أحبابهم حبيبك يمضغ لك الزلط وعدوك يعد لك الغلط",Western,"المهمة: حدد المنطقة التي يُستخدم فيها هذا المثل بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المثل 'اللي نحبه نبلع له الزلط واللي نكرهه نحاسبه على الغلط' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
النار ما تحرق الا رجل واطيها,النار لا تحرق الا من يضع رجله عليها,Central,"المهمة: حدد الموقع الجغرافي الأكثر شيوعًا للعبارة.
السؤال: في أي منطقة تُستخدم هذه العبارة بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
الناس في الناس والعجوزه في الطلق والنفاس,يطلق هذا المثل على الي جالسه مع الشله وهم في وادي وهي في وادي,Central,"المهمة: حدد الموقع الأكثر شيوعًا الذي قد يُستخدم فيه المثل 'الناس في الناس والعجوزه في الطلق والنفاس'.
السؤال: أين يُستخدم هذا المثل بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) البحرين
د) الكويت",أ
الي مايطول الرطب يابس عنه يقول,الذي لا يطول الرطب يابس عنه يقول تقال للشخص الذي لديه غيره كما في مثالي,Central,"المهمة: حدد المنطقة التي تُستخدم فيها العبارة بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'الي مايطول الرطب يابس عنه يقول' بشكل رئيسي؟
الخيارات:
أ) القصيم
ب) جدة
ج) الرياض
د) الأحساء",ج
بدوي طاحلو في تمرة,واحد ما صدق على الله يلاقيلو شي، وما سابو.,Western,"المهمة: حدِّد المكان الذي يعتبر هذا التعبير شائعًا فيه.
السؤال: أين يكون استخدام التعبير 'بدوي طاحلو في تمرة' الأكثر شيوعًا؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",ب
بعد ما أكل واتكا قال ريحته مستكا,شخص يشكي او لم يرضي عن وجبة اكلها بعد أن أكل جميع ما فيها.,Western,"المهمة: حدد المنطقة أو المدينة التي يرتبط بها المصطلح بشكل أكبر.
السؤال: أين يُستخدم المصطلح 'بعد ما أكل واتكا قال ريحته مستكا' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) القصيم",ب
بو طبيع مايجوز عن طبعه,تعني أن صاحب الطبع من الصعب والمستحيل أن يتخلى عن طبعه المعروف به.,General,"المهمة: حدد المكان الذي يُستخدم فيه هذا المثل بشكل شائع.
السؤال: في أي دولة يُستخدم مثل 'بو طبيع مايجوز عن طبعه' بشكل رئيسي؟
الخيارات:
أ) الكويت
ب) الإمارات
ج) البحرين
د) المملكة العربية السعودية",د
بيكحّلها عماها,بمعنى: أراد أن يكحلها فأعماها. تقال عندما يحاول شخص إصلاح أمر فيفسده.,General,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.  
السؤال: في أي دولة يُستخدم المثل ""بيكحّلها عماها"" بشكل شائع؟  
الخيارات:  
أ) السعودية  
ب) قطر 
ج) عمان  
د) البحرين  

الجواب الصحيح: أ",
تيتي تيتي زي ما رحتي زي ما جيتي,شخص لم يستطع القيام بمهمة كُلف بها او فشل فيها,Western,"المهمة: حدد المنطقة التي يُستخدم فيها هذا المثل بكثرة.
السؤال: أين يُستخدم مثل 'تيتي تيتي زي ما رحتي زي ما جيتي' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) المدينة المنورة
د) الدمام",ب
جابلي أعمى يِوَنّسني بَحلَق بِعينو فَجعني,يقال هذا المثل عندما نتحسر مثلاً على خادمة جديدة وهكذا!,Western,"المهمة: حدد المنطقة التي يُستخدم فيها هذا المثل.
السؤال: أين يُعتبر مثل 'جابلي أعمى يِوَنّسني بَحلَق بِعينو فَجعني' شائعًا؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) حائل",أ
جات تكحلها عمتها,تقال عندما يريد الشخص ان يقول او يفعل شيئا ويعدله ، ولكنه يخربه أكثر,Western,"المهمة: حدد المنطقة الأكثر استخداماً لمثل 'جات تكحلها عمتها'.
السؤال: في أي منطقة سعودية يُستخدم مثل 'جات تكحلها عمتها' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الخبر",ب
جاك يا مهنى ماتمنى,مثل يُقال عندما يأتيك شيء تتمناه وخصوصاً اذا أتاك بسهوله أو مصادفه تتمناها,General,"المهمة: اختر الإجابة الصحيحة.  
السؤال: أين يُستخدم مثل ""جاك يا مهنى ماتمنى"" بشكل رئيسي؟  
الخيارات:  
أ) السعودية  
ب) الكويت  
ج) البحرين  
د) الإمارات",أ
حبسوه في كيس مع ابليس طلع ابليس منه يستغيث,عن دهاء وخبث وشر بعض الناس,General,"المهمة: حدد المنطقة التي يمكن استخدام المثل فيها بشكل أساسي.
السؤال: في أي دولة يستتخدم المثل 'حبسوه في كيس مع ابليس طلع ابليس منه يستغيث' بشكل شائع؟
الخيارات:
أ) البحرين 
ب) الكويت  
ج)  السعودية
د) الإمارات",ج
حرك تبلش,تقال حينما يعبث الشخص بشي وينتج عنه تلف او تغيير سلبي له,Central,"المهمة: أين يُستخدم المصطلح 'حرك تبلش' بشكل أكثر شيوعاً؟
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'حرك تبلش' بشكل شائع؟
الخيارات:
أ) الرياض
ب) المدينة المنورة
ج) حائل
د) جدة",أ
حزمة كراث ولا صنيعة نخولي,الرضا بالقليل أفضل من طلب المعروف من غير أهله، ,General,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح بشكل رئيسي.
السؤال: أي دولة تستخدم العبارة 'حزمة كراث ولا صنيعة نخولي' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
خطط في ماء واقبص في حيد,مثل شعبي قديم ومعروف لدى أهالي منطقة عسير يقال عندما يشعر الشخص باليأس من جدوى الحديث والنصيحة لشخص ما,Southern,"المهمة: تحديد المنطقة الأكثر استخداماً لهذا المثل.
السؤال: في أي منطقة من السعودية يُستخدم المثل 'خطط في ماء واقبص في حيد' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الدمام",ج
خليك على قردك لا يجيك أقرد منه,مثل حجازي تعني : اصبر على ما ابتلاك الله به حتى لا يأتيك ما هو أبلى!,Western,"المهمة: حدد المكان الذي يُستخدم فيه هذا المثل بشكل رئيسي.
السؤال: أين يتم استخدام المثل 'خليك على قردك لا يجيك أقرد منه' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
دقه بدقه و لو زدت زاد السقا,مثل يعني العين بالعين و السن بالسن و له قصة مشهوره,Central,"المهمة: حدد الموقع الذي يتم فيه استخدام هذا المثل.
السؤال: أين يُستخدم المثل 'دقه بدقه و لو زدت زاد السقا' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) البحرين
ج) الإمارات
د) الكويت",أ
ذكرنا القط قام ينط,تكلمنا عن حد وجا بنفس اللحظه,Western,"المهمة: حدد المكان الذي يُستخدم فيه هذا المصطلح.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'ذكرنا القط قام ينط' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",ب
رضينا بالهم والهم ما رضي بنا,رضينا بالهم والهم ما رضي بنا,General,"المهمة: حدد المكان الذي يُستخدم فيه هذا المثل.
السؤال: أي دولة عربية تعرف استخدام هذا المثل بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) البحرين
ج) الكويت
د) الإمارات",أ
ريحة ابو علي ولا عدموو,ريحة ابو علي ولا عدمو : الشي القليل خير من عدم وجوده اصلاََ,Western,"المهمة: حديد المنطقة التي يتم استخدام التعبير بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم تعبير 'ريحة ابو علي ولا عدمو' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
ستي رئيتها ما نقص عليا الا جدران بيتها .,هذه العباره تستخدم في التعبير عن كثرة رؤية الاشخاص يومياً مثل الاصحاب . على سبيل المثال . عندما ارى صديقتي يومياً . تقول لي والتي هذا المثل . انه لم ينقص عليكي الا ان تذهبي وتري حائط منزلها,Western,"المهمة: حدد المنطقة أو المدينة التي ترتبط بها العبارة.
السؤال: أين يُستخدم المصطلح 'ستي رئيتها ما نقص عليا الا جدران بيتها' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
ضربني وبكى سبقني و شكى,ضربني وبكى سبقني و شكى,General,"المهمة: حدد المنطقة التي يُعتبر المثل 'ضربني وبكى سبقني و شكى' شائعًا فيها.
السؤال: أي منطقة في دول الخليج تُستخدم فيها العبارة 'ضربني وبكى سبقني و شكى' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
على طمام المرحوم,إذا سألك واحد عن شي وتجيبه أن الأمر كما هو عليه لم يتغير .,Central,"المهمة: حدد المنطقة التي يشتهر فيها استخدام عبارة 'على طمام المرحوم'.
السؤال: أين يتم استخدام تعبير 'على طمام المرحوم' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
عليه من الله ظل,قليل الحيله و الفهم ، وقد يوصف به الاحمق الذي لا يعي ما يعمل او لا يعي نتائج ما يعمل,Central,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح 'عليه من الله ظل' بشكل شائع.
السؤال: أي منطقة في المملكة يُستخدم فيها هذا المصطلح غالبًا؟
الخيارات:
أ) الرياض
ب) جازان
ج) جدة
د) نجد",د
عمية تحفف مجنونه و تقلها حواجبك سود و مقرونة,شخص غير مؤهل يقود شخص أو أشخاص غير مؤهلين للقيام بالعمل,Central,"المهمة: حدد الموقع الذي يتمثل فيه المصطلح بشكل أكبر.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'عمية تحفف مجنونه و تقلها حواجبك سود و مقرونة' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",أ
عنز بدو طاحت في مريس,هذا المثل يقال للشخص اذا ادمن بشكل مبالغ فيه على فعل او اكل شي جديد,Central,"المهمة: حدد الموقع الذي يُستخدم فيه هذا المثل.
السؤال: في أي منطقة سعودية يُستخدم المثل 'عنز بدو طاحت في مريس' بشكل شائع؟
الخيارات:
أ) مكة
ب) الرياض
ج) القصيم
د) الأحساء",ج
تفكر الشغلة .نجارة.يضرب بالقدوم ويمسح بالفارة,ليس الأمر بذ بغاية السهولة,Western,"المهمة: حدد الموقع المرتبط بالعبارة.
السؤال: في أي منطقة سعودية يُستخدم المثل 'تفكر الشغلة .نجارة.يضرب بالقدوم ويمسح بالفارة' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الدمام",ب
قال للغلباوي اسكت وأعطيك ريال ، قال خذ خمسة وخليني اتكلم,مثل يقال للشخص كتير الكلام واللي ما يسكت لو ايش ما تسوي فيه ^^,General,"المهمة: حدد الموقع المرتبط باستخدام المثل.
السؤال: في أي دولة يُستخدم هذا المثل 'قال للغلباوي اسكت وأعطيك ريال ، قال خذ خمسة وخليني اتكلم ' بشكل أكثر شيوعاً؟
الخيارات:
أ) البحرين
ب)الكويت 
ج) عمان
د) السعودية",د
قرعة الساقي,يطلق على الشي الذي يكلف اكثر من قيمته,Central,"المهمة: حدد المنطقة الأكثر استخدامًا للعبارة 'قرعة الساقي'.
السؤال: أين يُستخدم المصطلح 'قرعة الساقي' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) الدمام
ج) جدة
د) أبها",أ
قفا الصديق ولا وجه العدو,اذا احد لقى قفاه لعمل ينجزه يقول لك: العذر والسموحه ملقيك قفاي يكون الرد: قفا الصديق ولا وجه العدو,Central,"المهمة: حدد المنطقة التي يُستخدم فيها هذا القول بشكل شائع.
السؤال: أين يُستخدم المصطلح 'قفا الصديق ولا وجه العدو' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
كبرت يا بس و صرت تخربش,يقال لهؤلاء الناس الذين يعتقدون ان بمعرفتهم الصغيرة ربما يستطيعون مجارة الكبار,Central,"المهمة: حدد المكان الذي يُستخدم فيه هذا المصطلح بشكل أكبر:
السؤال: أين يُستخدم المصطلح 'كبرت يا بس و صرت تخربش' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) الكويت
ج) أبوظبي
د) البحرين",أ
كل حشفة و لها مقرمش,كل شخص له نصيب من الزواج حتى ولو كان غبيا او كريها او بشعا فيقال هذا المثل دعما لذلك الحشفة هي قطعة نااشفة من الخبر,Western,"المهمة: حدد أين يُستخدم هذا المثل بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المثل 'كل حشفة و لها مقرمش' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
كل واحد يشل شيلتة,يدل ذلك على ان كل واحد مسؤؤول عن افعالة,General,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح بشكل شائع.
السؤال: أين يُستخدم المصطلح 'كل واحد يشل شيلتة' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) الإمارات",أ
لا تتريق الا على صايم مصلي,تقال للتحذير بانه كل شخص تستهزء بيه يوم حتلاقي الشي سار فيك,Western,"المهمة: حدد المكان الأكثر شيوعاً لاستخدام هذا المثل.
السؤال: أين يُستخدم المثل 'لا تتريق الا على صايم مصلي' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) الكويت",أ
لا تحط عصك في شي ما يخصك,اي بمعنى لا تتدخل في امور لا تعنيك وتصبح في مشاكل انت في غنى عنها,Western,"السؤال: في أي منطقة سعودية يعتبر المثل ""لا تحط عصك في شي ما يخصك"" شائعاً؟  
  الخيارات:  
  أ) نجد 
  ب) الحجاز 
  ج) الشرقية  
  د) الدمام",ب
لا تسنِّد للبعير، ولا تنحّي للحنش,(عند أهل السراة): الأولى: أي إذا لحقك البعير (الجمل) غاضباً لا تسنّد له مرتفع لأن الجمل سيستطيع اللحاق بك بعكس لو هبطت به منخفض سيتردى على وجهه لو أسرع ورائك. والثانية: ولا تنحي للحنش أي إذا لحق بك ثعبان لا تهبط به منخفض لأنه سينطلق عليك بسرعه هائلة ويدركك، بل أهرب منه صاعداً لأن الصعود يرهقه فلا يستطيع اللحاق بك.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي منطقة سعودية يُستخدم المثل ""لا تسنِّد للبعير، ولا تنحّي للحنش"" بشكل شائع؟
أ) الرياض
ب) مكة المكرمة
ج) أبها
د) الدمام",ج
لبس له جلد النمره,تهیاوا للهجوم له و اعدوا للحرب له و تعصبوا لذلک,Central,"المهمة: تحديد الموقع الجغرافي الخاص بالعبارة.
السؤال: في أي منطقة سعودية يُستخدم هذا التعبير بشكل شائع 'لبس له جلد النمره' ؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) المدينة المنورة",أ
لما فرقوا الذوق كان جالس فوق,تقال على الشخص عديم الذوق ومعناه أنه لم يأخذ نصيبه من الذوق عندما أخذ الكل نصيبهم لأنه كان غائبا,Western,"المهمة: حدد الموقع الذي يرتبط به استخدام العبارة.
السؤال: أين يُستخدم المصطلح 'لما فرقوا الذوق كان جالس فوق' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) القطيف
د) الدمام",ب
ما تطيح السقيفة إلا على الضعيفة,يعني لا يتحمل المصائب إلا الضعفاء وينجوا منها الأقوياء وأصحاب النفوذ,Central,"المهمة: حدد الموقع الأكثر شيوعاً لاستخدام هذا المثل.
السؤال: أين يُستخدم المثل 'ما تطيح السقيفة إلا على الضعيفة' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الكويت
د) البحرين",أ
ما دون الحلدز إلا اليدين,هذا المثل يقال إذا بلغ السيل الزبى، وإذا انتهت كل السبل في محاولة تجنبك لهذا الأمر، فإذا لم يكن هناك طريق إلا هذا الطريق ولو كان خطأً أو خطرًا فاسلكه. فما دون الحلدز إلا اليدين.,General,"المهمة: حدد الموقع الجغرافي الأكثر ارتباطًا بالمثل 'ما دون الحلدز إلا اليدين'.
السؤال: أي مدينة في السعودية ترتبط بهذا المثل بشكل أكبر 'ما دون الحلدز إلا اليدين' ؟
الخيارات:
أ) الامارات
ب) قطر
ج) السعودية
د) عمان",ج
ما في شي ببلاش غير العمى والطراش,المثل واضح ما يحتاجلو شرح . هو بس انو كل شي صاير بفلوس وما في حاجة ببلاش,Western,"المهمة: حدد المنطقة التي يُستخدم فيها المثل بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المثل 'ما في شي ببلاش غير العمى والطراش' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الدمام",ب
ما فيها غير صوير وعوير واللي ما فيه خير,عندما تكون كل الخيارات سيئة,General,"المهمة: حدد أين يتم استخدام هذا المثل بشكل شائع.
السؤال: في أي دولة غالباً ما يتعلق هذا المثل بالمشاكل اليومية؟
الخيارات:
أ) المملكة العربية السعودية
ب) البحرين
ج) الكويت
د) الإمارات",أ
ما ورى بيشة عيشة,مثل يقال لمن لا تتنظر منه شي ينفع. اذا كان طلبك او حاجتك عند شخص او شيء لا تتوقع منه ان يجيب لك نتيجة، تقول ما ورى بيشة عيشة.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي منطقة سعودية يُستخدم المثل ""ما ورى بيشة عيشة"" بشكل شائع؟
أ) الرياض
ب) مكة المكرمة
ج) بيشة
د) الدمام",ج
ما يعرف راصو من ساسو,لا يعرف رأسه من قدميه.,Central,"المهمة: حدد المنطقة الجغرافية الأكثر ارتباطاً بالمثل.
السؤال: 'ما يعرف راصو من ساسو' ما المدينة الأكثر استخداماً لهذا المثل فيها؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
ماتلقى الغنج الا عند الحمير العرج,مثال جميل يقال عند رؤية شخص يتدلع و يتغنج و هوا غير أهل لهذا الفعل,Western,"المهمة: حدد المنطقة الأكثر استخدامًا لهذا المثل.
السؤال: في أي مدينة سعودية يُستخدم مثل 'ماتلقى الغنج الا عند الحمير العرج' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) أبها",أ
ماخص من قديد الا عسفان,ترجمتها بالفصحى ليس اسوأ من ( قديد ) سوى ( عسان ) و(قديد) و(عسفان) هي اسماء قرى في الحجاز شمال مكة المكرمة ب كيلو تقريبا . ويضرب هذا المثل لوصف شيئين كلاهما اسوأ من الاخر . ولا اعلم تحديدا سبب التسمية .,Western,"المهمة: حدد الموقع المرتبط بالمثل.
السؤال: في أي منطقة سعودية يُستخدم المثل 'ما خص من قديد الا عسفان' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",ب
مد رجولك على قد لحافك,اكتفي بما عندك أو لا تتوهم شيئا فوق استطاعتك.,Central,"المهمة: حدد أين يُستخدم هذا التعبير بشكل شائع.
السؤال: في أي منطقة من السعودية يُعرف التعبير 'مد رجولك على قد لحافك' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",أ
من جرف لدحديرة، يا قلبي لا تحزن,يخرج من مصيبة ليدخل في مصيبة أخرى.,Western,"المهمة: حدد المنطقة الأكثر ارتباطاً بالمثل.
السؤال: في أي منطقة سعودية يُستخدم المثل 'من جرف لدحديرة، يا قلبي لا تحزن' بشكل عام؟
الخيارات:
أ) الرياض
ب) جدة
ج) مكة
د) أبها",ب
