Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
الي مايطول الرطب يابس عنه يقول,الذي لا يطول الرطب يابس عنه يقول تقال للشخص الذي لديه غيره كما في مثالي,Central,"المهمة: اختر الموقف المناسب لاستخدام العبارة.
السؤال: في أي موقف يمكن استخدام عبارة 'الي مايطول الرطب يابس عنه يقول'؟
الخيارات:
أ) عند الإشارة إلى شخص يتمنى شيء صعب المنال.
ب) عند التحدث عن النجاح في العمل.
ج) عند وصف شخص محب للخير.
د) عند ذكر أحداث السعادة.",أ
بدوي طاحلو في تمرة,واحد ما صدق على الله يلاقيلو شي، وما سابو.,Western,"المهمة: حدد الاستخدام الصحيح للتعبير في السياق.
السؤال: في أي موقف يمكن استخدام التعبير 'بدوي طاحلو في تمرة'؟
الخيارات:
أ) عندما تجد شيئًا غير متوقع
ب) عندما تفقد شيئًا مهمًا
ج) عندما تعيش في الريف
د) عندما تبحث عن وظيفة",أ
بعد ما أكل واتكا قال ريحته مستكا,شخص يشكي او لم يرضي عن وجبة اكلها بعد أن أكل جميع ما فيها.,Western,"المهمة: حدد الاستخدام الصحيح للجملة في السياق.
السؤال: في أي موقف يمكن استخدام الجملة: 'بعد ما أكل واتكا قال ريحته مستكا'؟
الخيارات:
أ) أثناء الحديث عن مشكلة في الطعام.
ب) عند تقييم جودة الطعام بعد الأكل.
ج) عند الإشادة بخدمة المطعم.
د) عند عرض إحدى الأطباق.",ب
بو طبيع مايجوز عن طبعه,تعني أن صاحب الطبع من الصعب والمستحيل أن يتخلى عن طبعه المعروف به.,General,"المهمة: حدد الاستخدام الصحيح للمثل.
السؤال: كيف يمكن استخدام مثل 'بو طبيع مايجوز عن طبعه' في محادثة؟
الخيارات:
أ) لما يتحدث شخص عن تغييره لعاداته.
ب) لما يتحدث شخص عن اتخاذ قرار سريع.
ج) لما يتحدث شخص عن شخصيته وعاداته.
د) لما يتحدث شخص عن نجاحاته.",ج
بيكحّلها عماها,بمعنى: أراد أن يكحلها فأعماها. تقال عندما يحاول شخص إصلاح أمر فيفسده.,General,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.  
السؤال: في أي سياق يمكن استخدام المثل ""بيكحّلها عماها""؟  
الخيارات:  
A) عندما يحاول شخص مساعدة صديق ولكنه يسبب له مزيدًا من المتاعب.  
B) عندما يساعد شخص فقير للعيش الكريم.  
C) عندما يكون الشخص سعيدًا بحياته.  
D) عندما تتحدث العائلة في مناسبة سعيدة.  

الجواب الصحيح: A (عندما يحاول شخص مساعدة صديق ولكنه يسبب له مزيدًا من المتاعب.)",
تيتي تيتي زي ما رحتي زي ما جيتي,شخص لم يستطع القيام بمهمة كُلف بها او فشل فيها,Western,"المهمة: اختر السياق الذي يمكن استخدام العبارة فيه.
السؤال: في أي موقف يمكن أن تستخدم العبارة 'تيتي تيتي زي ما رحتي زي ما جيتي'؟
الخيارات:
أ) عندما تنجح في مشروعك
ب) عندما تواجه الفشل في أداء مهمة
ج) عند العودة من رحلة
د) في الاحتفالات",ب
جابلي أعمى يِوَنّسني بَحلَق بِعينو فَجعني,يقال هذا المثل عندما نتحسر مثلاً على خادمة جديدة وهكذا!,Western,"المهمة: حدد الحالة التي يمكن استخدام المثل فيها.
السؤال: في أي مناسبة يمكن استخدام المثل 'جابلي أعمى يِوَنّسني بَحلَق بِعينو فَجعني'؟
الخيارات:
أ) عند التحسر على خسارة
ب) عند الاحتفال بمناسبة
ج) عند الشراء
د) عند العزاء",أ
جات تكحلها عمتها,تقال عندما يريد الشخص ان يقول او يفعل شيئا ويعدله ، ولكنه يخربه أكثر,Western,"المهمة: اختر السياق المناسب لمثل 'جات تكحلها عمتها'.
السؤال: في أي حالة يمكن أن نستخدم مثل 'جات تكحلها عمتها'؟
الخيارات:
أ) عند إصلاح سيارة.
ب) عند محاولة الطهي.
ج) عند اتخاذ قرار خاطئ.
د) عند القيام بمشروع جديد.",ج
جاك يا مهنى ماتمنى,مثل يُقال عندما يأتيك شيء تتمناه وخصوصاً اذا أتاك بسهوله أو مصادفه تتمناها,General,"المهمة: اختر الجملة التي تحتوي على مثل ""جاك يا مهنى ماتمنى"" بطريقة طبيعية.  
السؤال: أي من العبارات التالية تستخدم هذا المثل بشكل صحيح؟  
الخيارات:  
A) أريد شراء سيارة جديدة، لكن الأسعار مرتفعة.  
B) حصل صديقي على فرصة عمل رائعة، جاك يا مهنى ماتمنى!  
C) لم أتمكن من السفر كما كنت أتمنى.  
D) الأمطار كانت غزيرة هذا العام.) حصل صديقي على فرصة عمل رائعة، جاك يا مهنى ماتمنى!",B
حبسوه في كيس مع ابليس طلع ابليس منه يستغيث,عن دهاء وخبث وشر بعض الناس,General,"المهمة: حدد السياق المناسب لاستخدام المثل.
السؤال: في أي موقف يمكن استخدام المثل 'حبسوه في كيس مع ابليس طلع ابليس منه يستغيث'؟
الخيارات:
أ) عند الحديث عن الخداع والمكائد
ب) عند الاحتفال بالنجاح
ج) عند وصف الطبيعة الخلابة
د) عند الحديث عن الصداقات العميقة",أ
حرك تبلش,تقال حينما يعبث الشخص بشي وينتج عنه تلف او تغيير سلبي له,Central,"المهمة: اختر الجملة التي يستخدم فيها مصطلح 'حرك تبلش' بشكل صحيح.
السؤال: أي من الجمل التالية يتضمن الاستخدام الصحيح لمصطلح 'حرك تبلش'؟
الخيارات:
أ) هو حرك تبلش في الاختبار.
ب) لا تحرك تبلش في الأثاث.
ج) هي حركت تبلش في المشروع.
د) حرك تبلش عندما تكون الأمور صعبة.",ب
حزمة كراث ولا صنيعة نخولي,الرضا بالقليل أفضل من طلب المعروف من غير أهله، ,General,"المهمة: حدد السياق الذي يمكن استخدام العبارة فيه.
السؤال: في أي موقف يمكنك قول 'حزمة كراث ولا صنيعة نخولي'؟
الخيارات:
أ) عند استلام هدية كبيرة
ب) عند تناول الطعام مع الأصدقاء
ج) عندما تشعر بالامتنان لقليل من المساعدة
د) عندما تحضر حفلة فاخرة",ج
خطط في ماء واقبص في حيد,مثل شعبي قديم ومعروف لدى أهالي منطقة عسير يقال عندما يشعر الشخص باليأس من جدوى الحديث والنصيحة لشخص ما,Southern,"المهمة: تحديد السياق المناسب لاستخدام المثل.
السؤال: في أي موقف يُفضل استخدام المثل 'خطط في ماء واقبص في حيد'؟
الخيارات:
أ) عند الحديث عن المشاريع الناجحة
ب) عند التحذير من الإحباط
ج) عند تقديم النصائح
د) عند الاحتفال بالنجاح",ب
خليك على قردك لا يجيك أقرد منه,مثل حجازي تعني : اصبر على ما ابتلاك الله به حتى لا يأتيك ما هو أبلى!,Western,"المهمة: اختر السياق المناسب لاستخدام هذا المثل.
السؤال: في أي موقف يمكنك استخدام مثل 'خليك على قردك لا يجيك أقرد منه'؟
الخيارات:
أ) عند اتخاذ قرار بالتخلي عن وظيفة
ب) عند التحدث عن الزواج
ج) عند الحديث عن المشاكل المالية
د) عند نصح صديق بالبقاء في علاقة عاطفية",أ
دقه بدقه و لو زدت زاد السقا,مثل يعني العين بالعين و السن بالسن و له قصة مشهوره,Central,"المهمة: اختر الاستخدام المناسب للمثل.
السؤال: في أي موقف يمكن استخدام المثل 'دقه بدقه و لو زدت زاد السقا'؟
الخيارات:
أ) عند الحديث عن الصداقة
ب) عند نقاش موضوع العدل
ج) عند التخطيط للسفر
د) عند التحدث عن الزراعة",ب
ذكرنا القط قام ينط,تكلمنا عن حد وجا بنفس اللحظه,Western,"المهمة: حدد الاستخدام السياقي المناسب للجملة.
السؤال: في أي سياق يمكن استخدام الجملة 'ذكرنا القط قام ينط'?
الخيارات:
أ) عند وصف موقف مضحك
ب) عند الحديث عن الحيوانات
ج) عند شرح قصة حدثت مؤخراً
د) عند التفكير في الأرقام",ب
رضينا بالهم والهم ما رضي بنا,رضينا بالهم والهم ما رضي بنا,General,"المهمة: اختر السياق المناسب لاستخدام المثل.
السؤال: في أي موقف يمكن استخدام المثل 'رضينا بالهم والهم ما رضي بنا'؟
الخيارات:
أ) عندما نكون سعداء
ب) عند مواجهة صعوبات الحياة
ج) في مناسبة اجتماعية
د) عندما نتحدث عن النجاح",ب
ريحة ابو علي ولا عدموو,ريحة ابو علي ولا عدمو : الشي القليل خير من عدم وجوده اصلاََ,Western,"المهمة: حدد الاستخدام الصحيح للجملة.
السؤال: متى يمكن أن نستخدم تعبير 'ريحة ابو علي ولا عدمو'؟
الخيارات:
أ) عند الحديث عن الاختيارات السيئة
ب) عند المقارنة بين الأشياء المتاحة
ج) عند ذكر الطقس
د) عند المبالغة في وصف الطعام",ب
ستي رئيتها ما نقص عليا الا جدران بيتها .,هذه العباره تستخدم في التعبير عن كثرة رؤية الاشخاص يومياً مثل الاصحاب . على سبيل المثال . عندما ارى صديقتي يومياً . تقول لي والتي هذا المثل . انه لم ينقص عليكي الا ان تذهبي وتري حائط منزلها,Western,"المهمة: حدد الاستخدام المناسب للعبارة في سياق معين.
السؤال: في أي موقف يمكن استخدام العبارة 'ستي رئيتها ما نقص عليا الا جدران بيتها'?
الخيارات:
أ) عندما تقابل أصدقائك في المدرسة
ب) عندما تزور شخص ما بانتظام
ج) عندما تتحدث عن ذكريات الطفولة
د) عندما تتسوق في المركز التجاري",ب
ضربني وبكى سبقني و شكى,ضربني وبكى سبقني و شكى,General,"المهمة: حدد السياق الأنسب لاستخدام المثل 'ضربني وبكى سبقني و شكى'.
السؤال: في أي موقف يمكن استخدام المثل 'ضربني وبكى سبقني و شكى'؟
الخيارات:
أ) عند وصف شخص يتعرض للظلم
ب) عند مناقشة أهمية الصداقة
ج) عند التحدث عن خيانة الأصدقاء
د) في سياق المنافسة الرياضية",أ
على طمام المرحوم,إذا سألك واحد عن شي وتجيبه أن الأمر كما هو عليه لم يتغير .,Central,"المهمة: حدد السياق المناسب لاستخدام عبارة 'على طمام المرحوم'.
السؤال: في أي حالة يمكن استخدام عبارة 'على طمام المرحوم'؟
الخيارات:
أ) عندما الأمور تسير على ما يرام
ب) عندما يحدث تغيير كبير
ج) عند حدوث أزمة
د) عندما تشعر بالقلق",أ
عليه من الله ظل,قليل الحيله و الفهم ، وقد يوصف به الاحمق الذي لا يعي ما يعمل او لا يعي نتائج ما يعمل,Central,"المهمة: اختر السياق المناسب لاستخدام التعبير.
السؤال: في أي حالات يمكن أن تستخدم العبارة 'عليه من الله ظل'؟
الخيارات:
أ) عند وصف شخص ناجح
ب) عند الحديث عن شخص يفتقر إلى الحيلة
ج) في مديح شخص آخر
د) عند الحديث عن شخص محترف",ب
عمية تحفف مجنونه و تقلها حواجبك سود و مقرونة,شخص غير مؤهل يقود شخص أو أشخاص غير مؤهلين للقيام بالعمل,Central,"المهمة: في أي سياق يُستخدم المصطلح؟
السؤال: في أي موقف يمكنك أن تستخدم عبارة 'عمية تحفف مجنونه و تقلها حواجبك سود و مقرونة'؟
الخيارات:
أ) أثناء مناقشة عن التعليم
ب) عند الحديث عن الأزياء
ج) عند وصف شخص غير مؤهل
د) في حديث عائلي",ج
عنز بدو طاحت في مريس,هذا المثل يقال للشخص اذا ادمن بشكل مبالغ فيه على فعل او اكل شي جديد,Central,"المهمة: اختر السياق المناسب لاستخدام المثل.
السؤال: في أي حالة يمكن استخدام المثل 'عنز بدو طاحت في مريس'؟
الخيارات:
أ) عندما يفرط شخص في تناول الطعام
ب) عندما ينجح شخص في دراسة
ج) عند إظهار الحزن
د) عندما يتم مدح شخص",أ
تفكر الشغلة .نجارة.يضرب بالقدوم ويمسح بالفارة,ليس الأمر بذ بغاية السهولة,Western,"المهمة: اختر الاستخدام الصحيح للعبارة.
السؤال: أين يمكن استخدام العبارة 'يضرب بالقدوم ويمسح بالفارة' بشكل صحيح؟
الخيارات:
أ) في ورشة النجارة
ب) في المدرسة
ج) على الطاولة
د) في المطعم",أ
قال للغلباوي اسكت وأعطيك ريال ، قال خذ خمسة وخليني اتكلم,مثل يقال للشخص كتير الكلام واللي ما يسكت لو ايش ما تسوي فيه ^^,General,"المهمة: اختر الاستخدام الصحيح للمثل في السياق.
السؤال: في أي حال يمكن استخدام هذا المثل؟
الخيارات:
أ) عند صدور حديث طويل عن شخص
ب) أثناء تناول الطعام مع الأصدقاء
ج) عند التحدث عن الدراسة
د) أثناء مشاهدة التلفاز",أ
قرعة الساقي,يطلق على الشي الذي يكلف اكثر من قيمته,Central,"المهمة: اختر الاستخدام الصحيح لعبارة 'قرعة الساقي' في الجملة.
السؤال: اختبر الجملة التالية: 'اشتريت سيارة جديدة، لكني دفعت ________.'
الخيارات:
أ) قرعة الساقي
ب) كل ريال يستاهل
ج) رخيصة
د) قديمة",أ
قفا الصديق ولا وجه العدو,اذا احد لقى قفاه لعمل ينجزه يقول لك: العذر والسموحه ملقيك قفاي يكون الرد: قفا الصديق ولا وجه العدو,Central,"المهمة: في أي سياق يمكن استخدام عبارة 'قفا الصديق ولا وجه العدو'؟
السؤال: متى يُستخدم هذا القول؟
الخيارات:
أ) عند الاعتذار
ب) عند انجاز الأعمال
ج) عند التعارف
د) عند المخاطبة",أ
كبرت يا بس و صرت تخربش,يقال لهؤلاء الناس الذين يعتقدون ان بمعرفتهم الصغيرة ربما يستطيعون مجارة الكبار,Central,"المهمة: اختر السياق الصحيح لاستخدام العبارة:
السؤال: متى يمكن قول 'كبرت يا بس و صرت تخربش'؟
الخيارات:
أ) أثناء الحديث مع شخص ناضج
ب) عند التحدث مع أصدقاء في المدرسة
ج) عند الحديث عن موضوعات عميقة
د) عند استماع شخص إلى نصيحة",ب
كل حشفة و لها مقرمش,كل شخص له نصيب من الزواج حتى ولو كان غبيا او كريها او بشعا فيقال هذا المثل دعما لذلك الحشفة هي قطعة نااشفة من الخبر,Western,"المهمة: حدد في أي سياق يُستخدم هذا المثل.
السؤال: متى يمكن استخدام المثل 'كل حشفة و لها مقرمش'؟
الخيارات:
أ) عند الحديث عن الكتب
ب) عند التحدث عن الزواج
ج) عند مناقشة المال
د) عند الحديث عن النجاح",ب
كل واحد يشل شيلتة,يدل ذلك على ان كل واحد مسؤؤول عن افعالة,General,"المهمة: اختر الخيار الذي يناسب سياق العبارة.
السؤال: في أي سياق يستخدم المصطلح 'كل واحد يشل شيلتة'؟
الخيارات:
أ) في نقاش حول المسؤولية الشخصية
ب) في حفل زفاف
ج) في مباراة كرة قدم
د) في درس عن التعاون",أ
لا تتريق الا على صايم مصلي,تقال للتحذير بانه كل شخص تستهزء بيه يوم حتلاقي الشي سار فيك,Western,"المهمة: اختر السياق المناسب لاستخدام المثل.
السؤال: في أي موقف يُفضل قول 'لا تتريق الا على صايم مصلي'؟
الخيارات:
أ) عند الدعوة لتناول الطعام
ب) عند مناقشة احترام الآخرين
ج) عند السخرية من شخص يؤدي شعائر دينية
د) عند اللعب مع الأصدقاء",ج
لا تحط عصك في شي ما يخصك,اي بمعنى لا تتدخل في امور لا تعنيك وتصبح في مشاكل انت في غنى عنها,Western,"المهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية.  
السؤال: اختر جملة تناسب استخدام المثل ""لا تحط عصك في شي ما يخصك"":  
  الخيارات:  
  A) يجب أن أتدخل في مشكلتهم.  
  B) من الأفضل أن أبتعد عن خلافاتهم.  
  C) سأساعدهم في حل مشاكلهم.  
  D) لا تأخذ الأمور بجدية.",B
