Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
الطول طول النخله والعقل عقل سخله,هو ان يكون الشحص ذو هيبه و وقار وطويل القامه ولكن عقله يشبه بعقل السخله السخله:هي صغير الضأن والماعز بالتالي ليس الشكل يحكم دوما على جوهر المرء، إنما منطوقه وأفعاله وما يحمله في داخله، فكل إناء بما فيه ينضح. ياتي ضرب المثل أحيانا من باب المزاح، والفكاهة؛ لكي لا نجرح غيرنا,General,"المهمة: اشرح ما يعكسه المثل عن الثقافة السعودية.
السؤال: ما هو التفسير الثقافي وراء هذا المثل؟
الخيارات:
أ) يعكس تقدير الشكل على الجوهر
ب) يبرز أهمية الأخلاق والسلوك
ج) يُشير إلى الذكاء على أنه مرتبط بالمظهر
د) يُظهر الانفتاح على الثقافات الأخرى",ب
الغربة كربة وهم للركبة,عن قسوة الاغتراب ومصاعبها,Western,"المهمة: فكر في التعبير من منظور ثقافي.
السؤال: ما الذي يعنيه التعبير 'الغربة كربة وهم للركبة' بالنسبة للسعوديين؟
الخيارات:
أ) يعيش الشخص تجربة نجاح كبيرة
ب) يعاني الشخص من الوحدة والحنين للوطن
ج) يشعر الشخص بمرح الحياة
د) يعتمد الشخص على الآخرين",ب
اللي ما يعرف الصقر يشويه,اللذي لا يعرف قيمة الشي يفسده او تذهب فرصته,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.  
السؤال: ما هي الدلالة الثقافية للمثل ""اللي ما يعرف الصقر يشويه""؟  
الخيارات:  
A) يبرز أهمية المعرفة والقيمة في المجتمع  
B) يشير إلى التقاليد في عروض الصقور  
C) يعبر عن التفاؤل بالمستقبل  
D) يدل على الطموح في الحياة",A
اللي نحبه نبلع له الزلط واللي نكرهه نحاسبه على الغلط,"صيغة أخرى ""إللي تحبه تبلع له الزلط وإللي تكرهه تقعد له على الغلط"" الزلط هي الحجارة ويقصد بالمثل أن الناس يتسامحون مع أخطاء أحبابهم حبيبك يمضغ لك الزلط وعدوك يعد لك الغلط",Western,"المهمة: اشرح معنى المثل من منظور الثقافة السعودية.
السؤال: كيف يمكن تفسير المثل 'اللي نحبه نبلع له الزلط واللي نكرهه نحاسبه على الغلط' في الثقافة السعودية؟
الخيارات:
أ) يدل على الصداقات القوية
ب) يقصد أن العلاقات تقبل الأعذار
ج) يعني الكرم في العلاقات
د) يعكس الشفافية بين الناس",ب
النار ما تحرق الا رجل واطيها,النار لا تحرق الا من يضع رجله عليها,Central,"المهمة: حدد التفسير الثقافي للعبارة.
السؤال: ما الذي تعكسه عبارة 'النار ما تحرق الا رجل واطيها' عن القيم السعودية؟
الخيارات:
أ) أهمية الحذر والانتباه
ب) صحة العذابات
ج) خطر الأنشطة الجماعية
د) العزيمة مقابل العذابات",أ
الناس في الناس والعجوزه في الطلق والنفاس,يطلق هذا المثل على الي جالسه مع الشله وهم في وادي وهي في وادي,Central,"المهمة: حدد ما الذي يعكسه هذا المثل عن الثقافة السعودية.
السؤال: أي جانب من الجوانب الثقافية يعبر عنه المثل 'الناس في الناس والعجوزه في الطلق والنفاس'؟
الخيارات:
أ) التنوع الاجتماعي في المجتمع
ب) أهمية الصداقة
ج) الاستقرار العائلي
د) الثقافة التقليدية",أ
الي مايطول الرطب يابس عنه يقول,الذي لا يطول الرطب يابس عنه يقول تقال للشخص الذي لديه غيره كما في مثالي,Central,"المهمة: اشرح كيف تعكس العبارة جزءاً من الثقافة السعودية.
السؤال: كيف تعكس عبارة 'الي مايطول الرطب يابس عنه يقول' نظرة المجتمع السعودي تجاه الطموح والجدية؟
الخيارات:
أ) تعكس حب الناس للكلام.
ب) تظهر أن التحديات تستدعي العمل الجاد.
ج) تدل على الكسل.
د) تعكس التقدير للتنقل.",ب
بدوي طاحلو في تمرة,واحد ما صدق على الله يلاقيلو شي، وما سابو.,Western,"المهمة: اشرح دلالة التعبير في الثقافة السعودية.
السؤال: ما الذي يرمز إليه تعبير 'بدوي طاحلو في تمرة' في الثقافة السعودية؟
الخيارات:
أ) عدم اليأس من الحياة
ب) أهمية الثقة بالله
ج) الانتظار لتحقيق الأمنيات
د) الحذر عند التعامل مع الآخرين",ب
بعد ما أكل واتكا قال ريحته مستكا,شخص يشكي او لم يرضي عن وجبة اكلها بعد أن أكل جميع ما فيها.,Western,"المهمة: صف المعنى الثقافي للجملة.
السؤال: ماذا تعكس الجملة: 'بعد ما أكل واتكا قال ريحته مستكا' عن ثقافة الطعام في السعودية؟
الخيارات:
أ) تعكس أهمية الشكوى في الآداب الاجتماعية.
ب) تظهر مدى تنوع الأذواق في الطعام.
ج) تشير إلى الرضا التام عن الطعام.
د) تعكس تجربة شخصية في تناول الطعام.",د
بو طبيع مايجوز عن طبعه,تعني أن صاحب الطبع من الصعب والمستحيل أن يتخلى عن طبعه المعروف به.,General,"المهمة: فسر لنا معنى المثل في الثقافة السعودية.
السؤال: ما الذي يعكسه مثل 'بو طبيع مايجوز عن طبعه' عن المجتمع السعودي؟
الخيارات:
أ) أهمية التغيير والتجديد.
ب) قيمة الثبات على العادات والتقاليد.
ج) أهمية التعلم من الأخطاء.
د) أهمية العلاقات الاجتماعية.",ب
بيكحّلها عماها,بمعنى: أراد أن يكحلها فأعماها. تقال عندما يحاول شخص إصلاح أمر فيفسده.,General,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.  
السؤال: ما الدلالة الثقافية للمثل ""بيكحّلها عماها""؟  
الخيارات:  
A) يتحدث عن النجاح والسعادة  
B) يشير إلى أهمية التدخل بحذر  
C) يعبر عن الفخر في إنجازات الفرد  
D) يركز على التعاون بين الأفراد  

الجواب الصحيح: B (يشير إلى أهمية التدخل بحذر)",
تيتي تيتي زي ما رحتي زي ما جيتي,شخص لم يستطع القيام بمهمة كُلف بها او فشل فيها,Western,"المهمة: تحليل معنى العبارة في الثقافة السعودية.
السؤال: ما هو التفسير الثقافي للعبارة 'تيتي تيتي زي ما رحتي زي ما جيتي'؟
الخيارات:
أ) تعبر عن النجاح
ب) تدل على الانغماس في الحياة
ج) تشير إلى عدم التقدم أو الفشل
د) تعبر عن السعادة",ج
جابلي أعمى يِوَنّسني بَحلَق بِعينو فَجعني,يقال هذا المثل عندما نتحسر مثلاً على خادمة جديدة وهكذا!,Western,"المهمة: اشرح السياق الثقافي للمثل المذكور.
السؤال: لماذا يُعتبر المثل 'جابلي أعمى يِوَنّسني بَحلَق بِعينو فَجعني' شائعاً في الثقافة السعودية؟
الخيارات:
أ) لأنه يعبر عن التحسر على الأشياء
ب) لأنه يعبر عن الفخر بالحياة
ج) لأنه يحمل معنى الضحك فقط
د) لأنه يستخدم في الحكايات القديمة",أ
جات تكحلها عمتها,تقال عندما يريد الشخص ان يقول او يفعل شيئا ويعدله ، ولكنه يخربه أكثر,Western,"المهمة: فسر كيف يعكس مثل 'جات تكحلها عمتها' الثقافة السعودية.
السؤال: ما هو التفسير الثقافي وراء مثل 'جات تكحلها عمتها'؟
الخيارات:
أ) يعكس الجهد المبذول والإخفاق.
ب) يعكس الفخر بالعمل المنجز.
ج) يعكس البحث عن النجاح.
د) يعكس الخمول والتقصير.",أ
جاك يا مهنى ماتمنى,مثل يُقال عندما يأتيك شيء تتمناه وخصوصاً اذا أتاك بسهوله أو مصادفه تتمناها,General,"المهمة: اختر التفسير الثقافي الصحيح للمثل.  
السؤال: ما هي الأهمية الثقافية لمثل ""جاك يا مهنى ماتمنى""؟  
الخيارات:  
A) يعكس أهمية العمل الجاد في تحقيق الأماني.  
B) يشير إلى قناعة الناس بأن الحظ يلعب دورًا في الحياة.  
C) يبرز التقدير للصدف السعيدة.  
D) يشجع على عدم توقع الأمور بسهولة.) يبرز التقدير للصدف السعيدة.",C
حبسوه في كيس مع ابليس طلع ابليس منه يستغيث,عن دهاء وخبث وشر بعض الناس,General,"المهمة: اذكر نوع السلوك الذي يعكسه هذا المثل في الثقافة السعودية.
السؤال: كيف يعكس المثل 'حبسوه في كيس مع ابليس طلع ابليس منه يستغيث' سلوك بعض الناس في المجتمع؟
الخيارات:
أ) يعكس التعاون والتسامح
ب) يدل على الخداع والشر
ج) يعبر عن الكرم والجود
د) يقف مع الصدق والأمانة",ب
حرك تبلش,تقال حينما يعبث الشخص بشي وينتج عنه تلف او تغيير سلبي له,Central,"المهمة: شرح عبارة 'حرك تبلش' في السياق الثقافي.
السؤال: ما الذي يُشير إليه مصطلح 'حرك تبلش' في الثقافة السعودية؟
الخيارات:
أ) التصرف بإهمال يؤدي إلى مشاكل.
ب) العمل الجاد لتحقيق الأهداف.
ج) التواصل الاجتماعي بين الأصدقاء.
د) مشاركة الأفكار في المشاريع.",أ
حزمة كراث ولا صنيعة نخولي,الرضا بالقليل أفضل من طلب المعروف من غير أهله، ,General,"المهمة: اشرح كيف تعكس العبارة القيم الثقافية.
السؤال: كيف تعكس عبارة 'حزمة كراث ولا صنيعة نخولي' قيمة الرضا في الثقافة السعودية؟
الخيارات:
أ) تدل على الكرم
ب) تعبر عن الاعتزاز بالنفس
ج) تشير إلى أهمية الحصول على المساعدة
د) تدل على القناعة والرضا بما هو متوفر",د
خطط في ماء واقبص في حيد,مثل شعبي قديم ومعروف لدى أهالي منطقة عسير يقال عندما يشعر الشخص باليأس من جدوى الحديث والنصيحة لشخص ما,Southern,"المهمة: شرح الدلالة الثقافية للمثل.
السؤال: ما الذي يعكسه المثل 'خطط في ماء واقبص في حيد' عن الثقافة السعودية؟
الخيارات:
أ) التفاؤل الدائم
ب) أهمية الحكمة والتفكير
ج) الإحباط من بعض النصائح
د) الرغبة في التغيير",ج
خليك على قردك لا يجيك أقرد منه,مثل حجازي تعني : اصبر على ما ابتلاك الله به حتى لا يأتيك ما هو أبلى!,Western,"المهمة: فسر ماذا يعني هذا المثل في الثقافة السعودية.
السؤال: لماذا يُعتبر مثل 'خليك على قردك لا يجيك أقرد منه' شائعاً في الثقافة السعودية؟
الخيارات:
أ) لأنه يعكس قيم الصبر والرضا
ب) لأنه يشجع الناس على التغيير
ج) لأنه يدعو للتهور
د) لأنه يتعلق بالفقر",أ
دقه بدقه و لو زدت زاد السقا,مثل يعني العين بالعين و السن بالسن و له قصة مشهوره,Central,"المهمة: حدد السياق الثقافي الخاص بالمثل.
السؤال: لماذا يُعتبر مثل 'دقه بدقه و لو زدت زاد السقا' شائعًا في الثقافة السعودية؟
الخيارات:
أ) لأنه يعكس قيم العدل والمساواة
ب) لأنه يتحدث عن الزراعة
ج) لأنه يركز على أهمية المال
د) لأنه مرتبط بالأسفار",أ
ذكرنا القط قام ينط,تكلمنا عن حد وجا بنفس اللحظه,Western,"المهمة: فسر الجملة وفقًا للثقافة السعودية.
السؤال: كيف تعكس الجملة 'ذكرنا القط قام ينط' الثقافة السعودية؟
الخيارات:
أ) تعبر عن الأحاديث اليومية بين الأصدقاء
ب) تدل على أهمية الحيوانات في المجتمع
ج) تعبر عن التعاون بين أفراد الأسرة
د) تعكس الفخر بالقيم التقليدية",أ
رضينا بالهم والهم ما رضي بنا,رضينا بالهم والهم ما رضي بنا,General,"المهمة: ما هو التفسير الثقافي للمثل؟
السؤال: يدل المثل 'رضينا بالهم والهم ما رضي بنا' على ___ في الثقافة السعودية.
الخيارات:
أ) التسليم بالقضاء والقدر
ب) أهمية تحمل المسؤولية
ج) دعوة للتفاؤل
د) طبيعة الحياة الصعبة",أ
ريحة ابو علي ولا عدموو,ريحة ابو علي ولا عدمو : الشي القليل خير من عدم وجوده اصلاََ,Western,"المهمة: اشرح المعنى الثقافي للتعبير.
السؤال: ماذا يعكس تعبير 'ريحة ابو علي ولا عدمو' من قيم ثقافية؟
الخيارات:
أ) التقدير للقليل
ب) فقدان الأمل
ج) التجاهل
د) الفخر بالكثير",أ
ستي رئيتها ما نقص عليا الا جدران بيتها .,هذه العباره تستخدم في التعبير عن كثرة رؤية الاشخاص يومياً مثل الاصحاب . على سبيل المثال . عندما ارى صديقتي يومياً . تقول لي والتي هذا المثل . انه لم ينقص عليكي الا ان تذهبي وتري حائط منزلها,Western,"المهمة: اشرح القيمة الثقافية المعنية في العبارة.
السؤال: ما هو التفسير الثقافي للعبارة 'ستي رئيتها ما نقص عليا الا جدران بيتها'؟
الخيارات:
أ) تعبر عن الروابط الأسرية
ب) تتعلق بالضيافة
ج) تشير إلى العمل الجماعي
د) تدل على المنافسة",أ
ضربني وبكى سبقني و شكى,ضربني وبكى سبقني و شكى,General,"المهمة: فسر كيف يعكس هذا المثل جوانب من الثقافة السعودية.
السؤال: ما الذي يعكسه مثل 'ضربني وبكى سبقني و شكى' من جوانب الثقافة السعودية؟
الخيارات:
أ) أهمية التفاهم والدعم بين الأصدقاء
ب) الأخلاق المرتبطة بالأمانة
ج) مفهوم العزوة والقبيلة
د) العلاقات الأسرية والتضامن",أ
على طمام المرحوم,إذا سألك واحد عن شي وتجيبه أن الأمر كما هو عليه لم يتغير .,Central,"المهمة: فسر المعنى الثقافي لعبارة 'على طمام المرحوم'.
السؤال: ماذا تعني عبارة 'على طمام المرحوم' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الاستسلام
ب) تعبر عن الثبات على الحال
ج) تعبر عن التفاؤل
د) تعبر عن الحزن",ب
عليه من الله ظل,قليل الحيله و الفهم ، وقد يوصف به الاحمق الذي لا يعي ما يعمل او لا يعي نتائج ما يعمل,Central,"المهمة: وضح ما تعكسه العبارة عن الثقافة السعودية.
السؤال: ماذا تعكس عبارة 'عليه من الله ظل' عن نظرة المجتمع السعودي للأشخاص الذين يفتقرون للحيلة؟
الخيارات:
أ) تقدير البدلاء
ب) احترم الفشل
ج) النظر إلى الأشخاص المحتاجين بفهم
د) الإعجاب بالشجاعة",ج
عمية تحفف مجنونه و تقلها حواجبك سود و مقرونة,شخص غير مؤهل يقود شخص أو أشخاص غير مؤهلين للقيام بالعمل,Central,"المهمة: فسر العبارة من منظور ثقافي.
السؤال: ما الذي يعكسه استخدام 'عمية تحفف مجنونه و تقلها حواجبك سود و مقرونة' عن الثقافة السعودية؟
الخيارات:
أ) تأكيد على أهمية الكفاءة في العمل
ب) دعابة عن الجمال
ج) حول المشاعر الأسرية
د) يعد تنبيهًا اجتماعيًا",أ
عنز بدو طاحت في مريس,هذا المثل يقال للشخص اذا ادمن بشكل مبالغ فيه على فعل او اكل شي جديد,Central,"المهمة: فسر المعنى الثقافي للمثل.
السؤال: ما الذي يعكسه المثل 'عنز بدو طاحت في مريس' من قيم المجتمع السعودي؟
الخيارات:
أ) أهمية الاعتدال
ب) ضرورة التواصل الاجتماعي
ج) قيمة الشجاعة
د) تقبل المجتمع للخطأ بشكل واسع",أ
تفكر الشغلة .نجارة.يضرب بالقدوم ويمسح بالفارة,ليس الأمر بذ بغاية السهولة,Western,"المهمة: فسر العبارة ثقافياً.
السؤال: ما هو المعنى الثقافي للعبارة 'نجارة' في اللهجة السعودية؟
الخيارات:
أ) فن الحرف اليدوية
ب) العمل في المجال الطبي
ج) المهن الإدارية
د) دراسة العلوم",أ
قال للغلباوي اسكت وأعطيك ريال ، قال خذ خمسة وخليني اتكلم,مثل يقال للشخص كتير الكلام واللي ما يسكت لو ايش ما تسوي فيه ^^,General,"المهمة: فسر كيف يعكس المثل ثقافة المجتمع السعودي.
السؤال: ما الذي يعكسه هذا المثل عن السياق الاجتماعي في السعودية؟
الخيارات:
أ) يحث على الصمت
ب) يعبر عن روح الدعابة
ج) يشجع على التحدث
د) يُظهر قيمة المال",ب
قرعة الساقي,يطلق على الشي الذي يكلف اكثر من قيمته,Central,"المهمة: اشرح معنى العبارة في سياق الثقافة السعودية.
السؤال: ماذا تعني عبارة 'قرعة الساقي' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن التفاخر بالمظاهر
ب) تدل على حظ سيء
ج) تحذر من شراء الأشياء الغالية دون سبب
د) تشير إلى الربح السريع",ج
قفا الصديق ولا وجه العدو,اذا احد لقى قفاه لعمل ينجزه يقول لك: العذر والسموحه ملقيك قفاي يكون الرد: قفا الصديق ولا وجه العدو,Central,"المهمة: فسر كيف يعكس قول 'قفا الصديق ولا وجه العدو' الثقافة السعودية.
السؤال: ما الذي يعبر عنه هذا القول في الثقافة السعودية؟
الخيارات:
أ) أهمية العلاقات الاجتماعية
ب) عدوك هو عدوك لإطلاق العذر
ج) التواصل الدائم ضروري
د) العمل تحت الضغط",أ
كبرت يا بس و صرت تخربش,يقال لهؤلاء الناس الذين يعتقدون ان بمعرفتهم الصغيرة ربما يستطيعون مجارة الكبار,Central,"المهمة: حدد التفسير الثقافي للعبارة:
السؤال: ما الذي تعكسه عبارة 'كبرت يا بس و صرت تخربش' من ثقافة المجتمع السعودي؟
الخيارات:
أ) وقار وكلام حكيم
ب) المرح والسخرية من عدم النضوج
ج) التحفيز على التعلم
د) احترام الآراء",ب
كل حشفة و لها مقرمش,كل شخص له نصيب من الزواج حتى ولو كان غبيا او كريها او بشعا فيقال هذا المثل دعما لذلك الحشفة هي قطعة نااشفة من الخبر,Western,"المهمة: تفسير المعنى الثقافي للمثل.
السؤال: ما الذي يعكسه المثل 'كل حشفة و لها مقرمش' من الناحية الثقافية؟
الخيارات:
أ) أهمية المال في الزواج
ب) العدالة في الفرص الاجتماعية
ج) تقدير القيم الثقافية
د) السعي لتحقيق الأهداف",ب
كل واحد يشل شيلتة,يدل ذلك على ان كل واحد مسؤؤول عن افعالة,General,"المهمة: فسر العبارة من منظور ثقافي.
السؤال: كيف تعكس العبارة 'كل واحد يشل شيلتة' القيم الثقافية في المجتمع السعودي؟
الخيارات:
أ) تشير إلى أهمية المسؤولية الفردية
ب) تدل على عدم التعاون
ج) تعكس التنافس السلبي
د) تعني الاعتماد الكلي على الحكومة",أ
لا تتريق الا على صايم مصلي,تقال للتحذير بانه كل شخص تستهزء بيه يوم حتلاقي الشي سار فيك,Western,"المهمة: فسر المعنى الثقافي للمثل.
السؤال: ما الذي يُشير إليه المثل 'لا تتريق الا على صايم مصلي' في الثقافة السعودية؟
الخيارات:
أ) استهزاء بمشاعر الآخرين
ب) أهمية الاحترام في المجتمع
ج) قيمة الصلاة
د) الشك في نوايا الناس",ب
لا تحط عصك في شي ما يخصك,اي بمعنى لا تتدخل في امور لا تعنيك وتصبح في مشاكل انت في غنى عنها,Western,"المهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية.  
 السؤال: ما هي الدلالة الثقافية للمثل ""لا تحط عصك في شي ما يخصك""؟  
  الخيارات:  
  A) يشجع على الفضول.  
  B) يعبر عن الحكمة والحرص على تفادي المشاكل.  
  C) يعزز التواصل الاجتماعي.  
  D) يشجع على التعاون والمشاركة.",B
لا تسنِّد للبعير، ولا تنحّي للحنش,(عند أهل السراة): الأولى: أي إذا لحقك البعير (الجمل) غاضباً لا تسنّد له مرتفع لأن الجمل سيستطيع اللحاق بك بعكس لو هبطت به منخفض سيتردى على وجهه لو أسرع ورائك. والثانية: ولا تنحي للحنش أي إذا لحق بك ثعبان لا تهبط به منخفض لأنه سينطلق عليك بسرعه هائلة ويدركك، بل أهرب منه صاعداً لأن الصعود يرهقه فلا يستطيع اللحاق بك.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما المغزى الثقافي لمثل ""لا تسنِّد للبعير، ولا تنحّي للحنش"" في الثقافة السعودية؟
A) ضرورة التعامل بحذر مع الحيوانات المفترسة
B) معرفة طبيعة البيئة الصحراوية وأساليب البقاء فيها
C) تعلم استراتيجيات الهروب من المخاطر الطبيعية
D) التركيز على تجنب المشاكل بدلاً من مواجهتها) معرفة طبيعة البيئة الصحراوية وأساليب البقاء فيها",B
لبس له جلد النمره,تهیاوا للهجوم له و اعدوا للحرب له و تعصبوا لذلک,Central,"المهمة: فسر العبارة من منظور ثقافي.
السؤال: كيف تعكس عبارة 'لبس له جلد النمره' الثقافة السعودية؟
الخيارات:
أ) تعبر عن قوة الشجاعة والإقدام
ب) تشير إلى حب الطبيعة
ج) ترتبط بالاحتفالات
د) تدل على التسامح",أ
