Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
الشدوق,الخدود  من الطايف,Western,"المهمة: أكمل الفراغ بما يناسب.
السؤال: عندما أرى صديقتي، أقول لها 'شدوقك ______'.
الخيارات:
أ) زرقاء
ب) حمراء
ج) صفراء
د) خضراء",ب
عفش,بفتح جميع الاحرف وشدة العين مجموعة من الاغراض,Western,"المهمة: أكمل الجملة بكلمة مناسبة.
السؤال: عندما انتقلنا، احتجنا إلى نقل ____.
الخيارات:
أ) العفش
ب) الطعام
ج) الهدايا
د) الكتب",أ
علاسب,مصطلح من لهجة غامد علاسب=علشان,Southern,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: ذهبت للسوق ______ اشتري ملابس.
الخيارات:
أ) علاسب
ب) ولا
ج) كمان
د) بس",أ
بَكّاش,كذاب,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة.
السؤال: محمد يُعتبر لأنه يدعي أنه يملك سيارة جديدة.
الخيارات:
A) بَكّاش 
B) أمين 
C) شجاع 
D) كريم",A
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يتحدث الشخص بطريقة غير صحيحة، قد يقال عنه أنه يتكلم __________.
الخيارات:
أ) فصحى
ب) كلجة
ج) عربية
د) عميقة",ب
وشوله,لماذا,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: تعبت نفسك؟ 
الخيارات: 
A) كيف 
B) وشوله 
C) متى 
D) أين",B
أبي,أريد,Central,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: إنني ______ كبسة لحم.
الخيارات:
أ) أبي
ب) أخي
ج) هي
د) هو",أ
أترنو,"""أترنو"" كلمه تعني أو قريبه من معنى لكنه",Western,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: إذا ظننت أنه صادق ______ أترنو كذاب.
الخيارات:
أ) فأنا
ب) ويبدو
ج) لكنه
د) ولذلك",ج
تفشلنا,أحرجتنا أو سببت لنا إحراج,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: تصرفه قدام الناس ____ وما كان له داعي.
الخيارات:
أ) فرحنا
ب) فشلنا
ج) كرهنا
د) أدهشنا",ب
أتعيا,أتعيا يعني (اتساءل) و غالبا ما يقال (أتعيا به) و يستخدمها العسيريون القدامى,Southern,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: عند عدم فهم شيء، قد أقول: '___________ به'.
الخيارات:
أ) أتعلم
ب) أتعيا
ج) أستفسر
د) أذهب",ب
أتمتة,مُؤَتْمَت ، تأتمت ، أتمَتة عملية إتمام الشيء بنفسه ، انجاز العمل بشكل تلقائي مثل الطيار الآلي قيادته مؤتمتة وآلات المصانع مؤتمته,General,"المهمة: أكمل الجملة التالية.
السؤال: عملية ________ تتعلق بتطوير أنظمة تعمل بشكل تلقائي.
الخيارات:
أ) بناء
ب) أتمتة
ج) تنظيم
د) إدارة",ب
أتوطى,أتوطى كلمة جنوبية بمعنى أدوس,Central,"المهمة: إكمال العبارة بكلمة مناسبة.
السؤال: أحتاج أن _______ في بطنك.
الخيارات:
أ) أستريح
ب) أتوطى
ج) أذهب
د) أركض",ب
هبشة,أي كثير في المنطقة الشرقية ,Eastern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا أكلت كمية كبيرة بسرعة، يقال إنك ______.
الخيارات:
أ) شبعت
ب) هبشت
ج) خزّنت
د) جرّفت",ب
اتشعبط, أتسلق او تمسك,Western,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: في الجملة
«خاف يطيح، فـ ____ في السور»
الخيارات:
A) جلس
B) اتشعبط
C) نام
D) مشى",B
أثم,بمعنى فم الإنسان,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يقول الأب: 'أفتح _____ يا محمد'.
الخيارات:
أ) أدنك
ب) أثمك
ج) قلبك
د) عينيك",ب
أجغف,ياخذ بشراهة مثل الأكل,Central,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: عندما يكون الجوع شديدًا، يمكن أن يقول الشخص 'أنا دبحت __________ من الكبسة'.
الخيارات:
أ) أجغف
ب) أهضم
ج) أتهامس
د) أتذكر",أ
فزعة,"مساعدة/وقفة رجولية, مثال: تكفى أبي منك فزعة",General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: تأخرت السيارة، فقلت له تكفى أبي منك ____.
الخيارات:
أ) موعد
ب) فزعة
ج) هدوء
د) رسالة",ب
توهق,توهق تأتي بمعنى تورط أو أصبح في ورطة وتحير في امره وتطلق عندما يدخل الإنسان في أمر يجهل عواقبه ثم لايستطيع الخروج منه,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة لملء الفراغ. 
السؤال: عندما دخلت الغابة، شعرت أنني . 
الخيارات: 
A) مرتاح 
B) توهقت 
C) سعيد 
D) متعب",B
أحبچ,"هي مفرده حساويه وتعني أحبكِ ، وتقال للأنثا والجيم الفارسيه "" چ "" تنطق ch",Eastern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: كلمة 'أحبچ' تعني _____ .
الخيارات:
أ) أحبكِ
ب) أحبهم
ج) أكرهكِ
د) أفتقدكِ",أ
قحم,رجل عجوز باللهجه الجيزانية,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة. 
السؤال: ""كان هناك قحم يعيش في القرية، وكان ."" 
الخيارات: 
A) عاقل 
B) نائم 
C) لاعب 
D) مراهق",A
أَحُوقُه,حاق يحوق حوقاً وبمعنى:حرك بشدة أو خلطه,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما تحب خلط المكونات، يمكنك أن تقول 'حوقي _____ وحدة بوحدة'.
الخيارات:
أ) زيت
ب) ماء
ج) عسل
د) دقيق",ج
أخمد, لطلب من الأخر النوم والراحه,Central,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: ياولدي __________ عندك دوام بكرة.
الخيارات:
أ) أخمد
ب) أشعل
ج) استيقظ
د) تهامس",أ
أدبغك,يعني اضربك وحده على راسك تنهيك في الطايف منتشره,Western,"المهمة: كمل الجملة التالية باستخدام الكلمة المناسبة.
السؤال: عندما يغضب، يقول لي 'لا _______'.
الخيارات:
أ) أساعدك
ب) أدبغك
ج) أتركك
د) أرحب بك",ب
أدري,بمعنى: أعرف، تأكيد لكلمة تعرف ؟,Central,"المهمة: أكمل الجملة بالتعبير المناسب.
السؤال: ________ أنك تحب القهوة؟
الخيارات:
أ) أظن
ب) أدري
ج) لا أدري
د) أرجح",ب
أديلو,أعطيه,Western,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: ياواد، ______ العصير حقه.
الخيارات:
أ) أشتري
ب) أعطي
ج) أطلب
د) أحتفظ",ب
أذاه,مصطلح عند عدةً من قبائل الدواسر وخصوصاً الهوامله أهل الأفلاج,Central,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: يقال في اللهجة السعودية: 'أذاه ماشفت ماذهبت الغليم وينه ماذهبت = ماشفت الغليم = ________.'
الخيارات:
أ) الرجل
ب) الولد
ج) المرأة
د) الجمل",ب
أرقع,أرقع بمعنى اصقع,Western,"المهمة: أكمل الجملة بكلمة صحيحة.
السؤال: الشخص الذي يخطط للانتقام قد يقول: 'والله لا أرقعك كف على _______'.
الخيارات:
أ) يدك
ب) وجهك
ج) قلبك
د) رأسك",ب
أره,يستخدمهابعض القبائل المجاوره وتعني أنظر وهي اختصار لكملة أراه,Central,"المهمة: املأ الفراغ في الجملة التالية.
السؤال: ________ القلم هناك، هذا هو القلم.
الخيارات:
أ) أره
ب) اذهب
ج) اسمع
د) انظر",أ
طبعباز,كلمة من اللهجة القطيفية تعني ألعاب نارية او طراطيع,General,"المهمة: أكمل الجملة التالية مستخدماً الكلمة المناسبة.
السؤال: في حفلة العيد، الأطفال يحضرون _______ لإطلاقها.
الخيارات:
أ) طعام
ب) طبعباز
ج) ملابس
د) ألعاب",ب
أزريت,تعني عجزت، لم استطع,Northern,"المهمة: أكمل الجملة المناسبة
السؤال: لم أتمكن من حضور الاجتماع، لأنني __________.
الخيارات:
أ) أزريت
ب) شعرت
ج) قضيت
د) تناولت",أ
أزوغ,التزويغ يمعنى : الهروب من العمل سكاتي أزوغ بمعنى أبزوط أو أفقع من الدوام.,Western,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما تجد نفسك تشعر بالملل في العمل، قد تفكر في ______.
الخيارات:
أ) أزوغ
ب) أعمل بجد
ج) ألتزم
د) أهاجم",أ
أستقيف,كلمة بمعنى اغرب عن وجهي، و أحيانا تستخدم لرفض طلب أحدهم,Western,"المهمة: إكمال الجملة بالاختيار الصحيح.
السؤال: يقول أحمد عند رفضه للطلب: 'يا شيخ، __________'.
الخيارات:
أ) أستقيف
ب) أساعدك
ج) تعال بسرعة
د) أين أنت",أ
مفهي,هي حالة من السرحان المفرط,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح فقط بدون أي ملاحظات إضافية. 
السؤال: ""والله يا لاعبين النصر وراك ما ترد علي والله انك مفهي."" 
الخيارات: 
A) نشيطين 
B) مفهين 
C) حريصين 
D) مشغولين",B
أستناك,تعني أنتظرك,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما تقوله 'أستناك' فهذا يعني أنني _____ (أنتظر شخصاً).
الخيارات:
أ) أستطيع
ب) أنتظرك
ج) لم أراك
د) أتأخر",ب
أسفهه,أي تجاهله.,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما يتجاهل أحدهم شيئًا، يمكن أن نقول أنه ______.
الخيارات:
أ) أسفهه
ب) اهتم
ج) سمع
د) رأى",أ
أسْلَتْ,تطلق على من يتساقط سرواله بشكل مستمر نظراً لعدم ارتدائه للحزام أو لصغر خصره مقارنة بالسروال الذي يرتديه وغالبا ما تطلق على الاطفال دون الرابعة.,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: تطلق كلمة '_____ ' على من يتساقط سرواله بشكل مستمر.
الخيارات:
أ) أسْلَتْ
ب) كبير
ج) حزين
د) سريع",أ
أشقح,بمعنى : قفز شيء معين وعدم وضع الرجل عليه.,Western,"المهمة: املأ الفراغ بما يناسب.
السؤال: عندما قال محمد 'أشقح العتبه'، كان يقصد ________.
الخيارات:
أ) القفز عنها
ب) الجلوس عليها
ج) السير بجانبها
د) النظر إليها",أ
أشقله,تعني ارفعه وقد تعني الرفع بقوة وسرعة أو بمعنى الرفع عموما و تنطق القاف بنطق أهل نجد المعروف.,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'أشقله'، أعني ______ العربة.
الخيارات:
أ) اترك
ب) ارفع
ج) أشتري
د) أنام",ب
أشكل,لم يلقي له بالاً - طنش,General,"المهمة: أكمل الجملة باستخدام كلمة 'أشكل'.
السؤال: عندما كنت أتكلم مع صديقي لم يكن يهتم وما زال ______.
الخيارات:
أ) يتواصل
ب) أبدع
ج) أشكل
د) يشتري",ج
أصحى,تعني انتبة او احذر,Western,"المهمة: إكمال الجملة بالكلمة المناسبة.
السؤال: عندما أقول لصديقي 'أصحى'، فهذا يعني _____ من النوم.
الخيارات:
أ) استيقظ
ب) انتبه
ج) اذهب
د) اجلس",ب
أطائيط,"تعني الأطفال أو الصغار . وتقال ""أطوطه"" للفتاه المملوحه و ال cute .",General,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: في اللهجة السعودية، تُستخدم كلمة 'أطائيط' للإشارة إلى ______.
الخيارات:
أ) كبار السن
ب) الأطفال
ج) القادة
د) المراهقين",ب
أطخم,أطخم = حلو,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: هذا الشخص _____، يعني أنه حلو.
الخيارات:
أ) أطخم
ب) قبيح
ج) جميل
د) عادي",أ
أمّا,كلمة تستخدم للتعجب ، بمعنى غير معقول؟ أو لا أصدق.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: _______ لسه ما خرجت؟
الخيارات:
أ) أمّا
ب) لكن
ج) صحيح
د) مع ذلك",أ
أفرك,بمعنى : إهرب أو الهروب بسرعة قبل حدوث مصيبة .,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: إذا رأيت الشرطة، عليك أن __________.
الخيارات:
أ) أفرك
ب) تجلس
ج) تأخذ صورة
د) تضحك",أ
أفعص,يهرس او يحطم الشئ دهساً عليه.,Western,"المهمة: أكمل الجملة التالية باستخدام الكلمة 'أفعص'.
السؤال: أثناء الحفلة، كان هناك حلوى على الأرض، فتوجهت إليها و____.
الخيارات:
أ) جربتها
ب) أفعصتها
ج) أعددتها
د) أكلتها",ب
زودها,بالغ أو تجاوز الحد,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: لا ____ في المزاح، ترى الوضع جدي.
الخيارات:
أ) تتجاوز
ب) تزودها
ج) تسكت
د) تتكلم",ب
أقدع,أقدع بمعنى أحذف,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في اللهجة الحجازية، تعني كلمة 'أقدع' ____ .
الخيارات:
أ) أضرب
ب) أحذف
ج) أترك
د) أكتب",ب
أقيّس,أقيّس بمعنى أظن أو أعتقد,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: في حديثه قال: 'أقيّس أن الطقس اليوم سيكون جميل...'
الخيارات:
أ) لكن
ب) لأن
ج) وأيضا
د) أو",ب
أَكُد,نقولها لما نطلب من احد إنو يمشط لنا شعرنا أو نمشط شعرنا و هكذا,Western,"المهمة: إكمال الجملة باستخدام الكلمة المناسبة.
السؤال: عندما أذهب إلى صالون الشعر، أبغى ______ شعري.
الخيارات:
أ) أكُد
ب) أسافر
ج) أشتري
د) ألعب",أ
أكفتو,- بمعنى أدٍخل، أدٍخل بسرعة وبخفة,Western,"المهمة: أكمل الجملة باستخدام كلمة 'أكفتو'.
السؤال: عندما جاء الضيوف، قال لنا '_____ للشقة!'
الخيارات:
أ) أكفتو
ب) اتركوا
ج) شاهدوا
د) تفضلوا",أ
ألزخك,هي كلمة بمعنى ( أضربك ) لكنها تقال حين تكون الضربة خارجة من القلب فيستجمع قواه ويقول ( ألزخك ) الفعل منها ( يلزخ - لزخ - إلزخه ).,Central,"المهمة: أكمل الفراغ بما يناسب.
السؤال: عندما يقول أحدهم 'ألزخك'، فإنه يعبر عن ___.
الخيارات:
أ) الفرح
ب) الضغوط
ج) الغضب
د) العطاء",ج
أمبا,"في اللهجة القطيفية يعني ""أريد""",Eastern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في اللهجة القطيفية، كلمة 'أمبا' تعني _____.
الخيارات:
أ) أذهب  
ب) أفكر
ج) أريد
د) أعيش",ج
أنبوبة,المصطلح المتعارف عليه لدى أهل الحجاز لأسطوانة غاز الطبخ. أيضا يقال (راعي الأنبوبة) للشخص المسؤول عن الدوران في الشوارع واستبدال الأنبوبات الفارغة بأنبوبات مليئة.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما تنفد الأنبوبة، يجب الاتصال بـ ______.
الخيارات:
أ) راعي الأنبوبة
ب) كهربائي
ج) سباك
د) طبيب",أ
أنْتسعِمْ,أنْتسعمْ بتسكين النون ونطق حرفي ت و س مع بعضهما. وهي بمعنى أسكت أو أصمت أو مرادف للكلمه النجديه أنفهدز وهي كلمه غالبا مآتقال عند الحآجه الملحّه للطرف الآخر أن يسكت.,Central,"المهمة: أكمل الجملة باستخدام الكلمة 'أنْتسعِمْ'.
السؤال: عندما يتحدث أحدهم بصوت مرتفع، أقول له: '________'!
الخيارات:
أ) أنْتسعِمْ
ب) أحتفل
ج) أستمع
د) أركض",أ
أنثبر,أنثبر تأتي بمعنى الزم مكانك وتأتي بمعنى اسكت,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يطلب الأب من ابنه، يقول له: '________ عند امك. - أحمد'.
الخيارات:
أ) اذهب
ب) أنثبر
ج) تكلم
د) اركض",ب
أندُر,"فعل أمر بمعنى (اخرج). والماضي منه ""ندر""",Southern,"المهمة: أكمل الجملة التالية.
السؤال: يا عم محمد، ______ من المجلس بسرعة.
الخيارات:
أ) أندر
ب) أدخل
ج) أخرج
د) остановитесь",أ
أَندُري,أَندُري او أندر ( بفتح الالف وشد الدال ) معناها أنزل/ي او ايضاً اخرج/ي,Western,"المهمة: استخدم الكلمة المناسبة لملء الفراغ.
السؤال: عندما أريد من أخي أن يخرج من الغرفة، أقول له: أَندُري ______.
الخيارات:
أ) ادخل
ب) أغلق
ج) اخرج
د) اجلس",ج
أنصلق,انْصٓلٓقْ كلمة نجدية تعني انسكب وتستخدم للتعبير عن انسكاب السوائل غالباً الماء,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما _____ الماء، يتعين عليك الانتباه.
الخيارات:
أ) تصب
ب) أنصلق
ج) تجمع
د) تختزن",ب
أنغرف,أنغرف > بمعنى اذهب او انقلع,General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما طلب مني الذهاب، قلت له '______'.
الخيارات:
أ) أنغرف
ب) تعال
ج) انتظر
د) اركض",أ
أنفهدز,تستعمل لأمر شخصا ما بالتراجع للخلف وحرف الدال والزاي بديل لحرف القاف بالاساس اي ( انفهق ) وانفهق مشتقه من الفهقه اي التأجيل او التأخير ومنها ايضا الامر ( افهق او افهقها ) اي اعد او اعدها للخلف .,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: لما أقول لشخص 'أنفهدز'، أعني له أن __________.
الخيارات:
أ) يرجع للخلف
ب) يتقدم للأمام
ج) يجلس بهدوء
د) يعبر الشارع",أ
أنقُز,أنقز للذكر بمعنى : أقفز . أنقزي للأنثى بمعنى : أقفزي .,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: لا __________ على السرير.
الخيارات:
أ) تنقز
ب) تنام
ج) تجلس
د) تلعب",أ
أَنكَتِم,كف عن الكلام,Southern,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: عندما يقول أحدهم 'أَنكَتِم'، فإنه يعني ______.
الخيارات:
أ) احتفل
ب) كف عن الكلام
ج) اذهب
د) تحدث كثيراً",ب
أنهج,تعني اسرع او استعجل . الزوج يقول لزوجتة انهجي علي خل نروح بدري ) وتستعمل غالبا في منطقة سدير والقصيم,Northern,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: الزوج يقول لزوجته: __________ علي خل نروح بدري.
الخيارات:
أ) اجلسي
ب) أنهج
ج) انتظري
د) تأخري",ب
أوخّو,نام (للاطفال),Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: حين يكون الطفل متعباً يُقال له: يلا يا حبيبي نروح __________.
الخيارات:
أ) نأكل
ب) نلعب
ج) أوخو
د) نركض",ج
مبزره,تقال عند تصرف اي شخصاً كان متصرفا تصرف صغار,Western,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: عندما يتصرف الشخص بشكل غير ناضج، نقول إنه يتصرف __.
الخيارات:
أ) ملكي
ب) مبزره
ج) ناضج
د) حكيم",ب
أولاه,"أولاه! مصطلح يعني ""أرجوك""",Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما أطلب منك خدمة، أقول '______ اركب السيارة أرجوك'.
الخيارات:
أ) أولاه
ب) الله يعيطك العافية
ج) تفضل
د) يعطيك العافية",أ
أي ساد,هي كلمه تعني لآمشكله لدي في ذللك و تستخدم في التهديد أو القبول ل شيء وهي كلمه حساويه,Eastern,"المهمة: أكمل الجملة بما يناسب.
السؤال: عندما قال محمد 'أي ساد'، كان يعني أنه ______.
الخيارات:
أ) لديه مشكلة
ب) ليس لديه مشكلة
ج) يحتاج إلى وقت
د) يحتاج لمساعدة",ب
أيوا (أيوه),"أيوا (أيواه) تستخدم بكثرة في اللهجات الدارجة. وتتكون من شقين الأول ""أي"" و معناها ""بمعنى"" وتستخدم للتفسير عن شيء وإذا جائت بالكسر ""إي"" عادة تلحق بالحلف والقسم مثل ""إي والله"". الشق الثاني ""واه"" وهو من أسماء الأفعال ويعني ""أتعجب"". جمعت الكلمين في كلمة عن طريق ما يسمى النحت فصارت أيواه أو أيوا. نلاحظ ان الهاء تحذف في أوقات كثيرة للتخفيف. أيوا تأتي في معاني متعددة مثل أتعجب أو بمعنى نعم والموافقة.",Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أوافق على شيء، قد أقول: '________'.
الخيارات:
أ) لا
ب) أيوا
ج) متى
د) لماذا",ب
مُبّطِي,مبطي تعني منذ زمن ( من زمان ),Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما سألنا عن اختباراتهم، قالوا 'من ______ منتهية'.
الخيارات:
أ) مبطي
ب) جديد
ج) قريبا
د) لاحقا",أ
إحلته,كلمة نجدية تعني ارمِه أو ألقه,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: يا أحمد، _____ بالكتب القديمة.
الخيارات:
أ) إحلته
ب) اجمعه
ج) اقرأه
د) اكتبها",أ
إرتكز,تعني أقعد ، و تستخدم هذه الكلمة بين العائلات المكاوية عادة,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أريد أن أطلب من أحدهم أن يجلس، أقول له: '______ يا ولدي'.
الخيارات:
أ) اركب
ب) إرتكز
ج) امشي
د) اقف",ب
إركد,يعني اذا كان الشخص يدور ولا يجلس يقولون اركد اي اجلس او لاتتحرك كثيرا,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أطلب منك أن _____، فهذا يعني أن تجلس ولا تتحرك كثيراً.
الخيارات:
أ) اركد
ب) تذهب
ج) تتكلم
د) تجري",أ
إزحط,ازحط بمعنى افسح لي وهي تستخدم في قبائل جهينة الموجوده في شمال السعوديه من جهة الغرب,Northern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما ترغب في أن يفسح لك أحدهم، يمكنك أن تقول له: '_______ لي'.
الخيارات:
أ) اركض
ب) إزحط
ج) تكفى
د) استعد",ب
إشْبَح,إشْبَح : انظر,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في الجملة التالية: 'فيصل: _____ يا حمد فالسماء انها تمطر.'
الخيارات:
أ) اذهب
ب) إشْبَح
ج) انتبه
د) قل",ب
إشقح ( الأحساء ),اقفز على الحاجز,Central,"المهمة: إكمال الجملة بالكلمة الصحيحة.
السؤال: إذا كانت هناك حفرة في الطريق، فيمكنك أن تقول لشخص آخر 'هيا __________ لتتجاوز الحفرة'.
الخيارات:
أ) إشقح
ب) اجلس
ج) أسرع
د) توقف",أ
إشِّكْلو,كلمة يطلقها الشخص عندما لا يفهم ما يقوله الطرف الآخر و تطلق أيضا عند سماع عبارة غريبة أو غامضة من الطرف الآخر و يقصد مطلق هذه العبارة في العادة الطلب من الطرف الآخر توضيح ماذا يقصد,Western,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: عندما قال والدي شيئًا غريبًا، كنت أستطيع فقط أن أقول: '____'.
الخيارات:
أ) كيف حالك؟
ب) إشِّكْلو
ج) ممتاز
د) يسعدني لقاؤك",ب
إشّيكلُو,تقال للاستغراب,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما سمعت الخبر، قلت: '____!'
الخيارات:
أ) إشيكلو
ب) مو صحيح
ج) وين صرت
د) والله ما أدري",أ
إفحز,افحز تأتي بمعنى : أزِح . أي افسح المكان ليجلس احد . ( لا تأتي إلا دلالةً على مكان الجلوس),Central,"المهمة: املأ الفراغ في الجملة بالطريقة الصحيحة.
السؤال: عندما جاء الضيف، طلب مني أن _______ قليلاً.
الخيارات:
أ) اجلس
ب) أفحز
ج) انتظر
د) أخرج",ب
إكرم,إكرم: تعني الاكتفاء من القهوة,General,"المهمة: أكمل الجملة التالية.
السؤال: لما دخل الضيف، قال له المعزب '____' ، ليُظهر له أنه قد تناول القهوة.
الخيارات:
أ) إكرم
ب) تفضل
ج) أهلاً
د) مرحبا",أ
