Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
أبي,أريد,Central,"المهمة: فسر استخدام كلمة 'أبي' في اللهجة السعودية.
السؤال: ما هو التفسير الثقافي لكلمة 'أبي' في اللهجة النجدية؟
الخيارات:
أ) تعبير عن الطلب
ب) تعبير عن التفاخر
ج) تعبير عن الشكر
د) تعبير عن الاعتذار",أ
أترنو,"""أترنو"" كلمه تعني أو قريبه من معنى لكنه",Western,"المهمة: استناداً إلى معنى كلمة 'أترنو'، ما هي دلالتها في الثقافة السعودية؟
السؤال: كيف تعكس كلمة 'أترنو' الثقافة والتقاليد في المملكة العربية السعودية؟
الخيارات:
أ) تدل على أهمية الصدق في التعاملات
ب) تعني عدم الاكتراث
ج) تشير إلى الغموض
د) تعكس سرعة الحكم على الآخرين",أ
تفشلنا,أحرجتنا أو سببت لنا إحراج,General,"""المهمة: اشرح المفهوم الثقافي لكلمة 'تفشلنا'.
السؤال: ماذا تعكس كلمة 'تفشلنا' في الثقافة السعودية؟
الخيارات:
أ) الحساسية تجاه الإحراج الاجتماعي
ب) الفخر بالإنجاز
ج) الرغبة في العزلة
د) عدم الاهتمام بآراء الآخرين",أ
أتعيا,أتعيا يعني (اتساءل) و غالبا ما يقال (أتعيا به) و يستخدمها العسيريون القدامى,Southern,"المهمة: اشرح كيف تعكس كلمة 'أتعيا' الثقافة المحلية.
السؤال: ما الذي يعكس استخدام كلمة 'أتعيا' في الثقافة العسيرية؟
الخيارات:
أ) اهتمام الناس بالتعلم.
ب) تواصل الأفراد مع بعضهم.
ج) استفسارهم عن أمور الحياة.
د) جميع ما سبق.",د
أتمتة,مُؤَتْمَت ، تأتمت ، أتمَتة عملية إتمام الشيء بنفسه ، انجاز العمل بشكل تلقائي مثل الطيار الآلي قيادته مؤتمتة وآلات المصانع مؤتمته,General,"المهمة: تفسير استخدام المصطلح في الثقافة السعودية.
السؤال: لماذا تُعتبر 'أتمتة' مهمة في ثقافة العمل السعودية؟
الخيارات:
أ) لأنها تساعد في تقليل العمالة
ب) لتحسين كفاءة الإنتاج
ج) تفضل الأعمال اليدوية
د) لتقليل التكاليف فقط",ب
أتوطى,أتوطى كلمة جنوبية بمعنى أدوس,Central,"المهمة: تفسير الوجه الثقافي للكلمة.
السؤال: ما الذي يعكسه استخدام كلمة 'أتوطى' عن الثقافة السعودية؟
الخيارات:
أ) الحركة والنشاط
ب) الكسل والاسترخاء
ج) المرونة
د) الهدوء",أ
هبشة,أي كثير في المنطقة الشرقية ,Eastern,"المهمة: حدد القيمة الثقافية لكلمة ""هبشة"".
السؤال: ما الدلالة الثقافية لاستخدام ""هبشة"" في السياق السعودي؟
الخيارات:
أ) تعكس البذخ والكرم في التعبير
ب) تشير إلى التنظيم والدقة
ج) تدل على الاعتدال في التصرف
د) تعبر عن الفقر في الموارد",أ
اتشعبط, أتسلق او تمسك,Western,"المهمة: وضّح المعاني الثقافية لفعل ""اتشعبط"".
السؤال: ما الذي يعكسه استخدام فعل ""اتشعبط"" في الحديث اليومي؟
الخيارات:
أ) الاعتماد على الآخرين
ب) الجهد والقوة في التمسك أو التسلق
ج) الكسل
د) السرعة",ب
أثم,بمعنى فم الإنسان,Central,"المهمة: قدم تفسيرًا لكلمة 'أثم' في السياق الثقافي السعودي.
السؤال: لماذا يُستخدم المصطلح 'أثم' في الثقافة السعودية للإشارة إلى الفم؟
الخيارات:
أ) لأنه يؤكد على أهمية الأكل
ب) لأنه يدل على التواصل
ج) لأنه مرتبط بالمظاهر
د) لأنه يعبر عن الطبيعة",ب
أجغف,ياخذ بشراهة مثل الأكل,Central,"المهمة: ناقش الثقافة المرتبطة باستخدام الكلمة.
السؤال: ما الدلالة الثقافية لكلمة 'أجغف' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الشهية القوية للطعام
ب) تعبير عن الجوع المزمن
ج) تعبير عن عدم الرغبة في الأكل
د) تعبير عن الفقر",أ
فزعة,"مساعدة/وقفة رجولية, مثال: تكفى أبي منك فزعة",General,"المهمة: اشرح المفهوم الثقافي لكلمة 'فزعة'.
السؤال: ماذا تعكس كلمة 'فزعة' في الثقافة السعودية؟
الخيارات:
أ) التضامن والوقفة الرجولية
ب) العزلة والاستقلال
ج) الرسمية في التعامل
د) التجاهل الاجتماعي",أ
توهق,توهق تأتي بمعنى تورط أو أصبح في ورطة وتحير في امره وتطلق عندما يدخل الإنسان في أمر يجهل عواقبه ثم لايستطيع الخروج منه,General,"المهمة: شرح المعنى الثقافي لكلمة 'توهق'.
السؤال: ما الذي تعبر عنه كلمة 'توهق' في الثقافة السعودية؟
الخيارات:
أ) النجاح والفرحة
ب) التورط في مشكلة أو ورطة
ج) الرفاهية والراحة
د) العمل الجاد",ب
أحبچ,"هي مفرده حساويه وتعني أحبكِ ، وتقال للأنثا والجيم الفارسيه "" چ "" تنطق ch",Eastern,"المهمة: اشرح المعنى الثقافي لكلمة 'أحبچ'.
السؤال: كيف يعكس استخدام كلمة 'أحبچ' في اللهجة السعودية العلاقات الاجتماعية؟
الخيارات:
أ) تعبير عن الود والمحبة
ب) تعبير عن الكراهية
ج) تعبير عن الحقد
د) تعبير عن الوحدة",أ
قحم,رجل عجوز باللهجه الجيزانية,Southern,"المهمة: تفسير العبارة في سياقها الثقافي.
السؤال: ماذا تعبر عبارة 'قحم' في الثقافة السعودية؟
الخيارات:
أ) الاحترام لعمره وتجربته
ب) عدم الاهتمام به
ج) عدم الاعتراف بحكمته
د) التجاهل له",أ
أَحُوقُه,حاق يحوق حوقاً وبمعنى:حرك بشدة أو خلطه,Central,"المهمة: افهم السياق الثقافي للكلمة.
السؤال: ما هو الهدف من استخدام كلمة 'أَحُوقُه' في الحديث بين السعوديين؟
الخيارات:
أ) التواصل مع الأصدقاء
ب) وصف طريقة خلط العلاجات
ج) التعبير عن الحزن
د) تحديد موقع جغرافي",ب
أخمد, لطلب من الأخر النوم والراحه,Central,"المهمة: أجب على السؤال بما يعكس فهم معاني الكلمة والثقافة.
السؤال: كيف تعكس كلمة 'أخمد' ثقافة الحماية والسلام في المجتمع السعودي؟
الخيارات:
أ) تعبر عن شجاعة رجل الإطفاء
ب) تدل على النوم والراحه
ج) تشير إلى الاحتفالات
د) تعني النوم العميق",ب
أدبغك,يعني اضربك وحده على راسك تنهيك في الطايف منتشره,Western,"المهمة: اشرح كيفية فهم الكلمة في الثقافة السعودية.
السؤال: كيف تعكس كلمة 'أدبغك' جزءًا من الثقافة السعودية؟
الخيارات:
أ) تعبر عن العنف
ب) تعبر عن المزاح
ج) تعبر عن الاحترام
د) تعبر عن الكرم",ب
أدري,بمعنى: أعرف، تأكيد لكلمة تعرف ؟,Central,"المهمة: اشرح معنى كلمة 'أدري' في السياق الاجتماعي.
السؤال: كيف تُستخدم كلمة 'أدري' في الثقافة السعودية؟
الخيارات:
أ) للتعبير عن المعرفة والثقة
ب) للدلالة على عدم المعرفة
ج) للتعبير عن الدهشة
د) للتأكيد على الشك",أ
أديلو,أعطيه,Western,"المهمة: فسر تأثير الكلمة 'أديلو' في اللهجة السعودية.
السؤال: ما هو التفسير الثقافي لكلمة 'أديلو' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الاستعانة
ب) أسلوب البيع
ج) مفهوم العطاء
د) نوع من المشروبات",ج
أذاه,مصطلح عند عدةً من قبائل الدواسر وخصوصاً الهوامله أهل الأفلاج,Central,"المهمة: حدد التفسير الصحيح لمصطلح 'أذاه' في سياق الثقافة السعودية.
السؤال: كيف يمكن تفسير مصطلح 'أذاه' في ثقافة قبائل الدواسر؟
الخيارات:
أ) تعبير عن الفخر
ب) مصطلح يدل على القرب
ج) مصطلح يؤشر على الضعف
د) مصطلح شعبي شائع",ب
أرقع,أرقع بمعنى اصقع,Western,"المهمة: فسر المقصود بكلمة 'أرقع' في السياق الحجازي.
السؤال: ماذا تعني كلمة 'أرقع' في الثقافة الحجازية؟
الخيارات:
أ) تعبير عن الغضب
ب) نوع من الأذى البدني
ج) تعني الصراخ
د) تعبير عن الحماس",ب
أره,يستخدمهابعض القبائل المجاوره وتعني أنظر وهي اختصار لكملة أراه,Central,"المهمة: فسر ما تعنيه كلمة 'أره' في السياق الثقافي السعودي.
السؤال: كلمة 'أره' تشير إلى مفهوم مهم في التواصل في اللهجة السعودية، ما هو هذا المفهوم؟
الخيارات:
أ) التواصل البصري
ب) الانصات
ج) العناية
د) الوداع",أ
طبعباز,كلمة من اللهجة القطيفية تعني ألعاب نارية او طراطيع,General,"المهمة: عن ماذا تعكس كلمة 'طبعباز' في الثقافة السعودية؟
السؤال: ما الذي تعكسه كلمة 'طبعباز' من الثقافات أو التقاليد؟
الخيارات:
أ) الاحتفالات والفرح
ب) الروتين اليومي
ج) الدراسة والتعليم
د) العمل والتجارة",أ
أزريت,تعني عجزت، لم استطع,Northern,"المهمة: فكر في المعنى الثقافي للكلمة
السؤال: ماذا تعني كلمة 'أزريت' في الثقافة النجدية؟
الخيارات:
أ) تعني عجزت، لم استطع
ب) تعني راقبت
ج) تعني تعبت
د) تعني نجحت",أ
أزوغ,التزويغ يمعنى : الهروب من العمل سكاتي أزوغ بمعنى أبزوط أو أفقع من الدوام.,Western,"المهمة: ما الذي تعبر عنه كلمة 'أزوغ' من منظور ثقافي في المجتمع السعودي؟
السؤال: ما هو المعنى الثقافي لكلمة 'أزوغ' في المجتمع السعودي؟
الخيارات:
أ) الاحتفال بالعمل
ب) الهروب من المسؤوليات
ج) البحث عن النجاح
د) تعزيز العمل الجماعي",ب
أستقيف,كلمة بمعنى اغرب عن وجهي، و أحيانا تستخدم لرفض طلب أحدهم,Western,"المهمة: تفسير معنى الكلمة ثقافياً.
السؤال: ما الذي تعكسه كلمة 'أستقيف' عن الثقافة في الحجاز؟
الخيارات:
أ) الود والترحيب
ب) رفض العروض
ج) التعاون
د) التواصل الإيجابي",ب
مفهي,هي حالة من السرحان المفرط,General,"المهمة: قدم تفسيرًا للمصطلح 'مفهي' في السياق الثقافي.
السؤال: ما هو التفسير الثقافي لكلمة 'مفهي' في اللهجة السعودية؟
الخيارات:
أ) تدل على حالة من السرحان أو الغفوة.
ب) تعبر عن الابتكار والإبداع.
ج) تشير إلى الشغف والطموح.
د) تعني العكس تماماً.",أ
أستناك,تعني أنتظرك,Central,"المهمة: فسر المعنى الثقافي لكلمة 'أستناك'.
السؤال: ما الذي تعبر عنه كلمة 'أستناك' في الثقافة السعودية؟
الخيارات:
أ) تعبير عن الانتظار أو الأمل
ب) تعبير عن السرعة
ج) تعبير عن الفرح
د) تعبير عن الحزن",أ
أسفهه,أي تجاهله.,Central,"المهمة: فسر السياق الثقافي لكلمة 'أسفهه'.
السؤال: ما هو التأثير الثقافي لكلمة 'أسفهه' في اللهجة السعودية؟
الخيارات:
أ) تعبر عن التواصل الإيجابي
ب) تدل على الإهمال أو عدم المبالاة
ج) تشير إلى المزاح
د) تمثل الاحترام الشديد",ب
أسْلَتْ,تطلق على من يتساقط سرواله بشكل مستمر نظراً لعدم ارتدائه للحزام أو لصغر خصره مقارنة بالسروال الذي يرتديه وغالبا ما تطلق على الاطفال دون الرابعة.,Western,"المهمة: صف التفسير الثقافي للكلمة.
السؤال: ما هو التفسير الثقافي لكلمة 'أسْلَتْ' في المجتمع السعودي؟
الخيارات:
أ) تعبر عن الانضباط
ب) تشير إلى عدم الارتياح
ج) تدل على مشكلة في الملابس
د) تعبر عن الكوميديا",ج
أشقح,بمعنى : قفز شيء معين وعدم وضع الرجل عليه.,Western,"المهمة: اشرح المعنى الثقافي لكلمة 'أشقح'.
السؤال: في الثقافة السعودية، ماذا يعني استخدام كلمة 'أشقح'؟
الخيارات:
أ) يُستخدم للقفز فقط
ب) يُستخدم للتعبير عن الخوف
ج) يُستخدم في سياق المغامرة
د) غير مرتبط بالثقافة السعودية",ج
أشقله,تعني ارفعه وقد تعني الرفع بقوة وسرعة أو بمعنى الرفع عموما و تنطق القاف بنطق أهل نجد المعروف.,Central,"المهمة: ما الذي تعكسه كلمة 'أشقله' عن الثقافة في نجد؟
السؤال: تستخدم كلمة 'أشقله' بشكل خاص في الثقافة النجدية، ما الذي يعنيه ذلك؟
الخيارات:
أ) أهمية القوة في الحياة اليومية
ب) التواصل مع الأصدقاء
ج) تفضيل الراحة
د) تناول الطعام",أ
أشكل,لم يلقي له بالاً - طنش,General,"المهمة: فسر معنى كلمة 'أشكل' في الثقافة السعودية.
السؤال: ماذا تعني كلمة 'أشكل' في السياق الاجتماعي السعودي؟
الخيارات:
أ) عدم الاهتمام بشخص ما
ب) تقديم المساعدة
ج) الترحيب بالضيوف
د) الشعور بالسعادة",أ
أصحى,تعني انتبة او احذر,Western,"المهمة: تفسير كلمة 'أصحى' في الثقافة السعودية.
السؤال: كيف تعكس كلمة 'أصحى' عادات وتقاليد المجتمع السعودي؟
الخيارات:
أ) تشير إلى أهمية الوعي والانتباه
ب) تدل على الصمت والهدوء
ج) تعني الاسترخاء
د) تعبر عن النشاط البدني",أ
أطائيط,"تعني الأطفال أو الصغار . وتقال ""أطوطه"" للفتاه المملوحه و ال cute .",General,"المهمة: فسر المعنى الثقافي لاستخدام كلمة 'أطائيط' في المجتمع السعودي.
السؤال: ما الذي يدل عليه استخدام كلمة 'أطائيط' في الثقافة السعودية؟
الخيارات:
أ) يدل على الاحتفاء بالمسؤولين
ب) يدل على العلاقة الطيبة مع الأطفال
ج) يدل على تفضيل الحيوانات
د) يدل على احترام الكبار",ب
أطخم,أطخم = حلو,Western,"المهمة: اشرح كيف تعكس كلمة 'أطخم' الثقافة الحجازية.
السؤال: لماذا تُستخدم كلمة 'أطخم' في اللهجة الحجازية لوصف الأشياء الجميلة؟
الخيارات:
أ) لأنها تعني عمومًا الحلو
ب) لأنها تعني الوحشية
ج) لأنها كلمة غير معروفة
د) لأنها تعني الجفاف",أ
أمّا,كلمة تستخدم للتعجب ، بمعنى غير معقول؟ أو لا أصدق.,General,"المهمة: صف تفسيرا ثقافيا لكلمة 'أمّا'.
السؤال: ما هو التفسير الثقافي لكلمة 'أمّا' في المجتمع السعودي؟
الخيارات:
أ) تُستخدم للتعبير عن الاستغراب أو التعجب
ب) تشير إلى الحزن
ج) تعبر عن الفخر
د) تستخدم في التهكم",أ
أفرك,بمعنى : إهرب أو الهروب بسرعة قبل حدوث مصيبة .,Western,"المهمة: اشرح دلالة كلمة 'أفرك' في الثقافة السعودية.
السؤال: كلمة 'أفرك' تعكس:
الخيارات:
أ) أهمية اللعب للأطفال
ب) سرعة الهروب من الضغوط
ج) التواصل بين الأصدقاء
د) الإحتفال بالمناسبات",ب
أفعص,يهرس او يحطم الشئ دهساً عليه.,Western,"المهمة: اشرح الاستخدام الثقافي لكلمة 'أفعص'.
السؤال: ما الذي تعبر عنه كلمة 'أفعص' في الثقافة الحجازية؟
الخيارات:
أ) يرمز إلى القوة
ب) يعبر عن القسوة
ج) يشير إلى التفوق
د) يدل على الضيافة",أ
زودها,بالغ أو تجاوز الحد,General,"المهمة: اشرح المفهوم الثقافي لكلمة 'زودها'.
السؤال: ماذا تعكس كلمة 'زودها' في الثقافة السعودية؟
الخيارات:
أ) التنبيه على المبالغة في التصرف أو الكلام
ب) التشجيع على الاستمرار
ج) الاحترام الرسمي
د) المجاملة الاجتماعية",أ
أقدع,أقدع بمعنى أحذف,Western,"المهمة: افسر كيف تتعلق الكلمة بالثقافة المحلية.
السؤال: كيف تعكس كلمة 'أقدع' جزءاً من اللهجة الحجازية في التواصل الاجتماعي؟
الخيارات:
أ) تعكس الصرامة
ب) تشير إلى الدعابة
ج) تدل على التحذير
د) تعبر عن الثقة",ج
أقيّس,أقيّس بمعنى أظن أو أعتقد,Western,"المهمة: اختر التفسير المناسب لكيفية استخدام 'أقيّس' بمفهوم ثقافي.
السؤال: ما هو السياق الثقافي لكلمة 'أقيّس'؟
الخيارات:
أ) تستخدم للتعبير عن الشك أو الرأي
ب) تستخدم في الوصفات الغذائية
ج) تستخدم في الرياضة
د) تستخدم في التعليم",أ
أَكُد,نقولها لما نطلب من احد إنو يمشط لنا شعرنا أو نمشط شعرنا و هكذا,Western,"المهمة: تفسير الفهم الثقافي لكلمة 'أكُد'.
السؤال: لماذا تُستخدم كلمة 'أكُد' في الثقافة السعودية؟
الخيارات:
أ) لأننا نهتم بجمال الشعر
ب) لأننا لا نحب الزهور
ج) لأننا نفضل النزهات
د) لأننا نحب الرياضة",أ
أكفتو,- بمعنى أدٍخل، أدٍخل بسرعة وبخفة,Western,"المهمة: فسر الكلمة 'أكفتو' في السياق الثقافي السعودي.
السؤال: ما الدلالة الثقافية لكلمة 'أكفتو' في المجتمع السعودي؟
الخيارات:
أ) تعبر عن سرعة الضيافة
ب) تعني الامر بالإبطاء
ج) تشير لعدم الاهتمام
د) تدل على التحفظ",أ
ألزخك,هي كلمة بمعنى ( أضربك ) لكنها تقال حين تكون الضربة خارجة من القلب فيستجمع قواه ويقول ( ألزخك ) الفعل منها ( يلزخ - لزخ - إلزخه ).,Central,"المهمة: افسر المعنى الثقافي لكلمة 'ألزخك'.
السؤال: ماذا يمكن أن تعكس كلمة 'ألزخك' عن الثقافة السعودية؟
الخيارات:
أ) تعبر عن حب
ب) تعبر عن القوة في التعامل
ج) تعبر عنالفخر
د) تعبر عن السعادة
الإجابة الصحيحة:",
أمبا,"في اللهجة القطيفية يعني ""أريد""",Eastern,"المهمة: حدد التفسير الثقافي لكلمة 'أمبا'.
السؤال: ما الذي تعبر عنه كلمة 'أمبا' في الثقافة القطيفية؟
الخيارات:
أ) الشغف نحو الشيء
ب) الفضول
ج) الحزن
د) الفرح",أ
أنبوبة,المصطلح المتعارف عليه لدى أهل الحجاز لأسطوانة غاز الطبخ. أيضا يقال (راعي الأنبوبة) للشخص المسؤول عن الدوران في الشوارع واستبدال الأنبوبات الفارغة بأنبوبات مليئة.,Western,"المهمة: وضح معنى كلمة 'أنبوبة' في السياق الثقافي.
السؤال: ما معنى 'راعي الأنبوبة' في السياق الحجازي؟
الخيارات:
أ) الشخص الذي يعطي دروساً
ب) المسئول عن تغيير الأنبوبات
ج) أحد الأطباء
د) شخص يحب الطعام",ب
أنْتسعِمْ,أنْتسعمْ بتسكين النون ونطق حرفي ت و س مع بعضهما. وهي بمعنى أسكت أو أصمت أو مرادف للكلمه النجديه أنفهدز وهي كلمه غالبا مآتقال عند الحآجه الملحّه للطرف الآخر أن يسكت.,Central,"المهمة: فسر الغرض من استخدام كلمة 'أنْتسعِمْ' في اللهجة السعودية.
السؤال: ما أهمية استخدام كلمة 'أنْتسعِمْ' في الثقافة النجدية؟
الخيارات:
أ) تعبير عن الاحترام
ب) طلب للصمت في اللحظات الحرجة
ج) تعبير عن الفرح
د) التحذير من الخطر",ب
أنثبر,أنثبر تأتي بمعنى الزم مكانك وتأتي بمعنى اسكت,Central,"المهمة: اختر الإجابة الصحيحة حول المعنى الثقافي لكلمة 'أنثبر'.
السؤال: ما دلالة كلمة 'أنثبر' في الثقافة السعودية؟
الخيارات:
أ) تعني الكثير من الكلام
ب) تدل على الأمر بالسكوت أو التزام المكان
ج) تعني الذهاب بعيداً
د) تدل على عدم الاكتراث",ب
أندُر,"فعل أمر بمعنى (اخرج). والماضي منه ""ندر""",Southern,"المهمة: وضح الفهم الثقافي لكلمة 'أندُر'.
السؤال: تعتبر كلمة 'أندُر' من الكلمات الشائعة في أي منطقة سعودية؟
الخيارات:
أ) في نجد
ب) في الحجاز
ج) في الشرقية
د) في الجنوب",ب
أَندُري,أَندُري او أندر ( بفتح الالف وشد الدال ) معناها أنزل/ي او ايضاً اخرج/ي,Western,"المهمة: حدد الفهم الثقافي لكلمة 'أَندُري'.
السؤال: ما الذي تعكسه كلمة 'أَندُري' عن اللهجة الحجازية؟
الخيارات:
أ) تعبير عن الاحترام
ب) طلب مساعدات
ج) دلالة على الأوامر
د) تعبير عن الحزن",ج
أنصلق,انْصٓلٓقْ كلمة نجدية تعني انسكب وتستخدم للتعبير عن انسكاب السوائل غالباً الماء,Central,"المهمة: قم بشرح الثقافة المرتبطة بكلمة 'أنصلق'.
السؤال: ما الذي تعكسه كلمة 'أنصلق' عن الثقافة النجدية؟
الخيارات:
أ) القيم الاجتماعية
ب) العبادات
ج) العادات اليومية
د) الفنون المختلفة",ج
أنغرف,أنغرف > بمعنى اذهب او انقلع,General,"المهمة: حدد ما يعكس استخدام كلمة 'أنغرف' في الثقافة السعودية.
السؤال: لماذا يُستخدم مصطلح 'أنغرف' في محادثات الشباب السعوديين؟
الخيارات:
أ) لأنه يدل على الاعتذار
ب) لأنه يُستخدم عند الاتفاق
ج) لأنه يُستخدم ليعبر عن الانفصال أو الخروج
د) لأنه يعبر عن الضيق",ج
أنفهدز,تستعمل لأمر شخصا ما بالتراجع للخلف وحرف الدال والزاي بديل لحرف القاف بالاساس اي ( انفهق ) وانفهق مشتقه من الفهقه اي التأجيل او التأخير ومنها ايضا الامر ( افهق او افهقها ) اي اعد او اعدها للخلف .,Central,"المهمة: اختر الجواب الصحيح الذي يفسر استخدام كلمة 'أنفهدز'.
السؤال: ما هو التفسير الثقافي لاستخدام كلمة 'أنفهدز' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الانتظار
ب) أمر بالتراجع
ج) تعبير عن الفرح
د) طلب بالمغادرة",ب
