Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
ألزخك,هي كلمة بمعنى ( أضربك ) لكنها تقال حين تكون الضربة خارجة من القلب فيستجمع قواه ويقول ( ألزخك ) الفعل منها ( يلزخ - لزخ - إلزخه ).,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'ألزخك'.
السؤال: في أي منطقة من مناطق السعودية يُعتبر استخدام كلمة 'ألزخك' شائعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) حائل",ج
أمبا,"في اللهجة القطيفية يعني ""أريد""",Eastern,"المهمة: حدد المنطقة التي تستخدم فيها كلمة 'أمبا' بشكل رئيسي.
السؤال: في أي منطقة سعودية تُستخدم كلمة 'أمبا' بشكل شائع؟
الخيارات:
أ) الدمام
ب) الرياض
ج) القطيف
د) أبها",ج
أنبوبة,المصطلح المتعارف عليه لدى أهل الحجاز لأسطوانة غاز الطبخ. أيضا يقال (راعي الأنبوبة) للشخص المسؤول عن الدوران في الشوارع واستبدال الأنبوبات الفارغة بأنبوبات مليئة.,Western,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'أنبوبة' بشكل شائع.
السؤال: في أي مدينة سعودية يشتهر استخدام كلمة 'أنبوبة'؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
أنْتسعِمْ,أنْتسعمْ بتسكين النون ونطق حرفي ت و س مع بعضهما. وهي بمعنى أسكت أو أصمت أو مرادف للكلمه النجديه أنفهدز وهي كلمه غالبا مآتقال عند الحآجه الملحّه للطرف الآخر أن يسكت.,Central,"المهمة: حدد المنطقة أو المدينة التي يُستخدم فيها مصطلح 'أنْتسعِمْ' بشكل رئيسي.
السؤال: أين يُستخدم المصطلح 'أنْتسعِمْ' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الأحساء
د) الدمام",أ
أنثبر,أنثبر تأتي بمعنى الزم مكانك وتأتي بمعنى اسكت,Central,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'أنثبر' بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'أنثبر' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",أ
أندُر,"فعل أمر بمعنى (اخرج). والماضي منه ""ندر""",Southern,"المهمة: حدد المكان الذي تستخدم فيه كلمة 'أندُر' بشكل شائع.
السؤال: أي مدينة سعودية تعبر عن استخدام كلمة 'أندُر' بشكل خاص؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
أَندُري,أَندُري او أندر ( بفتح الالف وشد الدال ) معناها أنزل/ي او ايضاً اخرج/ي,Western,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'أَندُري' بشكل أكثر شيوعًا.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أَندُري' بشكل أساسي؟
الخيارات:
أ) الرياض
ب) مكة
ج) الدمام
د) جدة",ب
أنصلق,انْصٓلٓقْ كلمة نجدية تعني انسكب وتستخدم للتعبير عن انسكاب السوائل غالباً الماء,Central,"المهمة: حدد المكان الأكثر شيوعًا لاستخدام كلمة 'أنصلق'.
السؤال: أين يستخدم مصطلح 'أنصلق' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) المدينة المنورة
د) الدمام",أ
أنغرف,أنغرف > بمعنى اذهب او انقلع,General,"المهمة: حدد المكان الذي يُستخدم فيه مصطلح 'أنغرف' غالبًا.
السؤال: في أي من الدول الخليجية يُستخدم مصطلح 'أنغرف' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات العربية المتحدة
د) البحرين",أ
أنفهدز,تستعمل لأمر شخصا ما بالتراجع للخلف وحرف الدال والزاي بديل لحرف القاف بالاساس اي ( انفهق ) وانفهق مشتقه من الفهقه اي التأجيل او التأخير ومنها ايضا الامر ( افهق او افهقها ) اي اعد او اعدها للخلف .,Central,"المهمة: حدد المنطقة التي تُستخدم فيها كلمة 'أنفهدز' بشكل رئيسي.
السؤال: في أي منطقة من المملكة تُستخدم كلمة 'أنفهدز' بشكل أكبر؟
الخيارات:
أ) القصيم
ب) جدة
ج) الطائف
د) حائل",أ
أنقُز,أنقز للذكر بمعنى : أقفز . أنقزي للأنثى بمعنى : أقفزي .,Western,"المهمة: حدد المدينة التي يستخدم فيها المصطلح 'أنقُز' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية تُستخدم كلمة 'أنقُز' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
أَنكَتِم,كف عن الكلام,Southern,"المهمة: حدد أين يُستخدم المصطلح 'أَنكَتِم' بشكل أكثر شيوعاً.
السؤال: أي مدينة سعودية تستخدم المصطلح 'أَنكَتِم' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) أبها",أ
أنهج,تعني اسرع او استعجل . الزوج يقول لزوجتة انهجي علي خل نروح بدري ) وتستعمل غالبا في منطقة سدير والقصيم,Northern,"المهمة: حدد المنطقة الأكثر شيوعاً لاستخدام كلمة 'أنهج'.
السؤال: أين يُستخدم المصطلح 'أنهج' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) سدير
د) تبوك",ج
أوخّو,نام (للاطفال),Western,"المهمة: حدد أين يُستخدم المصطلح 'أوخّو' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أوخّو' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
مبزره,تقال عند تصرف اي شخصاً كان متصرفا تصرف صغار,Western,"المهمة: حدد أي منطقة سعودية يرتبط بها استخدام كلمة 'مبزره'.
السؤال: أين يُستخدم المصطلح 'مبزره' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
أولاه,"أولاه! مصطلح يعني ""أرجوك""",Central,"المهمة: حدد الموقع الأكثر استخداماً للمصطلح 'أولاه'.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أولاه' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) القصيم
ج) حائل
د) الدمام",ب
أي ساد,هي كلمه تعني لآمشكله لدي في ذللك و تستخدم في التهديد أو القبول ل شيء وهي كلمه حساويه,Eastern,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أي ساد' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الاحساء",د
