Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
أديلو جنط,يعني اسحب على ابو شكلو طنش,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أديلو جنط' تعني أنك يجب أن تحاول التقرب من الشخص.
الخيارات:
أ) صحيح
ب) خطأ",ب
ما عليك زود,معناها ما تقصر او لا زيادة عليك,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (ما عليك زود) للتقليل من قيمة الشخص أو جهده.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يا بعد حيي,يعني يا بعد روحي وحياتي، تعبير عن المحبة الشديدة والتودد,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة ""يا بعد حيي"" تُقال للتعبير عن الانزعاج من شخص.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أرهيت بالقطيعة,كدت أن أفقد الأمل,Western,"### نوع السؤال: صحيح/خطأ 
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
- السؤال: عبارة ""أرهيت بالقطيعة"" تعني أن الشخص يشعر بالأمل. 
- الخيارات: 
 A) صحيح 
 B) خطأ 
- 
- التفسير: العبارة تعني ""كدت أن أفقد الأمل""، مما يعني أنها تعبر عن شعور بالإحباط وليس الأمل.",B
أصفر العرقوب,الأعجمي الذي يعيش بين العرب ولا ينتمي إلى قبيلة.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'أصفر العرقوب' تعني الفلاح الغريب عن القبيلة.
الخيارات:
أ) صحيح
ب) خطأ",ب
 زبد له,التزبيد هو قول الحقيقة الجافة بكل وضوح في الوجه بلا تلميح وتغليف,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (زبد له) تعني التلميح بالحقيقة دون قولها صراحة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أقطع وأخس,أخرس,Central,"المهمة: قرر ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'أقطع وأخس' تعني أن الشخص يتحدث بكثرة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
امتحتني ياخي,ازعجتني ياخي,Central,"المهمة: حدد ما إذا كانت العبارة 'امتحتني ياخي' تعني ازعجتني.
السؤال: عبارة 'امتحتني ياخي' تعني ازعجتني.
الخيارات:
أ) صحيح
ب) خطأ",أ
يفدع به,يعني يضربه بقوة,"  
         
Northern","المهمة: تحديد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""يفدع به"" تعني أن الشخص يضرب الآخر أو يرميه بشيء بقوة.
الخيارات:
أ) صحيح
ب) خاطئ",أ
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"المهمة: اختر الجواب الصحيح بدون أي ملاحظات إضافية. 
السؤال: العبارة ""أمّا عاد"" تستخدم للإشارة إلى الإيجابية. 
الخيارات: 
A) صحيح 
B) خطأ",B
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة.
السؤال: العبارة التالية صحيحة: ""كلمة 'خِرِّي مِرِّي' تعني شخصًا كثير الحركة.""
الخيارات:
A) صحيح 
B) خطأ",A
أنت كرتون,أي لا يفقه شيئا,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'أنت كرتون' تعني أن الشخص ذكي جداً.
الخيارات:
أ) صحيح
ب) خطأ",ب
أهل البعر البعرره,البعر تكثر هذه الكلمة في لهجة قبيلة شمر في حفر الباطن وحائل,Northern,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'أهل البعر البعرره' تستخدم في جميع أنحاء السعودية.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
تسلك لي,يعلمك انه معك وهو غير ذالك,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة.
السؤال: عبارة ""تسلك لي"" تعني أنك تصرف النظر عن شخص.
الخيارات: 
A) صحيح 
B) خطأ 
التفسير: ""تسلك لي"" تعني أن الشخص يظهر لك أنه معك وهو غير ذلك، وليست تعني صرف النظر.",B
إرسى لك على بر,تعني أعطيننا رأيك بكل وضوح. أو القول الفصل,General,"المهمة: حدد ما إذا كانت العبارة 'إرسى لك على بر' تعني الإبحار في البحر.
السؤال: عبارة 'إرسى لك على بر' تعني الإبحار في البحر.
الخيارات:
أ) صحيح
ب) خطأ",ب
إرفع بريك,أي : طنشهم وعيش حياتك,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'إرفع بريك' تعني أن تكون حذرًا ولا تتفاعل مع المواقف.
الخيارات:
أ) صحيح
ب) خطأ",ب
وراك لعبت وما انتظرتن,لماذا لعبتَ وما انتظرتني,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (وراك لعبت وما انتظرتن) غالبًا للتعبير عن عتاب خفيف.
الخيارات:
أ) صحيح
ب) خاطئ",أ
بفقع وجهك,كلمه سعوديه تستخدم لتحذير الشخص من لكمة قادمه,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'بفقع وجهك' تعني تقديم مساعدة لشخص ما.
الخيارات:
أ) صحيحة
ب) خاطئة
الإجابة الصحيحة:",
إشبوا دا,إشْبو دا هي جملتين إشبو = مابه دا = هذا العباره بالفصحى . مآخطبه,Western,"المهمة: قيم صحة العبارة التالية.
السؤال: عبارة 'إشبوا دا' تعني 'ما هنا' في اللغة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
ذئب امعط,تطلق علي الشاب النشيط الشجاع المنجز لما يوكل له,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'ذئب امعط' تعني الشاب الضعيف.
الخيارات:
أ) صحيح
ب) خطأ",ب
الله يتزديلك بشويفك,دعاء طلباً للحفاظ على نعمة البصر وغالباً يقال لكبار السن مع ضعف حاسة البصر عندهم,Northern,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الجواب الصحيح وحدد صحة العبارة.
- السؤال: العبارة ""الله يتزديلك بشويفك"" تعني دعاء حافظ على نعمة السمع.
- الخيارات: 
 A) صحيح 
 B) خطأ 
 
- 
 شرح: العبارة تتعلق بنعمة البصر وليست السمع.",B
أكد شعري,أمشط شعري,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (أكد شعري) تعني أمشط شعري باللهجه الحجازية.
الخيارات:
أ) صحيح
ب) خاطئ",أ
العن سنسفيلك,اهزأك,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (العن سنسفيلك) غالبًا في سياق رسمي محترم.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ابن كلب,صفة بمعنى رائع أو غير معتاد.,Central,"المهمة: قرر ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'ابن كلب' تعبر عن شيء إيجابي في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",أ
ابو راس,الشخص الي اكبر مافيه راسه,Central,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'أبو راس' تشير إلى الشخص الذي يعتبر زعيم في مجتمعه.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ابو كلب,تطلق على الشيئ الرديء او الشيء السيء,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'ابو كلب' تعني شيئ جميل.
الخيارات:
أ) صحيح
ب) خطأ",ب
اَبُوكِيه,تستخدم كرد استهزائي ازدرائي لمن لا يعجبك حديثه او لمن كان كلامه سفيهاً واحياناً لمن كان واثقاً زيادةً عن اللزوم,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'اَبُوكِيه' تستخدم للتعبير عن إعجابك بشخص.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اخصرك منه,اخصرك منه بمعنى لا تعره اهتماام او لا تتوجه بالحديث اليه,Western,"المهمة: اقرأ العبارة وحدد إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'اخصرك منه' تعني أنك تهتم بالشخص.
الخيارات:
أ) صحيح
ب) خطأ",ب
ادقك جمع,اضربك بكوعي,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة 'ادقك جمع' تعني 'أضربك بيدي'؟
الخيارات:
أ) صحيح
ب) خاطئ",ب
ارفع علومك,بمعنى استرجل او اجمد كذا,General,"المهمة: اختر إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة 'ارفع علومك' تعني اتخذ أسلوب حياة علمي.
الخيارات:
أ) صحيح
ب) خطأ",ب
احتزم بي,احتزم بي ، مِحْزمِي. يقصد به الحزام الذي يعلّق به الرصاص والفرد والجنبية واحيانًا السيف ويقصد بها اعتمد علي واعتبرني احد اسلحتك ، تستخدم للتعبير عن شدة التعاضد والاخوة والجاهزية لخوض الحروب لاجلك .,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: العبارة ""احتزم بي"" تعني الوقوف مع شخصٍ أثناء الحرب. 
الخيارات: 
A) صحيح 
B) خطأ",A
ابو فَرْوَة,ثمار شجرة الكستناء، تشوى ويأكل لبها. سميت أبو فروة بسبب الملمس النسيجبي الداخلي لقشرة الثمرة.,Central,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: عبارة ""ابو فَرْوَة"" تشير إلى لب شجرة الكستناء فقط. 
- الخيارات:
 A) صحيح 
 B) خطأ 
- لأن ""ابو فَرْوَة"" تشير إلى ثمار شجرة الكستناء ومكوناتها.",B
ازحف وراك,يعني اذلف هناك يعني ابتعد قليلاً لكي اجلس يعني يعطيه مساحه بجنبه شوي عشان يجلس الاخ اللي يقول له ازحف ترا ازحف مثل اذلف مثل ماكنت اذلف تكون ازحف,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'ازحف وراك' تعني أن الشخص يجب أن يقترب.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"### نوع السؤال: صحيح/خطأ 
المهمة: اختَر الإجابة الصحيحة. 
السؤال: ""أمّا عاد"" تستخدم كشكل من أشكال التأييد في الحديث. 
الخيارات: 
A) صحيح 
B) خطأ.",B
من انتوا ترجعون له,تعني ما مرجع ونسب قبيلتكم,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (من انتوا ترجعون له) للسؤال عن نسب القبيلة وأصلها.
الخيارات:
أ) صحيح
ب) خاطئ",أ
اش بك يواد,ماذا بك ايها الفتى,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'اش بك يواد' تعني 'لماذا تحزن'.
الخيارات:
أ) صحيح
ب) خطأ",ب
اش قومك,معناها باختصار وش فيك,General,"### نوع السؤال: صحيح/خطأ 
- المهمة: اختر الإجابة الصحيحة فقط دون أية ملاحظات. 
- السؤال: عبارة ""اش قومك"" تُستخدم للسؤال عن حالة الشخص. 
- الخيارات: 
 A) صحيح 
 B) خطأ 
- 
- التفسير: العبارة تعني ""ماذا بك؟"" وتستخدم للاستفسار عن حالة الشخص.",A
أتوطى ببطنك,الوطا: اي وضع القدم على شي فلما يقولون يتوطى ببطنك : اي اضع رجلي في بطنك وهي اشاره الى الحقد والطقاق والتهيؤ إلى العنف,Western,"### نوع السؤال: صحيح/خطأ 
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: العبارة ""أتوطى ببطنك"" تعني الرغبة في الحرص على صديق. 
الخيارات: 
A) صحيح 
B) خطأ",B
اشبك البلا فشكلك,ماذا بك اصابك البلاء,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: التعبير 'اشبك البلا فشكلك' يعني أنك جميل.
الخيارات:
أ) صحيح
ب) خاطئ",ب
راس البلا,راس البلا : يعني هو أساس المشكلة والمصيبة والسبب فيها .,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'راس البلا' تعني الشخص الذي يسبب النجاح في الحياة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اشبمك يواد,ماذا بك ايها الفتي,Western,"المهمة: حدد ما إذا كانت العبارة 'اشبمك يواد' تعني 'كيف حالك؟' صحيحة أم خاطئة.
السؤال: عبارة 'اشبمك يواد' تعني 'كيف حالك؟'
الخيارات:
أ) صحيح
ب) خاطئ",ب
اصطبو دمك,الدعاء بأن الجن يسكبون دمك,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: العبارة ""اصطبو دمك"" تشير إلى طلب صب الماء. 
الخيارات: 
A) صحيح 
B) خطأ - العبارة تدل على الدعاء بأن الجن يسكبون دمك، وليس طلب صب الماء.",B
اطبع الباب,أغلق الباب بالمفتاح، يقولها أهل ينبع البلد ينبع البحر,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'اطبع الباب' تعني 'افتح الباب'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أبو كلبي,أبو كلبي يعني سيء,General,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
- السؤال: عبارة ""أبو كلبي"" تعني في اللهجة السعودية شخص لطيف. 
- الخيارات:
 A) صحيح 
 B) خطأ 
- - التفسير: ""أبو كلبي"" تعني بالعربية الفصحى ""سيء""، وهي تعبير سلبي.",B
اطلع من مخي,هذا ليس الوقت المناسب لك.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'اطلع من مخي' تعني أنك تحتاج لمغادرة المكان.
الخيارات:
أ) صحيح
ب) خاطئ",ب
صرف السالفة, لما تحاول تغيير الموضوع او مشيها,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة: 'عبارة 
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيحة
ب) خاطئة",ب
اقدح من راسك,لا تألف من راسك,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: العبارة ""اقدح من راسك"" تعني ""لا تألف"". 
الخيارات: 
A) صحيح 
B) خطأ 
شرح الخيار الخاطئ: ""لا تألف"" تعني أنك يجب أن تفكر بنفسك بدلاً من تقليد الآخرين.",A
كبر براطمها,تعني ان شفايفها كبيرة جدا.,General,"المهمة: حدد صحة العبارة.
السؤال: عبارة ""كبر براطمها"" تُستخدم لوصف شخص لديه شفايف كبيرة.
الخيارات:
أ) صحيح
ب) خاطئ",أ
اقطع و اخس,"هذه العبارة ترادف تماماً كلمة ""اصمت!""",General,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'اقطع و اخس' تعني 'تحدث louder'؟
الخيارات:
أ) صحيح
ب) خطأ",ب
ياخي قروشتني,"يعني ياخي ازعجتني , وترتني ",Western,"المهمة: تحقق من صحة العبارة التالية
السؤال: عبارة ""ياخي قروشتني"" تُقال عندما يساعدك شخص كثيرًا.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أبو جلمبو,"هو نوع من انواع الفواصل بالبحر ويسمى ""السرطان""",Western,"### نوع السؤال: صحيح/خطأ 
المهمة: اختر الإجابة الصحيحة. 
السؤال: كلمة ""أبو جلمبو"" تشير إلى نوع من أنواع الفواصل في البحر. 
الخيارات: 
A) صحيح 
B) خطأ 
تفسير الإجابة الخاطئة: إذا كانت الإجابة ""خطأ""، فإن ذلك يعني أن الكلمة لا تعني الفواصل البحرية، لكن ""أبو جلمبو"" تعني فعلاً نوعًا من أنواع الفواصل في البحر.",A
السيف الأملح,هو سيف حاد للغاية يستخدم في القصاص,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: يستخدم 'السيف الأملح' عادةً في الحروب.
الخيارات:
أ) صحيح
ب) خطأ",ب
الشحوم ترطرط,تقال وصف للشخص السمين والمليان بالشحم واللحم,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'الشحوم ترطرط' تعني شخص نحيف جدًا.
الخيارات:
أ) صحيح
ب) خطأ",ب
الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان,مثل يقال عندما يفوتك الحصاد وتريد ان تترفع عنه بكرامة,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: العبارة ""الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان"" تعني أن الشخص الذي يفوت الفرص يجب أن يشعر بالندم. 
الاختيارات: 
A) صحيح 
B) خطأ
التفسير: تعبر العبارة عن ضرورة التخلي عن شيء لا يمكن الحصول عليه بعد الفوت، مما قد يعكس شعورًا بالندم.",A
العازه لزازه,بمعنى اذا احتجتني بتضطر انك تجي,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: عبارة ""العازه لزازه"" تستخدم عندما يكون هناك حاجة للتعاون بين الأفراد. 
الخيارات: 
A) صحيح 
B) خطأ) صحيح",A
الفقعسي والله,مسموعة في الزلفي وتعني استحالة تحقيق أمرك ومطلبك أو الشأن الذي يخاض به.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'الفقعسي والله' تعني أنه من السهل تحقيق مطالبك.
الخيارات:
أ) صحيح
ب) خطأ",ب
وش موزيك, باللهجة الحايليه معناها من الذي أمرك,Northern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (وش موزيك) تُستخدم للسؤال عن الشخص الذي أعطى الأمر.
الخيارات:
أ) صحيح
ب) خاطئ",أ
أنت القعدة,تعني اخر العنقود من الذكور.,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: عبارة 'أنت القعدة' تعني الجلوس في مكان عام فقط.
الخيارات:
أ) صحيح
ب) خطأ",ب
على طبطابي,يعني على مزاجي او على كيفي,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (على طبطابي) للدلالة على الالتزام بتعليمات الآخرين.
الخيارات:
أ) صحيح
ب) خاطئ",ب
الكلام اللي يجمد على الشارب,العرب الأوائل كان الشنب عندهم مهم جدا لدرجة إنهم ما يقصون منه ولا شعره عكس اللحية وهذا موجود إلى فترة قريبة في شمال الجزيرة العربية وبعض الدول العربية فإذا أراد الرجل أن يؤكد كلامه وأنه مستحيل إنه يغيره قال ( الكلام اللي يجمد على الشارب ) كناية عن الثبات على القول . . لأن شعر الشنب لا يقص أبدا .,Northern,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: 'الكلام اللي يجمد على الشارب' تعني أن الشخص يمكنه تغيير رأيه بسهولة.
الخيارات:
أ) صحيح
ب) خطأ",ب
والله منتب سهل,تقال عند الإعجاب بذكاء شخص أو دهائه، أو للتعجب من قدرته على القيام بشيء ما,General,"المهمة: اختر الجواب الصحيح.
السؤال: عبارة ""والله منتب سهل"" تُقال عند الإعجاب بذكاء أو مهارة شخص.
الخيارات:
أ) صحيح
ب) خاطئ",أ
الله الله,"تعبر هذه العبارة عن موافقة القائل لما قيل قبل قليل. و يمكن تعويضها بقوله ""صدقت"" أو ""فعلاً. هذا صحيح""",General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'الله الله' تعني أن المتحدث غير متفق مع القائل.
الخيارات:
أ) صحيح
ب) خطأ",ب
الله لا يعوق بشر,تعني أي أن شاء الله تسير الأمور بخير,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'الله لا يعوق بشر' تعني أن الأمور ستكون سيئة.
الخيارات:
أ) صحيح
ب) خطأ",ب
الله يحزنا خير,الله يحزنا خير تعني الله يوجهنا للخير,General,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: العبارة ""الله يحزنا خير"" تعني ""الله يوجهنا للخير"".
- الاختيارات:
 A) صحيح 
 B) خطأ 
- 
- توضيح: العبارة صحيحة، حيث أن ""الله يحزنا خير"" تعكس دعاء بالتوجيه نحو الخير.",A
أرفعه قب,بضم القاف و تسكين الباء وتأتي هذه العبارة بمعنى اسحب عليه أو طنشه,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'أرفعه قب' تستخدم بمعنى 'اهتم به'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
الله يسبقبي,الرد على عبارة الله يطعني وتعني أنه يتمنى أن يأخذ الألم والمصيبة أولا وهي قريبة من معنى الله يجعل يومي قبل يومك,Southern,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'الله يسبقبي' تعني 'أتمنى أن يأخذ الألم والمصيبة أولا'.
الخيارات:
أ) صحيح
ب) خطأ",أ
اللهم اجعل هذا البلد آمنا,"دعاء مأخوذ من آية في القران سورة البقرة آية ""وَإِذْ قَالَ إِبْرَاهِيمُ رَبِّ اجْعَلْ هَٰذَا بَلَدًا آمِنًا وَارْزُقْ أَهْلَهُ مِنَ الثَّمَرَاتِ"" في المناسبات الوطنية (مثل اليوم الوطني) يكرر المتدينون هذا الدعاء بدلا من التهنئة لأنهم مقتنعون أن الاحتفالات وتبادل التهاني بدعة ولا تجوز, وحتى لا يتهمون أنهم خوارج أو معارضين للدولة يقولون هذا الدعاء في تويتر والإعلام وواتساب إلخ أيضا الدعاء يستعمل كنوع من إعلان التضامن مع الدولة واستنكار الأعمال الإرهابية.",General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'اللهم اجعل هذا البلد آمنا' هي دعاء يردده المتدينون في المناسبات الوطنية بدلاً من التهنئة.
الخيارات:
أ) صحيح
ب) خاطئ",أ
المح ذاعك,انظر الى ذلك الشخص,General,"المهمة: تحديد صحة العبارة
السؤال: العبارة 'المح ذاعك' تعني 'انظر إلى ذلك الشيء'.
الخيارات:
أ) صحيح
ب) خطأ",أ
الهيس الأربد,الهيس الأربد: صفة تطلق على الشخص الكسلان، المهمل، الثقيل الحركة، الذي ليس لديه طموح.,Central,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'الهيس الأربد' تشير إلى الشخص المجتهد.
الخيارات:
أ) صحيح
ب) خطأ",ب
الوجه الودر,الوجه القبيح الذي يجلب النكد والهم.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: الوجه الودر هو وجه يتمتع بالجمال.
الخيارات:
أ) صحيح
ب) خاطئ",ب
