Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
اندر بره,اخرج,Western,"المهمة: حدد المعنى الصحيح لعبارة (اندر بره).
السؤال: ما المعنى المقصود من عبارة (اندر بره)؟
الخيارات:
أ) اجلس
ب) اقترب
ج) اخرج
د) انتظر",ج
أديلو جنط,يعني اسحب على ابو شكلو طنش,Western,"المهمة: حدد المعنى الصحيح لعبارة 'أديلو جنط'.
السؤال: ماذا تعني عبارة 'أديلو جنط'؟
الخيارات:
أ) يعني تعاون معه
ب) يعني اسحب على ابو شكلو طنش
ج) يعني أتصل به
د) يعني أذهب معه",ب
ما عليك زود,معناها ما تقصر او لا زيادة عليك,General,"المهمة: حدد المعنى الصحيح لعبارة (ما عليك زود).
السؤال: ما المعنى المقصود من عبارة (ما عليك زود)؟
الخيارات:
أ) لا تفعل أكثر
ب) لا حاجة للمساعدة
ج) ما تقصر / لا زيادة عليك
د) ابتعد",ج
يا بعد حيي,يعني يا بعد روحي وحياتي، تعبير عن المحبة الشديدة والتودد,Central,"المهمة: حدد المعنى الصحيح للعبارة .
السؤال: ماذا تعني عبارة ""يا بعد حيي"" في اللهجة العامية؟
الخيارات:
أ) أحبك كثيرًا وأنت غالٍ علي
ب) أنت غريب عني
ج) لا أعرفك
د) اتركني وشأني",أ
أرهيت بالقطيعة,كدت أن أفقد الأمل,Western,"### نوع السؤال: معنى 
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
- السؤال: ما معنى عبارة ""أرهيت بالقطيعة""؟ 
- الخيارات: 
 A) فقدت الأمل 
 B) شعرت بالسعادة 
 C) قررت السفر 
 D) زادت الثقة 
-",A
أصفر العرقوب,الأعجمي الذي يعيش بين العرب ولا ينتمي إلى قبيلة.,Central,"المهمة: اختر المعنى الصحيح لعبارة 'أصفر العرقوب'.
السؤال: ما معنى عبارة 'أصفر العرقوب'؟
الخيارات:
أ) الشخص الذي يعيش بين العرب ولا ينتمي إلى قبيلة.
ب) الرجل الذي يهاجر إلى بلاد الأعداء.
ج) امرأة متعلمة تحترم تقاليدها.
د) طالب في مدرسة عريقة.",أ
 زبد له,التزبيد هو قول الحقيقة الجافة بكل وضوح في الوجه بلا تلميح وتغليف,General,"المهمة: حدد المعنى الصحيح لعبارة (زبد له).
السؤال: ما المعنى المقصود من عبارة (زبد له)؟
الخيارات:
أ) جامل الشخص
ب) قال الحقيقة الجافة بوضوح
ج) سخر منه
د) تجاهله",ب
أقطع وأخس,أخرس,Central,"المهمة: حدد معنى العبارة 'أقطع وأخس'.
السؤال: ما هو المعنى الصحيح لعبارة 'أقطع وأخس'؟
الخيارات:
أ) أخرس
ب) مشاغب
ج) محتال
د) صامت",أ
امتحتني ياخي,ازعجتني ياخي,Central,"المهمة: حدد المعنى الصحيح لعبارة 'امتحتني ياخي'.
السؤال: ما هو المعنى الصحيح لعبارة 'امتحتني ياخي'؟
الخيارات:
أ) أزعجتني ياخي
ب) ساعدتني ياخي
ج) أرحبت بي ياخي
د) جلست معي ياخي",أ
يفدع به,يعني يضربه بقوة,"  
         
Northern","المهمة: حدد المعنى الصحيح للعبارة .
السؤال: ماذا تعني عبارة ""يفدع به"" في اللهجة العامية؟
الخيارات:
أ) يواسيه بالكلام
ب) يضربه أو يرميه بقوة
ج) يناديه بلطف
د) يطلب مساعدته",ب
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"المهمة: اختر الجواب الصحيح. 
السؤال: ما معنى العبارة ""أمّا عاد""؟ 
الخيارات: 
A) تستخدم للتعبير عن الفرح 
B) تستخدم للإنبهات أو التعجب 
C) تستخدم في المحادثات الرسمية 
D) تستخدم للتعبير عن الشكر",B
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما معنى كلمة ""خِرِّي مِرِّي"" في اللهجة الحجازية؟
الخيارات:
A) بطيء الحركة 
B) ذاهب وعائد 
C) دائم الجلوس 
D) قلق ومتردد",B
أنت كرتون,أي لا يفقه شيئا,Central,"المهمة: حدد المعنى الصحيح للعبارة 'أنت كرتون'.
السؤال: ماذا تعني عبارة 'أنت كرتون' في اللهجة السعودية؟
الخيارات:
أ) أنت ذكي
ب) أنت غير قادر على الفهم
ج) أنت محترم
د) أنت لطيف",ب
أهل البعر البعرره,البعر تكثر هذه الكلمة في لهجة قبيلة شمر في حفر الباطن وحائل,Northern,"المهمة: حدد المعنى الصحيح لعبارة 'أهل البعر البعرره'.
السؤال: ما هو المعنى الذي تعبر عنه عبارة 'أهل البعر البعرره' في اللهجة السعودية؟
الخيارات:
أ) تعني جاء أحد يشبه الخراف
ب) تعني حظي مثل القذارة
ج) تعني أهلاً وسهلاً بالضيوف
د) تعني عطف وتودد",ب
تسلك لي,يعلمك انه معك وهو غير ذالك,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما معنى عبارة ""تسلك لي"" في اللهجة النجدية؟
الخيارات: 
A) تظهر لك التجاهل 
B) تعلمك أنه معك وهو غير ذلك 
C) توعدك بزيارة 
D) تسأل عن حالك",B
إرسى لك على بر,تعني أعطيننا رأيك بكل وضوح. أو القول الفصل,General,"المهمة: حدد معنى العبارة 'إرسى لك على بر'
السؤال: ما معنى عبارة 'إرسى لك على بر'؟
الخيارات:
أ) اعطينا رأيك بكل وضوح
ب) تعني ابحار في البحر
ج) طلب مساعدة
د) الانتظار طويلاً",أ
إرفع بريك,أي : طنشهم وعيش حياتك,General,"المهمة: حدد المعنى المناسب لعبارة 'إرفع بريك'.
السؤال: ماذا تعني عبارة 'إرفع بريك'؟
الخيارات:
أ) عيش حياتك ولا تهتم بالآخرين
ب) اذهب إلى العمل بجد
ج) حاول أن تكون هادئًا
د) حذر الآخرين",أ
وراك لعبت وما انتظرتن,لماذا لعبتَ وما انتظرتني,Central,"المهمة: حدد المعنى الصحيح لعبارة (وراك لعبت وما انتظرتن).
السؤال: ما المعنى المقصود من هذه العبارة؟
الخيارات:
أ) لماذا تأخرت عليّ
ب) لماذا بدأت اللعب ولم تنتظرني
ج) لماذا خرجت مبكرًا
د) لماذا لم تتكلم معي",ب
بفقع وجهك,كلمه سعوديه تستخدم لتحذير الشخص من لكمة قادمه,General,"المهمة: حدد المعنى الصحيح لعبارة 'بفقع وجهك'.
السؤال: ما هو المعنى الصحيح لعبارة 'بفقع وجهك' في اللهجة السعودية؟
الخيارات:
أ) تحذير من خطر قادم
ب) دعوة للضحك
ج) تعبير عن الحب
د) إشارة للغضب",أ
إشبوا دا,إشْبو دا هي جملتين إشبو = مابه دا = هذا العباره بالفصحى . مآخطبه,Western,"المهمة: حدد المعنى الصحيح للعبارة 'إشبوا دا'.
السؤال: ما معنى عبارة 'إشبوا دا'؟
الخيارات:
أ) أشبهك بهذا
ب) ما رأيك ؟
ج) ما خطبه ؟
د) ما دريت ؟",ج
ذئب امعط,تطلق علي الشاب النشيط الشجاع المنجز لما يوكل له,Western,"المهمة: حدد المعنى المناسب لكلمة 'ذئب امعط'.
السؤال: ماذا تعني كلمة 'ذئب امعط' في اللهجة الحجازية؟
الخيارات:
أ) الشاب الكسول
ب) الشاب النشيط الشجاع
ج) الشاب الخجول
د) الشاب المهمل",ب
الله يتزديلك بشويفك,دعاء طلباً للحفاظ على نعمة البصر وغالباً يقال لكبار السن مع ضعف حاسة البصر عندهم,Northern,"### نوع السؤال: معنى
- المهمة: اختر الجواب الصحيح الذي يعبّر عن معنى الكلمة.
- السؤال: ما معنى ""الله يتزديلك بشويفك""؟
- الخيارات: 
 A) دعاء للحفاظ على نعمة البصر 
 B) دعاء للشفاء من الأمراض 
 C) تحية لكبار السن 
 D) شتيمة لأحد 
-",A
أكد شعري,أمشط شعري,Western,"المهمة: حدد المعنى الصحيح لعبارة (أكد شعري).
السؤال: ما المعنى المقصود من عبارة (أكد شعري) باللهجه الحجازية؟
الخيارات:
أ) أغسل شعري
ب) أقص شعري
ج) أمشط شعري
د) أصبغ شعري",ج
العن سنسفيلك,اهزأك,Western,"المهمة: حدد المعنى الصحيح لعبارة (العن سنسفيلك).
السؤال: ما المعنى المقصود من عبارة (العن سنسفيلك)؟
الخيارات:
أ) أمدحك
ب) أهزأك / أسخر منك
ج) أشكرك
د) أعتذر منك",ب
ابن كلب,صفة بمعنى رائع أو غير معتاد.,Central,"المهمة: حدد المعنى الصحيح للعبارة 'ابن كلب'.
السؤال: ما معنى 'ابن كلب' في اللهجة السعودية؟
الخيارات:
أ) صفة بمعنى رائع أو غير معتاد.
ب) صفة تعني عصفور.
ج) تعبير يستخدم للدلالة على الغضب.
د) تعني ببساطة كلب.",أ
ابو راس,الشخص الي اكبر مافيه راسه,Central,"المهمة: حدد المعنى الصحيح للعبارة 'أبو راس'.
السؤال: ما معنى كلمة 'أبو راس' في اللهجة السعودية؟
الخيارات:
أ) الشخص الذي يملك الكثير من المال
ب) الشخص الكبير في السن
ج) الشخص الذي يملك رأس كبير
د) الشخص الذي يعتبر زعيم في مجتمعه",ب
ابو كلب,تطلق على الشيئ الرديء او الشيء السيء,Central,"المهمة: حدد المعنى الصحيح لعبارة 'ابو كلب'.
السؤال: ما هو المعنى المقصود من عبارة 'ابو كلب'؟
الخيارات:
أ) شيئ جميل
ب) شيئ رديء
ج) شيئ عادي
د) شيئ مميز",ب
اَبُوكِيه,تستخدم كرد استهزائي ازدرائي لمن لا يعجبك حديثه او لمن كان كلامه سفيهاً واحياناً لمن كان واثقاً زيادةً عن اللزوم,Central,"المهمة: حدد المعنى الصحيح للعبارة 'اَبُوكِيه'.
السؤال: ما المعنى الذي تشير إليه العبارة 'اَبُوكِيه'؟
الخيارات:
أ) تعبير إيجابي عن الإعجاب
ب) رد استهزائي لشخص غير مقبول حديثه
ج) عبارة تشير إلى الفخر
د) تعبير عن التفاؤل",ب
اخصرك منه,اخصرك منه بمعنى لا تعره اهتماام او لا تتوجه بالحديث اليه,Western,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما هو معنى عبارة 'اخصرك منه'؟
الخيارات:
أ) أعتني به كثيرًا.
ب) لا تعره اهتمامًا.
ج) أريد الحديث معه.
د) أعتبره صديقًا.",ب
ادقك جمع,اضربك بكوعي,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""ادقك جمع""؟ 
الخيارات: 
A) أضربك بكوعي 
B) أساعدك في العمل 
C) أقدّم لك الطعام 
D) أتركك في حالتك",A
ارفع علومك,بمعنى استرجل او اجمد كذا,General,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة.
- السؤال: ما معنى عبارة ""ارفع علومك"" في اللهجة السعودية؟
- الخيارات:
 - A) استخدم معرفتك
 - B) استرجل أو اجمد كذا
 - C) ارفع شعارك
 - D) اجعل صوتك مرتفعًا
-",B
احتزم بي,احتزم بي ، مِحْزمِي. يقصد به الحزام الذي يعلّق به الرصاص والفرد والجنبية واحيانًا السيف ويقصد بها اعتمد علي واعتبرني احد اسلحتك ، تستخدم للتعبير عن شدة التعاضد والاخوة والجاهزية لخوض الحروب لاجلك .,General,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ما هو المعنى الحقيقي لعبارة ""احتزم بي""؟ 
الخيارات: 
A) التراجع عن الحرب 
B) الاعتماد على شخص آخر كوسيلة للدعم في الحروب 
C) استخدام الحزام كموضة 
D) الانتظار وعدم التحرك",B
ابو فَرْوَة,ثمار شجرة الكستناء، تشوى ويأكل لبها. سميت أبو فروة بسبب الملمس النسيجبي الداخلي لقشرة الثمرة.,Central,"### نوع السؤال: معنى
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: ما معنى كلمة ""ابو فَرْوَة""؟
- الخيارات:
 A) نوع من البيض 
 B) ثمار شجرة الكستناء 
 C) نوع من الخبز 
 D) نوع من الفاكهة المجففة 
-",B
ازحف وراك,يعني اذلف هناك يعني ابتعد قليلاً لكي اجلس يعني يعطيه مساحه بجنبه شوي عشان يجلس الاخ اللي يقول له ازحف ترا ازحف مثل اذلف مثل ماكنت اذلف تكون ازحف,General,"المهمة: حدد معنى العبارة 'ازحف وراك'.
السؤال: ما المقصود بعبارة 'ازحف وراك' في اللهجة السعودية؟
الخيارات:
أ) تعني ابتعد قليلاً
ب) تعني تعال هنا
ج) تعني اذهب بعيداً
د) تعني اجلس بجانبي",أ
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"### نوع السؤال: معنى 
المهمة: اختَر الإجابة الصحيحة. 
السؤال: ما معنى ""أمّا عاد"" في اللهجة السعودية؟ 
الخيارات: 
A) تستخدم للتعبير عن التأييد. 
B) تستخدم للإنبهات أو التعجّب. 
C) تستخدم للمجاملة. 
D) تستخدم للتفاخر.",B
من انتوا ترجعون له,تعني ما مرجع ونسب قبيلتكم,General,"المهمة: حدد المعنى الصحيح لعبارة (من انتوا ترجعون له).
السؤال: ما المعنى المقصود من عبارة (من انتوا ترجعون له)؟
الخيارات:
أ) أين تسكنون
ب) ما عملكم
ج) ما مرجع ونسب قبيلتكم
د) متى ستعودون",ج
اش بك يواد,ماذا بك ايها الفتى,Western,"المهمة: حدد المعنى الصحيح للعبارة 'اش بك يواد'.
السؤال: ما معنى عبارة 'اش بك يواد'؟
الخيارات:
أ) ماذا بك أيها الفتى
ب) كيف حالك يا رجل
ج) أين أنت الآن
د) لماذا تحزن",أ
اش قومك,معناها باختصار وش فيك,General,"### نوع السؤال: معنى 
- المهمة: اختر الإجابة الصحيحة فقط دون أية ملاحظات. 
- السؤال: ما معنى عبارة ""اش قومك""؟ 
- الخيارات: 
 A) ماذا بك؟ 
 B) كيف حالك؟ 
 C) لماذا تأخرت؟ 
 D) أين ذهبت؟ 
-",A
أتوطى ببطنك,الوطا: اي وضع القدم على شي فلما يقولون يتوطى ببطنك : اي اضع رجلي في بطنك وهي اشاره الى الحقد والطقاق والتهيؤ إلى العنف,Western,"### نوع السؤال: معنى 
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""أتوطى ببطنك""؟ 
الخيارات: 
A) أتمنى لك السلامة 
B) أضع قدمي في بطنك 
C) أحتفل معك 
D) سأساعدك في العمل",B
اشبك البلا فشكلك,ماذا بك اصابك البلاء,Western,"المهمة: حدد المعنى الصحيح للتعبير.
السؤال: ماذا يعني التعبير 'اشبك البلا فشكلك'؟
الخيارات:
أ) لدي طعام إضافي
ب) ماذا بك، أصابك البلاء؟
ج) لديك مظهر جميل
د) أبشر بالسعادة",ب
راس البلا,راس البلا : يعني هو أساس المشكلة والمصيبة والسبب فيها .,General,"المهمة: حدد المعنى الصحيح لعبارة 'راس البلا'.
السؤال: ماذا تعني عبارة 'راس البلا'؟
الخيارات:
أ) السبب في النجاح
ب) أساس المشكلة والمصيبة
ج) نهاية المطاف
د) رجل الأعمال",ب
اشبمك يواد,ماذا بك ايها الفتي,Western,"المهمة: حدد معنى العبارة 'اشبمك يواد'.
السؤال: ماذا تعني عبارة 'اشبمك يواد'؟
الخيارات:
أ) ماذا بك
ب) أين أنت
ج) كيف حالك
د) ما هو اسمك",أ
اصطبو دمك,الدعاء بأن الجن يسكبون دمك,Central,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى عبارة 'اصطبو دمك'?
الخيارات:
أ) الدعاء بأن الجن يسكبون دمك
ب) شرب الماء في الصباح
ج) توزيع الطعام على الفقراء
د) رحلة إلى الصحراء",أ
اطبع الباب,أغلق الباب بالمفتاح، يقولها أهل ينبع البلد ينبع البحر,Western,"المهمة: حدد المعنى الصحيح لعبارة 'اطبع الباب'.
السؤال: ماذا تعني عبارة 'اطبع الباب'؟
الخيارات:
أ) أغلق الباب بالمفتاح
ب) افتح الباب
ج) أغلق النافذة
د) اضرب الباب",أ
أبو كلبي,أبو كلبي يعني سيء,General,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
- السؤال: ما معنى ""أبو كلبي"" في اللهجة السعودية؟
- الخيارات:
 A) شخص محبوب 
 B) سيء 
 C) ذكي 
 D) مجتهد 
-",B
اطلع من مخي,هذا ليس الوقت المناسب لك.,General,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما هو المعنى للعبارة 'اطلع من مخي'؟
الخيارات:
أ) هذا ليس الوقت المناسب لك.
ب) اذهب بعيداً.
ج) أنا مشغول حالياً.
د) اضحك معي.",أ
صرف السالفة, لما تحاول تغيير الموضوع او مشيها,General,"المهمة: حدد المعنى الصحيح لجملة 'اعملك شاي'.
السؤال: ماذا تعني عبارة 'اعملك شاي'؟
الخيارات:
أ) تعبير عن الاستعداد لمساعدة شخص ما
ب) تعبير عن الخوف ومحاولة التصرف
ج) تعبير عن التهكم والسخرية
د) تعبير عن الاستغراب",ب
اقدح من راسك,لا تألف من راسك,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""اقدح من راسك""؟ 
الخيارات: 
A) ابتكر من أفكارك 
B) اتبع التعليمات بدقة 
C) تظاهر بعدم المعرفة 
D) قم بنقل الأفكار من الآخرين",A
كبر براطمها,تعني ان شفايفها كبيرة جدا.,General,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ماذا تعني عبارة ""كبر براطمها"" في اللهجة العامية؟
الخيارات:
أ) صوتها مرتفع
ب) تمشي بسرعة
ج) شفايفها كبيرة جدًا
د) تتكلم كثيرًا",ج
اقطع و اخس,"هذه العبارة ترادف تماماً كلمة ""اصمت!""",General,"المهمة: حدد المعنى الصحيح لعبارة 'اقطع و اخس'.
السؤال: ماذا تعني عبارة 'اقطع و اخس'؟
الخيارات:
أ) اصمت!
ب) تحدث بوضوح!
ج) اشرب الماء!
د) اذهب للنوم!",أ
ياخي قروشتني,"يعني ياخي ازعجتني , وترتني ",Western,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ماذا تعني عبارة ""ياخي قروشتني"" في اللهجة الحجازية؟
الخيارات:
أ) أبهرتني
ب) أزعجتني وأربكتني
ج) ساعدتني
د) ضيعتني في الطريق",ب
أبو جلمبو,"هو نوع من انواع الفواصل بالبحر ويسمى ""السرطان""",Western,"### نوع السؤال: معنى 
المهمة: اختر الإجابة الصحيحة. 
السؤال: ما معنى كلمة ""أبو جلمبو""؟ 
الخيارات: 
A) نوع من الأسماك 
B) نوع من أنواع الفواصل في البحر يسمى ""السرطان"" 
C) نوع من أدوات المطبخ 
D) اسم لشخص مشهور",B
السيف الأملح,هو سيف حاد للغاية يستخدم في القصاص,General,"المهمة: حدد المعنى الصحيح لعبارة 'السيف الأملح'.
السؤال: ما معنى 'السيف الأملح'؟
الخيارات:
أ) سيف غير حاد
ب) سيف حاد للغاية يستخدم في القصاص
ج) سيف يستخدم للزينة
د) سيف مصنوع من الخشب",ب
الشحوم ترطرط,تقال وصف للشخص السمين والمليان بالشحم واللحم,General,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ماذا تعني عبارة 'الشحوم ترطرط'؟
الخيارات:
أ) يشير إلى شخص سمين ومليان بالشحم واللحم
ب) يعني شخص نحيف جدًا
ج) يصف طعام دسم
د) يشير إلى شخص رياضي",أ
الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان,مثل يقال عندما يفوتك الحصاد وتريد ان تترفع عنه بكرامة,General,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان""؟ 
الاختيارات: 
A) العبارة تشير إلى الرضا عن الحصاد. 
B) العبارة تعبر عن التأخير في الاستفادة من شيء ثمين. 
C) العبارة تدعو للاعتناء بالمائدة. 
D) العبارة تستخدم للتعبير عن الشبع.",B
العازه لزازه,بمعنى اذا احتجتني بتضطر انك تجي,Western,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""العازه لزازه"" في اللهجة الحجازية؟ 
الخيارات: 
A) إذا شعرت بالقلق 
B) إذا احتجتني بتضطر انك تجي 
C) إذا كنت في حاجة 
D) إذا كان لديك مسألة مهمة) إذا احتجتني بتضطر انك تجي",B
الفقعسي والله,مسموعة في الزلفي وتعني استحالة تحقيق أمرك ومطلبك أو الشأن الذي يخاض به.,Central,"المهمة: حدد المعنى الصحيح لعبارة 'الفقعسي والله'.
السؤال: ما معنى عبارة 'الفقعسي والله'؟
الخيارات:
أ) تعني تحقيق الأمر بسهولة
ب) تعني استحالة تحقيق الأمر
ج) تعني التحذير من خطر قادم
د) تعني الانتظار طويلاً",ب
وش موزيك, باللهجة الحايليه معناها من الذي أمرك,Northern,"المهمة: حدد المعنى الصحيح لعبارة (وش موزيك).
السؤال: ما المعنى المقصود من عبارة (وش موزيك)؟
الخيارات:
أ) ماذا تريد
ب) أين تذهب
ج) من الذي أمرك
د) متى ستعود",ج
أنت القعدة,تعني اخر العنقود من الذكور.,Central,"المهمة: حدد معنى عبارة 'أنت القعدة'.
السؤال: ماذا تعني عبارة 'أنت القعدة'؟
الخيارات:
أ) تعني الجلوس بصفة عامة.
ب) تعني اخر العنقود من الذكور.
ج) تعني الفراق.
د) تعني الاجتماع العائلي.",ب
على طبطابي,يعني على مزاجي او على كيفي,Western,"المهمة: حدد المعنى الصحيح لعبارة (على طبطابي).
السؤال: ما المعنى المقصود من عبارة (على طبطابي)؟
الخيارات:
أ) غصبًا عني
ب) على مزاجي / على كيفي
ج) بأمر غيري
د) بدون اختيار",ب
الكلام اللي يجمد على الشارب,العرب الأوائل كان الشنب عندهم مهم جدا لدرجة إنهم ما يقصون منه ولا شعره عكس اللحية وهذا موجود إلى فترة قريبة في شمال الجزيرة العربية وبعض الدول العربية فإذا أراد الرجل أن يؤكد كلامه وأنه مستحيل إنه يغيره قال ( الكلام اللي يجمد على الشارب ) كناية عن الثبات على القول . . لأن شعر الشنب لا يقص أبدا .,Northern,"المهمة: حدد المعنى الصحيح لعبارة 'الكلام اللي يجمد على الشارب'.
السؤال: ما هو المعنى الدقيق لعبارة 'الكلام اللي يجمد على الشارب'؟
الخيارات:
أ) كلام غير مهم
ب) كلام ثابت وصادق
ج) كلام متداول بين الناس
د) كلام يحتاج إلى توضيح",ب
والله منتب سهل,تقال عند الإعجاب بذكاء شخص أو دهائه، أو للتعجب من قدرته على القيام بشيء ما,General,"المهمة: اختر الجواب الصحيح.
السؤال: ماذا تعني عبارة ""والله منتب سهل"" في اللهجة العامية السعودية؟
الخيارات:
أ) أنت ضعيف الشخصية
ب) أنت طيب القلب
ج) أنت ذكي أو داهية
د) أنت متردد",ج
