Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
خاوره عليك,تقولها الانثى اذا تضايقت وتعني زعلانه منك,Southern,"المهمة: حدد الجوانب الثقافية .
السؤال: لماذا تُستخدم عبارة ""خاوره عليك"" في الثقافة السعودية؟
الخيارات:
أ) لأنها تُظهر الغضب والاهتمام بطريقة غير مباشرة
ب) لأنها تقال في الأعراس
ج) لأنها تُستخدم للتعبير عن السعادة
د) لأنها مأخوذة من الشعر الجاهلي",أ
اندر بره,اخرج,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (اندر بره).
السؤال: ماذا تعكس عبارة (اندر بره) من الثقافة الاجتماعية؟
الخيارات:
أ) أسلوب مباشر وحازم في التوجيه
ب) أسلوب رسمي مهذب
ج) تعبير عن الامتنان
د) أسلوب مجازي شاعري",أ
أديلو جنط,يعني اسحب على ابو شكلو طنش,Western,"المهمة: وضح معنى عبارة 'أديلو جنط' في سياق الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لعبارة 'أديلو جنط'؟
الخيارات:
أ) تعبير عن الغضب
ب) تعبير عن الإهمال والتجاهل
ج) تعبير عن الفرح
د) تعبير عن الترحيب",ب
ما عليك زود,معناها ما تقصر او لا زيادة عليك,General,"المهمة: اشرح المفهوم الثقافي لعبارة (ما عليك زود).
السؤال: ماذا تعكس عبارة (ما عليك زود) من الثقافة الاجتماعية السعودية؟
الخيارات:
أ) الامتنان والتقدير دون مبالغة
ب) السخرية من الجهد المبذول
ج) الرفض الصريح للمساعدة
د) التقليل من شأن الآخرين",أ
يا بعد حيي,يعني يا بعد روحي وحياتي، تعبير عن المحبة الشديدة والتودد,Central,"المهمة: فسر المعنى الثقافي للعبارة .
السؤال: لماذا تُستخدم عبارة ""يا بعد حيي"" في الثقافة السعودية؟
الخيارات:
أ) للتعبير عن حب شديد وتقدير عاطفي
ب) في المناسبات الرسمية فقط
ج) لتحذير شخص من الغلط
د) للتفاخر بالنسب",أ
أرهيت بالقطيعة,كدت أن أفقد الأمل,Western,"المهمة: فسر العبارة من وجهة نظر ثقافية.
السؤال: ماذا تعني عبارة 'أرهيت بالقطيعة' في السياق الثقافي السعودي؟
الخيارات:
أ) تدل على شعور اليأس والإحباط
ب) تشير إلى الفرح والاحتفال
ج) تعبر عن الفخر والتفاخر
د) تتعلق بالمغامرة والسفر",أ
أصفر العرقوب,الأعجمي الذي يعيش بين العرب ولا ينتمي إلى قبيلة.,Central,"المهمة: اختر التفسير الثقافي الأكثر دقة لعبارة 'أصفر العرقوب'.
السؤال: كيف يُمكن تفسير عبارة 'أصفر العرقوب' من الناحية الثقافية؟
الخيارات:
أ) يشير إلى عدم الانتماء إلى القبيلة.
ب) يعبر عن الفخر بالنسب.
ج) يرمز إلى الغربة.
د) يعني احترام تقاليد الآخر.",أ
 زبد له,التزبيد هو قول الحقيقة الجافة بكل وضوح في الوجه بلا تلميح وتغليف,General,"المهمة: اشرح المفهوم الثقافي لعبارة (زبد له).
السؤال: ماذا تعكس عبارة (زبد له) من الثقافة الاجتماعية؟
الخيارات:
أ) الصراحة المباشرة دون مجاملة
ب) الدبلوماسية في الحديث
ج) التلميح غير المباشر
د) المدح المبالغ فيه",أ
أقطع وأخس,أخرس,Central,"المهمة: اشرح ما تشير إليه العبارة في الثقافة.
السؤال: ماذا تعني عبارة 'أقطع وأخس' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الصمت
ب) تعبر عن الفصاحة
ج) تعبر عن الطيش
د) تعبر عن الحكمة",أ
امتحتني ياخي,ازعجتني ياخي,Central,"المهمة: ما الذي تشير إليه عبارة 'امتحتني ياخي' في الثقافة السعودية؟
السؤال: عبارة 'امتحتني ياخي' تعكس:
الخيارات:
أ) العلاقات القوية بين الأصدقاء
ب) عدم الاهتمام بالمشاعر
ج) الدردشة الخفيفة بين الأصدقاء
د) الرغبة في الخصوصية",أ
يفدع به,يعني يضربه بقوة,"  
         
Northern","المهمة: شرح معنى العبارة ثقافياً.
السؤال: لماذا تُستخدم عبارة ""يفدع به"" في الثقافة السعودية؟
الخيارات:
أ) للتعبير عن المزاح بين الأصدقاء
ب) للتعبير عن رد فعل غاضب أو عدواني
ج) لأنها جزء من تقاليد الضيافة
د) لوصف المشي السريع",ب
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"المهمة: اختر التفسير الصحيح لاستخدام 'أمّا عاد' في الثقافة السعودية.
السؤال: لماذا يُستخدم المصطلح 'أمّا عاد' في النقاشات السعودية؟
الخيارات:
أ) للتعبير عن الفخر
ب) لخلق جو من الاستغراب
ج) للترحيب
د) للتعزية",ب
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"المهمة: شرح التفسير الثقافي للكلمة.
السؤال: ما الذي يعكسه استخدام كلمة 'خِرِّي مِرِّي' في الثقافة السعودية؟
الخيارات:
أ) أهمية التنقل والحركة
ب) حب الهدوء والسكون
ج) الانغماس في العمل
د) الانعزال الاجتماعي",أ
أنت كرتون,أي لا يفقه شيئا,Central,"المهمة: اشرح المعنى الثقافي لعبارة 'أنت كرتون'.
السؤال: ما الذي تعكسه عبارة 'أنت كرتون' عن الثقافة السعودية؟
الخيارات:
أ) تعبير عن المحبة
ب) تعبير عن السخرية
ج) تعبير عن الاحترام
د) تعبير عن الشجاعة",ب
أهل البعر البعرره,البعر تكثر هذه الكلمة في لهجة قبيلة شمر في حفر الباطن وحائل,Northern,"المهمة: فسر العبارة بحسب ثقافة المنطقة.
السؤال: ما هو السياق الثقافي لعبارة 'أهل البعر البعرره' في اللهجة السعودية؟
الخيارات:
أ) تشير إلى الفخر بالجذور العائلية
ب) تستخدم كنوع من الفكاهة في المجتمعات
ج) تعبير عن إحساس بالغضب والاحتقار
د) تشير إلى مشاعر الحزن والأسى",ب
تسلك لي,يعلمك انه معك وهو غير ذالك,General,"المهمة: حدد ما يعنيه استخدام عبارة 'تسلك لي' في الثقافة السعودية.
السؤال: كيف تعكس عبارة 'تسلك لي' القيم الاجتماعية في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الثقة والتواصل
ب) تدل على الانعزال
ج) تستخدم في المجاملات فقط
د) تعني الصداقة فقط",أ
إرسى لك على بر,تعني أعطيننا رأيك بكل وضوح. أو القول الفصل,General,"المهمة: حدد التفسير الثقافي للعبارة.
السؤال: ما هو التفسير الثقافي لعبارة 'إرسى لك على بر' في اللهجة السعودية؟
الخيارات:
أ) تدل على الرحيل إلى البحر
ب) تشير إلى تقديم الرأي بشكل واضح
ج) تعني الانتظار لفترة طويلة
د) تعبر عن التردد في اتخاذ القرار",ب
إرفع بريك,أي : طنشهم وعيش حياتك,General,"المهمة: اشرح الفهم الثقافي المرتبط بعبارة 'إرفع بريك'.
السؤال: لماذا تعتقد أن عبارة 'إرفع بريك' مستخدمة في الثقافة السعودية؟
الخيارات:
أ) لأنها تحث على الاسترخاء وعدم التوتر
ب) لأنها تدعو للعمل الجاد
ج) لأنها تعني الاتصال بالآخرين
د) لأنها تعبر عن الرغبة في القيادة",أ
وراك لعبت وما انتظرتن,لماذا لعبتَ وما انتظرتني,Central,"المهمة: اشرح المفهوم الثقافي للتعبير (وراك لعبت وما انتظرتن).
السؤال: ماذا يعكس هذا التعبير من الثقافة الاجتماعية؟
الخيارات:
أ) العتاب البسيط بين الأصدقاء أو الأطفال
ب) التهديد المباشر
ج) السخرية اللاذعة
د) الاحترام الرسمي",أ
بفقع وجهك,كلمه سعوديه تستخدم لتحذير الشخص من لكمة قادمه,General,"المهمة: فهم المعاني الثقافية للعبارة.
السؤال: ماذا تعكس عبارة 'بفقع وجهك' من الجوانب الثقافية في اللهجة السعودية؟
الخيارات:
أ) روح التعاون
ب) أسلوب التعبير عن الغضب
ج) تحية تقليدية
د) عرض الإحسان
الإجابة الصحيحة:",
إشبوا دا,إشْبو دا هي جملتين إشبو = مابه دا = هذا العباره بالفصحى . مآخطبه,Western,"المهمة: فسر الأهمية الثقافية للعبارة 'إشبوا دا'.
السؤال: لماذا تعتبر عبارة 'إشبوا دا' مهمة في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الرحلات
ب) تعبر عن المقاومة
ج) تعبر عن الفخر
د) تعبر عن السياحة",ب
ذئب امعط,تطلق علي الشاب النشيط الشجاع المنجز لما يوكل له,Western,"المهمة: فسر المعنى الثقافي لكلمة 'ذئب امعط'.
السؤال: ما الذي يجسده استخدام كلمة 'ذئب امعط' في المجتمع السعودي؟
الخيارات:
أ) الإبداع والانجاز
ب) الهدوء والتردد
ج) الفشل والاستسلام
د) الحماس والاهمال",أ
الله يتزديلك بشويفك,دعاء طلباً للحفاظ على نعمة البصر وغالباً يقال لكبار السن مع ضعف حاسة البصر عندهم,Northern,"المهمة: ما هو التفسير الثقافي لجملة 'الله يتزديلك بشويفك'؟
السؤال: كيف تمثل العبارة 'الله يتزديلك بشويفك' القيم الثقافية في المجتمع السعودي؟
الخيارات:
أ) تعبر عن الرغبة في القرب والتواصل
ب) تشير إلى أهمية جيل الآباء وكبار السن
ج) تعكس مفهوم الفخر بالمظهر
د) تدل على مهرجان الاحتفال",ب
أكد شعري,أمشط شعري,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (أكد شعري).
السؤال: ماذا تعكس عبارة (أكد شعري) من الثقافة الاجتماعية؟
الخيارات:
أ) الاهتمام بالمظهر والنظافة الشخصية
ب) التقليل من أهمية المظهر
ج) السخرية من الآخرين
د) الرفض الاجتماعي",أ
العن سنسفيلك,اهزأك,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (العن سنسفيلك).
السؤال: ماذا تعكس عبارة (العن سنسفيلك) من الثقافة الاجتماعية؟
الخيارات:
أ) السخرية أو الاستهزاء في الحديث غير الرسمي
ب) الدعاء بالخير
ج) التحفيز الإيجابي
د) الاعتذار المهذب",أ
ابن كلب,صفة بمعنى رائع أو غير معتاد.,Central,"المهمة: فسر العبارة 'ابن كلب' في سياقها الثقافي.
السؤال: ما الذي تعبر عنه العبارة 'ابن كلب' في الثقافة السعودية؟
الخيارات:
أ) عادة سلبية.
ب) تعبير عن الإعجاب.
ج) تعبير عن الاستهزاء.
د) تعبير عن المحبة.",ب
ابو راس,الشخص الي اكبر مافيه راسه,Central,"المهمة: فسر المعنى الثقافي للعبارة.
السؤال: ماذا تعني العبارة 'أبو راس' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الاحترام للشخص الكبير في السن
ب) تشير إلى شخصيات بارزة ومعروفة
ج) تدل على القوة والهيبة
د) تعبر عن المحبة بين الأصدقاء",أ
ابو كلب,تطلق على الشيئ الرديء او الشيء السيء,Central,"المهمة: اشرح كيف يعكس استخدام عبارة 'ابو كلب' الثقافة المحلية.
السؤال: ماذا تعني عبارة 'ابو كلب' في الثقافة السعودية؟
الخيارات:
أ) تعني الاحترام
ب) تعني التهكم والسخرية
ج) تعني الجدية
د) تعني السعادة",ب
اَبُوكِيه,تستخدم كرد استهزائي ازدرائي لمن لا يعجبك حديثه او لمن كان كلامه سفيهاً واحياناً لمن كان واثقاً زيادةً عن اللزوم,Central,"المهمة: اشرح كيفية استخدام عبارة 'اَبُوكِيه' في الثقافة السعودية.
السؤال: كيف تُستخدم عبارة 'اَبُوكِيه' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الفرح والسرور
ب) رد يُظهر عدم الاحترام لشخص يتحدث بتفاخر
ج) يستخدم في حالات الشكر والتقدير
د) تعبير عن الاستنكار للأمور الجادة",ب
اخصرك منه,اخصرك منه بمعنى لا تعره اهتماام او لا تتوجه بالحديث اليه,Western,"المهمة: فسر الاستخدام الثقافي للعبارة.
السؤال: لماذا يستخدم الناس في اللهجة السعودية عبارة 'اخصرك منه'؟
الخيارات:
أ) للتعبير عن الاحترام.
ب) للتقليل من اهتمامهم بالشخص.
ج) لزيادة العلاقة.
د) لتشجيع شخص ما.",ب
ادقك جمع,اضربك بكوعي,Central,"المهمة: فسر معنى العبارة في السياق الثقافي.
السؤال: ما الحالة الاجتماعية التي قد تُستخدم فيها عبارة 'ادقك جمع' في الثقافة السعودية؟
الخيارات:
أ) بين الأصدقاء
ب) في الاجتماعات الرسمية
ج) خلال الاحتفالات العائلية
د) في العمل",أ
ارفع علومك,بمعنى استرجل او اجمد كذا,General,"المهمة: اختر التفسير الثقافي لعبارة 'ارفع علومك'.
السؤال: كيف تعكس عبارة 'ارفع علومك' الثقافة السعودية؟
الخيارات:
أ) تدل على أهمية التعلم والتطور
ب) تشير إلى الاهتمام بالموضة
ج) تعبر عن حب الرياضة
د) تلقي الضوء على العمل الجماعي",أ
احتزم بي,احتزم بي ، مِحْزمِي. يقصد به الحزام الذي يعلّق به الرصاص والفرد والجنبية واحيانًا السيف ويقصد بها اعتمد علي واعتبرني احد اسلحتك ، تستخدم للتعبير عن شدة التعاضد والاخوة والجاهزية لخوض الحروب لاجلك .,General,"المهمة: اختر التفسير الثقافي لعبارة 'احتزم بي'.
السؤال: كيف تعبر عبارة 'احتزم بي' عن العلاقة بين الأفراد في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الثقة المتبادلة
ب) تعبر عن الانفصال
ج) تعبر عن الفراق
د) تعبر عن العداء",أ
ابو فَرْوَة,ثمار شجرة الكستناء، تشوى ويأكل لبها. سميت أبو فروة بسبب الملمس النسيجبي الداخلي لقشرة الثمرة.,Central,"المهمة: فسر المعنى الثقافي لكلمة 'ابو فَرْوَة'.
السؤال: لماذا تُعتبر 'ابو فَرْوَة' جزءًا من العادات الثقافية في الشتاء؟
الخيارات:
أ) لأنها فاكهة تباع في الأسواق
ب) لأنها تُعتبر من الأطعمة الشتوية التقليدية
ج) لأنها تستخدم في المناسبات الخاصة
د) لأنها مشروب شتوي",ب
ازحف وراك,يعني اذلف هناك يعني ابتعد قليلاً لكي اجلس يعني يعطيه مساحه بجنبه شوي عشان يجلس الاخ اللي يقول له ازحف ترا ازحف مثل اذلف مثل ماكنت اذلف تكون ازحف,General,"المهمة: فسر كيفية استخدام العبارة من الناحية الثقافية.
السؤال: ما هي الدلالة الثقافية لقول 'ازحف وراك' في المجتمع السعودي؟
الخيارات:
أ) تعني الاحترام والتقدير
ب) تعني العنف والتهديد
ج) تعني الراحة والود
د) تعني الوقار والجدية",ج
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"المهمة: وضح معنى كلمة 'أمّا عاد' في السياق الثقافي.
السؤال: كيف تعكس كلمة 'أمّا عاد' الثقافة السعودية؟
الخيارات:
أ) تعبر عن الدعوة للعمل
ب) تعكس عدم اليقين أو الشك
ج) تشير إلى الفخر والاعتزاز
د) تمثل السلام والتسامح",ب
من انتوا ترجعون له,تعني ما مرجع ونسب قبيلتكم,General,"المهمة: اشرح المفهوم الثقافي لعبارة (من انتوا ترجعون له).
السؤال: ماذا تعكس عبارة (من انتوا ترجعون له) من الثقافة الاجتماعية؟
الخيارات:
أ) الاهتمام بالأصل والنسب والانتماء القبلي
ب) التقليل من شأن الآخرين
ج) السخرية في الحديث
د) الدعابة الخفيفة",أ
اش بك يواد,ماذا بك ايها الفتى,Western,"المهمة: فسر العبارة في السياق الثقافي.
السؤال: ماذا تعكس عبارة 'اش بك يواد' عن الثقافة السعودية؟
الخيارات:
أ) تعبر عن التواصل الودي بين الأصدقاء
ب) تعكس الجفاف في العلاقات
ج) تظهر التحفظ في الحديث
د) تدل على الابتعاد عن الآخرين",أ
اش قومك,معناها باختصار وش فيك,General,"المهمة: اختر التفسير الصحيح للعبارة 'اش قومك' في الثقافة السعودية.
السؤال: لماذا يُستخدم مصطلح 'اش قومك' في المحادثات بين السعوديين؟
الخيارات:
أ) للتعبير عن القلق
ب) للسؤال عن الأخبار والعافية
ج) لتأكيد النسيان
د) للاحتفال بالمناسبات",ب
أتوطى ببطنك,الوطا: اي وضع القدم على شي فلما يقولون يتوطى ببطنك : اي اضع رجلي في بطنك وهي اشاره الى الحقد والطقاق والتهيؤ إلى العنف,Western,"المهمة: حدد التفسير الثقافي لعبارة 'أتوطى ببطنك'.
السؤال: ما الذي تعبر عنه عبارة 'أتوطى ببطنك' في الثقافة السعودية؟
الخيارات:
أ) الترحيب بالضيوف
ب) التحضير للمنافسة
ج) التعبير عن الحقد والنية للعنف
د) تقديم المساعدة",ج
اشبك البلا فشكلك,ماذا بك اصابك البلاء,Western,"المهمة: فسر كيف يعكس التعبير ثقافة المجتمع السعودي.
السؤال: ما الذي يعكسه تعبير 'اشبك البلا فشكلك' عن الثقافة السعودية؟
الخيارات:
أ) قلة الاهتمام بالمظهر
ب) استخدام الألفاظ الصعبة
ج) عادتهم في الاستفسار عن المشاكل
د) تفضيل الصمت في المحادثات",ج
راس البلا,راس البلا : يعني هو أساس المشكلة والمصيبة والسبب فيها .,General,"المهمة: حدد مدى أهمية عبارة 'راس البلا' في الثقافة السعودية.
السؤال: ما هو التفسير الثقافي المتعلق بعبارة 'راس البلا' في المجتمع السعودي؟
الخيارات:
أ) يدل على الاحترام
ب) يعني الشخص المسبب للمشاكل
ج) يشير إلى النجاح
د) يعبر عن التعاون",ب
اشبمك يواد,ماذا بك ايها الفتي,Western,"المهمة: اشرح ما يعكسه استخدام عبارة 'اشبمك يواد' في الثقافة السعودية.
السؤال: ماذا يعكس استخدام العبارة 'اشبمك يواد' في الثقافة المحلية؟
الخيارات:
أ) اهتمام بالآخرين
ب) عدم الاكتراث بالآخرين
ج) احتقار
د) مقارنة ثقافات",أ
اصطبو دمك,الدعاء بأن الجن يسكبون دمك,Central,"المهمة: حدد الثقافة المرتبطة بالعبارة.
السؤال: أي من العبارات التالية تربط العبارة 'اصطبو دمك' بثقافة معينة؟
الخيارات:
أ) تستخدم في حفلات الزفاف
ب) تستخدم في الأعياد الدينية
ج) تستخدم بين الأصدقاء كنوع من الدعابة
د) تستخدم في الخرافات الشعبية.",د
اطبع الباب,أغلق الباب بالمفتاح، يقولها أهل ينبع البلد ينبع البحر,Western,"المهمة: حدد التفسير الثقافي لعبارة 'اطبع الباب'.
السؤال: ما الأهمية الثقافية لعبارة 'اطبع الباب' في اللهجة السعودية؟
الخيارات:
أ) تدل على الاحترام والتهذيب
ب) تشير إلى الفوضى
ج) تعني السعادة
د) تعبر عن الخوف",أ
أبو كلبي,أبو كلبي يعني سيء,General,"المهمة: اشرح ما تعنيه 'أبو كلبي' في الثقافة السعودية.
السؤال: ماذا تعبر 'أبو كلبي' عن الواقع السعودي؟
الخيارات:
أ) تعبير عن الإيجابية
ب) تعبير عن الشيء السيء
ج) تعبير عن الشجاعة
د) تعبير عن الجمال",ب
اطلع من مخي,هذا ليس الوقت المناسب لك.,General,"المهمة: اشرح المعنى الثقافي للعبارة.
السؤال: ما الذي ترمز إليه عبارة 'اطلع من مخي' في الثقافة السعودية؟
الخيارات:
أ) تدل على التجاهل.
ب) تعبر عن الصداقة.
ج) تشير إلى الانشغال.
د) الحلول السريعة للمشاكل.",ج
صرف السالفة, لما تحاول تغيير الموضوع او مشيها,General,"المهمة: فسر العبارة من منظور ثقافي.
السؤال: ماذا تعكس عبارة 'اعملك شاي' عن الثقافة السعودية؟
الخيارات:
أ) تعكس التقاليد في تقديم الضيافة
ب) تشير إلى عدم الاحترام
ج) تدل على الخوف من مواجهة المشاكل
د) تتعلق بالتحفظ الاجتماعي",أ
اقدح من راسك,لا تألف من راسك,General,"المهمة: وضح كيف تعكس عبارة 'اقدح من راسك' ثقافة الناس.
السؤال: كيف تعكس عبارة 'اقدح من راسك' الطريقة التي يتعامل بها الناس في المجتمع السعودي؟
الخيارات:
أ) تعبر عن التعاون
ب) تدل على التفرد والابتكار
ج) تشير إلى الخوف من التغيير
د) تعكس الشجاعة في اتخاذ القرارات",ب
كبر براطمها,تعني ان شفايفها كبيرة جدا.,General,"المهمة: فسر العبارة من منظور ثقافي.
السؤال: لماذا تُستخدم عبارة ""كبر براطمها"" في الثقافة الشعبية؟
الخيارات:
أ) لوصف المبالغة في ملامح الوجه أحيانًا بسخرية
ب) لأنها تقال في المناسبات الرسمية
ج) للتعبير عن الفخر والجمال
د) لأنها مأخوذة من لغة فصيحة",أ
اقطع و اخس,"هذه العبارة ترادف تماماً كلمة ""اصمت!""",General,"المهمة: حدد التفسير الثقافي للعبارة.
السؤال: ما هو التفسير الثقافي لعبارة 'اقطع و اخس' في المجتمع السعودي؟
الخيارات:
أ) نتمنى لك وقتاً سعيداً!
ب) نقولها عادة للتعبير عن الانزعاج من الكلام الزائد.
ج) تعبر عن الترحيب!
د) تعني طلب المساعدة.",ب
ياخي قروشتني,"يعني ياخي ازعجتني , وترتني ",Western,"المهمة: فسر العبارة الثقافية
السؤال: لماذا تُستخدم عبارة ""ياخي قروشتني"" في الثقافة السعودية؟
الخيارات:
أ) للتعبير عن الملل و التوتر من شخص كثير الإلحاح أو الكلام
ب) للتعبير عن الامتنان
ج) للمبالغة في المدح
د) عند الترحيب بشخص عزيز",أ
أبو جلمبو,"هو نوع من انواع الفواصل بالبحر ويسمى ""السرطان""",Western,"المهمة: حدد السياق الثقافي لكلمة 'أبو جلمبو'.
السؤال: ما الذي تشير إليه كلمة 'أبو جلمبو' في الثقافة السعودية؟
الخيارات:
أ) عادة للصيد
ب) نوع من الطعام
ج) مصطلح لفن الرسم
د) رسالة علمية",أ
السيف الأملح,هو سيف حاد للغاية يستخدم في القصاص,General,"المهمة: اعطِ تفسيراً ثقافياً لـ 'السيف الأملح'.
السؤال: ما الذي يرمز إليه 'السيف الأملح' في الثقافة السعودية؟
الخيارات:
أ) القوة والشجاعة
ب) الجمال والفن
ج) السلم والسلام
د) التعليم والتعلم",أ
الشحوم ترطرط,تقال وصف للشخص السمين والمليان بالشحم واللحم,General,"المهمة: وضح ما تعبر عنه العبارة من ناحية ثقافية.
السؤال: ماذا تعبر عبارة 'الشحوم ترطرط' عن الثقافة السعودية؟
الخيارات:
أ) تعبر عن ثقافة الأكل دسم
ب) تشير إلى اعتناء بالرشاقة
ج) تدل على اهتمام بالصحة
د) تعكس هيبة الشخص",أ
الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان,مثل يقال عندما يفوتك الحصاد وتريد ان تترفع عنه بكرامة,General,"المهمة: فسر العبارة في السياق الثقافي.
السؤال: ما الذي تعكسه عبارة 'الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان' في الثقافة السعودية؟
الخيارات:
أ) أهمية الكرم وحسن الضيافة.
ب) تفضيل الأطعمة الصحية.
ج) الذكاء في التعامل مع المال.
د) الاكتفاء الذاتي.",أ
العازه لزازه,بمعنى اذا احتجتني بتضطر انك تجي,Western,"المهمة: حدد السياق الثقافي للعبارة.
السؤال: لماذا تعكس عبارة 'العازه لزازه' الترابط الاجتماعي في الثقافة السعودية؟
الخيارات:
أ) لأنها تعني عدم الحاجة إلى المساعدة
ب) لأنها تشير إلى قبول الطلبات والمساعدة عند الحاجة
ج) لأنها تعبر عن الانعزال
د) لأنها تستخدم فقط في السياقات الرسمية",ب
