Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
خاوره عليك,تقولها الانثى اذا تضايقت وتعني زعلانه منك,Southern,"المهمة: حدد المكان الذي يُستخدم فيه التعبير بشكل شائع.
السؤال: في أي دولة تستخدم عبارة 'خاوره عليك' بشكل رئيسي؟
الخيارات:
أ) الوسطى
ب) الشرقية
ج) الغرب
د) الجنوب",د
اندر بره,اخرج,Western,"المهمة: اختر الجواب الصحيح. 
السؤال: في أي منطقة سعودية تُستخدم عبارة ""اندر بره"" بشكل شائع؟ 
الخيارات: 
A) مكة 
B) الرياض 
C) القصيم 
D) الدمام",A
أديلو جنط,يعني اسحب على ابو شكلو طنش,Western,"المهمة: حدد المنطقة التي ترتبط بها عبارة 'أديلو جنط'.
السؤال: أين يُستخدم المصطلح 'أديلو جنط' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
ما عليك زود,معناها ما تقصر او لا زيادة عليك,General,"المهمة: حدد المدينة التي يرتبط بها هذا المصطلح.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'ما عليك زود' بشكل رئيسي؟
الخيارات:
أ) الكويت
ب) قطر
ج) السعودية
د) عمان",ج
يا بعد حيي,يعني يا بعد روحي وحياتي، تعبير عن المحبة الشديدة والتودد,Central,"المهمة: حدد المدينة أو المنطقة التي يتم فيها استخدام عبارة 'يا بعد حيي'.
السؤال: أين يتم استخدام المصطلح 'يا بعد حيي' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) الدمام
ج) جدة
د) حائل",أ
أرهيت بالقطيعة,كدت أن أفقد الأمل,Western,"المهمة: حدد المنطقة التي يتم استخدام العبارة فيها بشكل رئيسي.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'أرهيت بالقطيعة' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) أبها",أ
أصفر العرقوب,الأعجمي الذي يعيش بين العرب ولا ينتمي إلى قبيلة.,Central,"المهمة: حدد المنطقة التي يُستخدم فيها مصطلح 'أصفر العرقوب' بشكل شائع.
السؤال: في أي مدينة سعودية يُستخدم مصطلح 'أصفر العرقوب' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدمام",أ
 زبد له,التزبيد هو قول الحقيقة الجافة بكل وضوح في الوجه بلا تلميح وتغليف,General,"المهمة: حدد أين يُستخدم المصطلح 'زبد له' بشكل أكثر شيوعاً.
السؤال: في أي منطقة في السعودية يُستخدم المصطلح 'زبد له' بشكل كبير؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
أقطع وأخس,أخرس,Central,"المهمة: حدد المكان الذي يُستخدم فيه هذا المصطلح بصورة أقل.
السؤال: في أي مدينة سعودية يُستخدم المصطلح 'أقطع وأخس' بشكل أقل شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مدينة عُنيزة",د
امتحتني ياخي,ازعجتني ياخي,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'امتحتني ياخي' بشكل شائع.
السؤال: أين يُستخدم المصطلح 'امتحتني ياخي' بشكل أكثر شيوعاً؟
الخيارات:
أ) مكة
ب) الرياض
ج) الدمام
د) المدينة المنورة",ب
يفدع به,يعني يضربه بقوة,"  
         
Northern","المهمة: حدد الدولة التي يكون فيها المصطلح 'يفدع به' الأكثر شيوعاً.
السؤال: في أي دولة يُستخدم المصطلح 'يفدع به' بشكل رئيسي؟
الخيارات:
أ) الجنوب
ب) الغرب
ج) الشمال
د) الوسطى",ج
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"المهمة: حدد الدولة التي تستخدم المصطلح 'أمّا عاد' بشكل رئيسي.
السؤال: في أي دولة يُستخدم المصطلح 'أمّا عاد' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"### نوع السؤال: التعرف على الموقع
المهمة: اختر الإجابة الصحيحة.
السؤال: في أي منطقة سعودية تُستخدم كلمة ""خِرِّي مِرِّي"" بشكل شائع؟
الخيارات:
A) الرياض 
B) جدة 
C) الدمام 
D) المدينة المنورة",B
أنت كرتون,أي لا يفقه شيئا,Central,"المهمة: حدد المنطقة التي ترتبط بها هذه العبارة.
السؤال: أين يُستخدم المصطلح 'أنت كرتون' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الخبر",أ
أهل البعر البعرره,البعر تكثر هذه الكلمة في لهجة قبيلة شمر في حفر الباطن وحائل,Northern,"المهمة: حدد المنطقة التي يرتبط بها هذا المصطلح.
السؤال: في أي منطقة سعودية تستخدم عبارة 'أهل البعر البعرره' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) حائل
ج) مكة
د) جدة",ب
تسلك لي,يعلمك انه معك وهو غير ذالك,General,"المهمة: اختر المدينة الأكثر شيوعًا لاستخدام المصطلح ""تسلك لي"".
السؤال:  في أي دولة تُستخدم كلمة ""تسلك لي"" بشكل رئيسي؟ 
الخيارات: 
A) المملكة العربية السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
إرسى لك على بر,تعني أعطيننا رأيك بكل وضوح. أو القول الفصل,General,"المهمة: حدد أين تستخدم العبارة 'إرسى لك على بر' بشكل رئيسي.
السؤال: في أي دولة تُستخدم عبارة 'إرسى لك على بر' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
إرفع بريك,أي : طنشهم وعيش حياتك,General,"المهمة: حدد أين تستخدم عادة عبارة 'إرفع بريك' بشكل أكبر.
السؤال: في أي دولة تُستخدم العبارة 'إرفع بريك' بشكل بارز؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
وراك لعبت وما انتظرتن,لماذا لعبتَ وما انتظرتني,Central,"المهمة: حدد المكان الذي يستخدم فيه المصطلح 'وراك لعبت وما انتظرتن بشكل أساسي.
السؤال: في أي منطقة في المملكة العربية السعودية يُستخدم المصطلح 'وراك لعبت وما انتظرتن' بشكل رئيسي؟
الخيارات:
أ) مكة المكرمة
ب) القصيم
ج) المدينة المنورة
د) المنطقة الشرقية",ب
بفقع وجهك,كلمه سعوديه تستخدم لتحذير الشخص من لكمة قادمه,General,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: أين يستخدم مصطلح ""بفقع وجهك"" بشكل رئيسي؟ 
الخيارات: 
أ) الكويت
ب) الإمارات
ج) المملكة العربية السعودية
د) البحرين",ج
إشبوا دا,إشْبو دا هي جملتين إشبو = مابه دا = هذا العباره بالفصحى . مآخطبه,Western,"المهمة: حدد الموقع الذي تستخدم فيه عبارة 'إشبوا دا' بشكل شائع.
السؤال: أين غالباً ما يُستخدم المصطلح 'إشبوا دا'؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) المدينة المنورة",أ
ذئب امعط,تطلق علي الشاب النشيط الشجاع المنجز لما يوكل له,Western,"المهمة: حدد أين يتحدث الناس بكثرة وبشكل خاص عن كلمة 'ذئب امعط'.
السؤال: في أي مكان في المملكة العربية السعودية يستخدم المصطلح 'ذئب امعط' بشكل شائع؟
الخيارات:
أ) جدة
ب) الدمام
ج) الرياض
د) المدينة المنورة",أ
الله يتزديلك بشويفك,دعاء طلباً للحفاظ على نعمة البصر وغالباً يقال لكبار السن مع ضعف حاسة البصر عندهم,Northern,"المهمة: حدد المنطقة التي تُستخدم فيها عبارة 'الله يتزديلك بشويفك' بشكل شائع.
السؤال: في أي منطقة سعودية تُستخدم العبارة 'الله يتزديلك بشويفك' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",د
أكد شعري,أمشط شعري,Western,"المهمة: حدد المكان الأكثر شيوعاً .
السؤال: أين تُستخدم عبارة 'أكد شعري' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الخبر",ب
العن سنسفيلك,اهزأك,Western,"المهمة: حدد الموقع الذي يُستخدم فيه هذا المصطلح بشكل رئيسي.
السؤال: أين تُستخدم عبارة 'العن سنسفيلك' بشكل شائع في السعودية؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) القصيم",ب
ابن كلب,صفة بمعنى رائع أو غير معتاد.,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'ابن كلب' بشكل شائع.
السؤال: في أي منطقة من السعودية يُستخدم المصطلح 'ابن كلب' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
ابو راس,الشخص الي اكبر مافيه راسه,Central,"المهمة: حدد أين يُستخدم المصطلح 'أبو راس' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أبو راس' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدمام",أ
ابو كلب,تطلق على الشيئ الرديء او الشيء السيء,Central,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح أكثر.
السؤال: في أي مدينة سعودية يتم استخدام عبارة 'ابو كلب' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدوادمي",أ
اَبُوكِيه,تستخدم كرد استهزائي ازدرائي لمن لا يعجبك حديثه او لمن كان كلامه سفيهاً واحياناً لمن كان واثقاً زيادةً عن اللزوم,Central,"المهمة: حدد أي مناطق السعودية يُستخدم فيها المصطلح 'اَبُوكِيه' بشكل أكبر.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'اَبُوكِيه' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) مكة
ج) جدة
د) حائل",أ
اخصرك منه,اخصرك منه بمعنى لا تعره اهتماام او لا تتوجه بالحديث اليه,Western,"المهمة: أين يُستخدم المصطلح 'اخصرك منه' بشكل أكثر شيوعاً؟
السؤال: في أي منطقة من المملكة العربية السعودية يستخدم الناس عبارة 'اخصرك منه'؟
الخيارات:
أ) مكة المكرمة
ب) الرياض
ج) جدة
د) المدينة المنورة",أ
ادقك جمع,اضربك بكوعي,Central,"المهمة: حدد أين يُستخدم المصطلح بشكل أكثر شيوعاً.
السؤال: أي منطقة سعودية تستخدم المصطلح 'ادقك جمع' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",أ
ارفع علومك,بمعنى استرجل او اجمد كذا,General,"المهمة: اختر الدولة الأكثر ارتباطاً بعبارة 'ارفع علومك'.
السؤال: في أي دولة يستخدم المصطلح 'ارفع علومك' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
احتزم بي,احتزم بي ، مِحْزمِي. يقصد به الحزام الذي يعلّق به الرصاص والفرد والجنبية واحيانًا السيف ويقصد بها اعتمد علي واعتبرني احد اسلحتك ، تستخدم للتعبير عن شدة التعاضد والاخوة والجاهزية لخوض الحروب لاجلك .,General,"المهمة: حدد المكان الذي يستخدم فيه المصطلح 'احتزم بي' بشكل رئيسي.
السؤال: في أي دولة يُستخدم المصطلح 'احتزم بي' بشكل رئيسي؟
الخيارات:
أ) الكويت
ب) الإمارات
ج) المملكة العربية السعودية
د) البحرين",ج
ابو فَرْوَة,ثمار شجرة الكستناء، تشوى ويأكل لبها. سميت أبو فروة بسبب الملمس النسيجبي الداخلي لقشرة الثمرة.,Central,"### نوع السؤال: التعرف على الموقع
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: في أي منطقة سعودية تستخدم مصطلح ""ابو فَرْوَة"" عادةً؟
- الخيارات:
 A) القصيم 
 B) حائل 
 C) جدة 
 D) أبها 
-",C
ازحف وراك,يعني اذلف هناك يعني ابتعد قليلاً لكي اجلس يعني يعطيه مساحه بجنبه شوي عشان يجلس الاخ اللي يقول له ازحف ترا ازحف مثل اذلف مثل ماكنت اذلف تكون ازحف,General,"المهمة: حدد المكان الأكثر استخداماً لعبارة 'ازحف وراك'.
السؤال: أين يتم استخدام المصطلح 'ازحف وراك' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
أمّا عاد,تستخدم للإنبهات أو التعجّب! أو إذا كان الكلام مشكوك به. يقال (أمّا عااد) لإظهار الشعور بالريبة.,General,"### نوع السؤال: التعرف على الموقع 
المهمة: اختَر الإجابة الصحيحة. 
السؤال: في أي بلد يُستخدم مصطلح ""أمّا عاد"" بشكل أساسي؟ 
الخيارات: 
A) المملكة العربية السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
من انتوا ترجعون له,تعني ما مرجع ونسب قبيلتكم,General,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'من انتوا ترجعون له' بشكل أكثر شيوعاً.
السؤال: في أي دولة تُستخدم عبارة 'من انتوا ترجعون له' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
اش بك يواد,ماذا بك ايها الفتى,Western,"المهمة: حدد المنطقة التي تُستخدم فيها العبارة 'اش بك يواد' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'اش بك يواد' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الدمام",ب
اش قومك,معناها باختصار وش فيك,General,"المهمة: حدد المنطقة التي تستخدم فيها عبارة 'اش قومك' بشكل رئيسي.
السؤال: في أي دولة يُستخدم المصطلح 'اش قومك' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
أتوطى ببطنك,الوطا: اي وضع القدم على شي فلما يقولون يتوطى ببطنك : اي اضع رجلي في بطنك وهي اشاره الى الحقد والطقاق والتهيؤ إلى العنف,Western,"### نوع السؤال: التعرف على الموقع 
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: في أي منطقة يُستخدم مصطلح ""أتوطى ببطنك"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) الأحساء 
D) الدمام",A
اشبك البلا فشكلك,ماذا بك اصابك البلاء,Western,"المهمة: حدد أين يُستخدم التعبير بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم التعبير 'اشبك البلا فشكلك' بشكل أكبر؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
راس البلا,راس البلا : يعني هو أساس المشكلة والمصيبة والسبب فيها .,General,"المهمة: حدد الدولة التي تستخدم فيها عبارة 'راس البلا' بشكل رئيسي.
السؤال: في أي دولة يُستخدم المصطلح 'راس البلا' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) الكويت",أ
اشبمك يواد,ماذا بك ايها الفتي,Western,"المهمة: حدد أين يُستخدم المصطلح 'اشبمك يواد' بشكل أكثر شيوعاً.
السؤال: في أي منطقة يتم استخدام عبارة 'اشبمك يواد' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
اصطبو دمك,الدعاء بأن الجن يسكبون دمك,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: أين تُستخدم العبارة ""اصطبو دمك"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) الكويت 
D) المدينة المنورة",A
اطبع الباب,أغلق الباب بالمفتاح، يقولها أهل ينبع البلد ينبع البحر,Western,"المهمة: حدد المكان الأكثر شيوعًا الذي يُستخدم فيه المصطلح 'اطبع الباب'.
السؤال: في أي منطقة من مناطق السعودية يُستخدم المصطلح 'اطبع الباب' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) ينبع
ج) الدمام
د) أبها",ب
أبو كلبي,أبو كلبي يعني سيء,General,"### نوع السؤال: التعرف على الموقع
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
- السؤال: في أي دولة تُستخدم عبارة ""أبو كلبي"" بشكل رئيسي؟
- الخيارات:
 A) السعودية 
 B) الكويت 
 C) الإمارات 
 D) البحرين 
-",A
اطلع من مخي,هذا ليس الوقت المناسب لك.,General,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح بشكل رئيسي.
السؤال: في أي دولة يُستخدم المصطلح 'اطلع من مخي' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
صرف السالفة, لما تحاول تغيير الموضوع او مشيها,General,"المهمة: حدد المدينة التي يتم استخدام العبارة 'صرف السالفة' فيها بشكل أكثر شيوعاً.
السؤال: في أي مدينة سعودية تُستخدم عبارة 'صرف السالفة' بشكل شائع؟
الخيارات:
A) المملكة العربية السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
اقدح من راسك,لا تألف من راسك,General,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: أي من الدول التالية تستخدم العبارة ""اقدح من راسك"" بشكل أساسي؟ 
الخيارات: 
A) المملكة العربية السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
كبر براطمها,تعني ان شفايفها كبيرة جدا.,General,"المهمة: حدد المنطقة الأكثر شيوعاً لاستخدام هذه العبارة.
السؤال: أين يُستخدم المصطلح 'كبر براطمها' بشكل أكثر شيوعاً؟
الخيارات:
A) البحرين  
B) الكويت 
C) الإمارات العربية المتحدة 
D) المملكة العربية السعودية",D
اقطع و اخس,"هذه العبارة ترادف تماماً كلمة ""اصمت!""",General,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح 'اقطع و اخس' بشكل رئيسي.
السؤال: في أي دولة تُستخدم العبارة 'اقطع و اخس' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) الإمارات العربية المتحدة",أ
ياخي قروشتني,"يعني ياخي ازعجتني , وترتني ",Western,"المهمة: حدد المدينة التي يرتبط بها استخدام كلمة 'ياخي قروشتني' بشكل أكبر.
السؤال: في أي مدينة سعودية يُستخدم مصطلح 'ياخي قروشتني' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) أبها",أ
أبو جلمبو,"هو نوع من انواع الفواصل بالبحر ويسمى ""السرطان""",Western,"### نوع السؤال: التعرف على الموقع 
المهمة: اختر الإجابة الصحيحة. 
السؤال: في أي منطقة من المملكة يستخدم مصطلح ""أبو جلمبو"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) الدمام 
D) الخبر",B
السيف الأملح,هو سيف حاد للغاية يستخدم في القصاص,General,"المهمة: حدد أين يُستخدم المصطلح 'السيف الأملح' بشكل أكثر شيوعاً.
السؤال: أي دولة تستخدم المصطلح 'السيف الأملح' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) الإمارات",أ
الشحوم ترطرط,تقال وصف للشخص السمين والمليان بالشحم واللحم,General,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح بشكل رئيسي.
السؤال: في أي دولة يستخدم المصطلح 'الشحوم ترطرط' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان,مثل يقال عندما يفوتك الحصاد وتريد ان تترفع عنه بكرامة,General,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: في أي دولة تُستخدم عبارة ""الصحن اللي تكررت عليه الملاعق اتركه وارقد جوعان"" بشكل رئيسي؟ 
الاختيارات: 
A) السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
العازه لزازه,بمعنى اذا احتجتني بتضطر انك تجي,Western,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: أين تُستخدم عبارة ""العازه لزازه"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) الدمام 
D) المدينة المنورة) جدة",B
الفقعسي والله,مسموعة في الزلفي وتعني استحالة تحقيق أمرك ومطلبك أو الشأن الذي يخاض به.,Central,"المهمة: حدد أين يتم استخدام عبارة 'الفقعسي والله' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'الفقعسي والله' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) الزلفي
ج) جدة
د) الدمام",ب
وش موزيك, باللهجة الحايليه معناها من الذي أمرك,Northern,"المهمة: حدد أين يُستخدم التعبير (وش موزيك) بشكل رئيسي.
السؤال: في أي منطقة من المملكة يُستخدم تعبير (وش موزيك) بشكل شائع؟
الخيارات:
أ) حائل
ب) أبها
ج) المدينة المنورة
د) الخبر",أ
أنت القعدة,تعني اخر العنقود من الذكور.,Central,"المهمة: حدد المكان الأكثر استخدامًا للمصطلح 'اأنت القعدة'.
السؤال: في أي منطقة من المناطق التالية يُستخدم المصطلح 'أنت القعدة' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
على طبطابي,يعني على مزاجي او على كيفي,Western,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'على طبطابي' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'على طبطابي' أكثر؟
الخيارات:
أ) جدة
ب) الدمام
ج) أبها
د) الرياض",أ
الكلام اللي يجمد على الشارب,العرب الأوائل كان الشنب عندهم مهم جدا لدرجة إنهم ما يقصون منه ولا شعره عكس اللحية وهذا موجود إلى فترة قريبة في شمال الجزيرة العربية وبعض الدول العربية فإذا أراد الرجل أن يؤكد كلامه وأنه مستحيل إنه يغيره قال ( الكلام اللي يجمد على الشارب ) كناية عن الثبات على القول . . لأن شعر الشنب لا يقص أبدا .,Northern,"المهمة: حدد الموقع الأكثر شيوعًا لاستخدام هذه العبارة.
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'الكلام اللي يجمد على الشارب' بشكل أكبر؟
الخيارات:
أ) الغرب
ب) الوسطى
ج) الشرق
د) الشمال",د
والله منتب سهل,تقال عند الإعجاب بذكاء شخص أو دهائه، أو للتعجب من قدرته على القيام بشيء ما,General,"المهمة: اختر الجواب الصحيح.
السؤال: في أي من الدول العربية يُستخدم مصطلح ""والله منتب سهل"" بشكل شائع؟
الخيارات:
 A) السعودية 
 B) الكويت 
 C) الإمارات 
 D) البحرين",A
الله الله,"تعبر هذه العبارة عن موافقة القائل لما قيل قبل قليل. و يمكن تعويضها بقوله ""صدقت"" أو ""فعلاً. هذا صحيح""",General,"المهمة: حدد موقع استخدام عبارة 'الله الله' في الدول. 
السؤال: في أي دولة يُستخدم مصطلح 'الله الله' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) الكويت
د) البحرين",أ
الله لا يعوق بشر,تعني أي أن شاء الله تسير الأمور بخير,General,"المهمة: حدد الموقع الذي يُستخدم فيه هذا المصطلح بشكل رئيسي.
السؤال: أي دولة تستخدم المصطلح 'الله لا يعوق بشر' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) البحرين
ج) الإمارات
د) الكويت",أ
